Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,Family %,Couples %,Solo %,Business %,Friends %,Missing %
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Jacob,"Birmingham, United Kingdom",,5,Couples,"this Hindu temple belongs to lord Shiva,this temple in the middle of the ocean  There are small shops on the road","April 5, 2019",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Morgan N,"Zanzibar Island, Tanzania",,3,Missing,"Unfortunately, due to COVID, the Fort overall was very empty and most of the temple was closed to us. Otherwise, this was a very lovely temple to visit. The statues were amazing to look at as well as the architecture of the temple itself.","July 30, 2020",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Chamath Fernando,"Colombo, Sri Lanka",,4,Friends,The temple is quite a sacred one that is worshiped by locals belonging to different religions. It is quite colorful and well-kept. The ‘lovers leap’ is a steep rock that looks over the deep ocean. Do not forget to recite your wishes into the ear of “Nandi” statue and watch the serene beauty of the Trinco bay over a drink of an iced Lemon juice on the way to the temple.,"January 20, 2020",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,KassieChoi,5 contributions,,4,Friends,"it was nice to visit a hindu temple, yet if there has some English descriptions, it should be nicer! got a bonus checkpoint before leaving which was a budda parade. p.s. shoes off and about 100m walk, beware of the wet ground","August 4, 2017",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Jyoti M,"New Delhi, India",,5,Missing,"Right on the Indian Ocean, this temple is a relatively new version of an ancient temple that Portuguese invaders destroyed several centuries ago. But Hindu Tamil priests keep the services going, several times a day. This temple was out of bounds for several years during the civil war and is now opening up again as peace returns to Sri Lanka","February 3, 2017",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,MPP2703,"Wellingore, United Kingdom",,5,Couples,"If in the area, you must come and see this holy temple. it is ornate and pretty. It does get hot, and although there is some carpeting your feet will still get hot. There are plenty of stalls on the walk up, and you are also passing through the old portuguese fort, now home to the SL army. Odd to think that only 9 years ago this area was part of the civil war, but now so peaceful.","August 19, 2017",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Ayon13,"Melbourne, Australia",,5,Missing,The view is breath taking from the top of the cliff. If you go in the early morning you can enjoy the sun rise from here. As well participate for a traditional Hindu prayer and learn a little bit of the Hindu culture and history.,"November 1, 2016",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,Gayatri G,"New Delhi, India",,5,Missing,"This ancient Hindu Temple dedicated to Shiva has indie interesting murals of Ravana, the Shiva devotee. We were present for the evening Aarti and it was very nice to see the devotion and faith of the people. Ravana's cut - in the rocks outside the temple has an interesting story","December 9, 2016",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,John J,"Lewes, United Kingdom",,3,Couples,Hindu temple inside old fortress. Interesting to walk around but an uphill climb from the Fish Market area so maybe best to take a tuc tuc there and back.,"February 18, 2018",0.0,30.5,5.5,1.25,17.5,45.25
https://www.tripadvisor.com/Attraction_Review-g424963-d3477576-Reviews-Thirukoneswaram_Kovil-Trincomalee_Eastern_Province.html,Thirukoneswaram Kovil,4.4,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f3/d1/3c/thirukoneswaram-or-the.jpg?w=700&h=400&s=1,darsh933,"Kuala Lumpur, Malaysia",,5,Missing,"i love every inch of this place... the view was just breath taking, and the temple architecture was absolutely gorgeous","September 18, 2016",0.0,30.5,5.5,1.25,17.5,45.25
