Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,Family %,Couples %,Solo %,Business %,Friends %,Missing %
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,camer0n1980,"Perth, Australia",,2,Couples,There are nice views of the tea plantation but they can be had for free from the side of any road in the region. Our half hour 200 rupee pp tour took about 10 minutes and our guide clearly didn’t want to be there. I also found the tea at the end to be weak. Not a highlight for the trip.,"December 13, 2017",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,malinrosenkvist,"London, United Kingdom",,1,Couples,"We were looking forward to seeing a working tea factory in action, learn about tea and enjoy a tasting to understand different varieties and qualities of tea. None of this actually happened as we were shown around an empty tea factory looking at machines and being told the absolute minimum by a bored and annoyed guide. After the tour we were given a cup of tea and encouraged to buy tea from the shop. Far too commercialise. If you want to learn about tea and enjoy a tea tasting go somewhere else, this was totally not worth the time or energy.","April 29, 2018",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,CSTMaryland,Maryland,,5,Friends,"I was a bit disturbed that they call these factories plus staff housing ""estates"" when in reality its modem plantations. Please ask your guide for more info... they don't hide information about the setup of these ""estates"". All staff seem happy and at peace, grateful even, for the accommodations and the work. Please take the factory tour - very informative - from start to finish. You learn the entire tea process. The best part is learning how tea ""tasters"" from all over Sri Lanka have such a delicate palate they can identify any tea from any region by taste and smell. I love the sustainability museum at the end of the tour. It's nice to see that such hard work and production is done with the environment in mind.","July 7, 2017",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,SCH2803,"Sydney, Australia",,3,Solo,"Unfortunately the weather wasn't the best on the day. The gentleman who gave the tour seemed very passionate about the place, and provided some interesting facts. Not sure that I would have come here if I wasn't on a group tour, knowing the living and work  conditions of tea plantation tea pickers.  Though this place had many posters stating how they house and help their workers.","March 17, 2017",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,DBD21,27 contributions,,4,Missing,We really enjoyed the tour of this working factory. We did not appreciate the hard manual work required for tea picking and sorting thereafter. We have all resolved that we MUST pay more for our tea as the tea pickers don’t get paid enough- it seems less than US$10 per day. Shocking!,"May 22, 2018",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,sharoni82,"Tel Aviv, Israel",,5,Couples,"Of all the tea factories, this one felt most genuine, not a tourist trap at all! Totally recommended, interesting overview of a tea factory's ins and outs, set to a beautiful view, with a lovely cup of tea as a finale!","July 16, 2017",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,Claire B,"London, United Kingdom",,5,Missing,"We were staying overnight in Nuwara Eliya and borrowed bikes to visit the Pedro tea factory. The ride up the hillside was tough but it was so beautiful to cycle the paths through the plantation we didn't mind. The tour itself lasts about 30 minutes and the smell of the fresh tea is intoxicating in the drying room. Our guide spoke perfect English and was happy to answer questions. After the tour we tasted some of the tea, which was delicious! Definitely worth a visit if you have a free morning.","April 5, 2018",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,S O,"Muscat, Oman",,4,Missing,Had a nice 20 minute tour round the factory (note: machinery operates only at night). The tea house could do with having a larger outside terrace to enjoy the plantation views whilst sampling the different teas. Also had a wander through the plantation for some good photo ops with/of the tea pickers.,"February 20, 2018",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,Sabrina H,3 contributions,,1,Friends,Unfortunately our guide seemed really uninterested in showing us around and answering our questions. She did not even paid attention to us. Would not recommend!,"November 22, 2019",0.0,43.0,4.75,1.25,19.0,32.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/57/9c/a7/pedro-tea-estate.jpg?w=700&h=400&s=1,Katerina,"Moscow, Russia",,5,Couples,"Excursions to the factory goes every half an hour. (Till 16.30, as I remember) If you want to see working machines, you need to come in early mornings (may be not all days) But it’s not necessary to see  exactly working process. It’s interesting anyway. Guides speaks English, so all information is understandable. You could see old machines and know many interesting facts about tea manufacture. The smell of tea is amazing. And also you could walk among tea trees on tea plantations behind the factory. It’s very beautiful. You could see the process of picking tea leaves into special baskets. Working women could show you tea leaves and you could taste it. So also they suggest you to take a photo with them, but they also wants you to pay for photos. And it’s strange. Also you could but very good tea in a factory shop. In the shop you could ask about process of brewing tea. It’s a good gift.","October 15, 2019",0.0,43.0,4.75,1.25,19.0,32.0
