Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,Family %,Couples %,Solo %,Business %,Friends %,Missing %
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,1sjoe,266 contributions,,5,Missing,A very good place to visit as part of the visit to Kandy. We used the electric cart for  Lkr 2000 which was worthwhile as the driver was very knowledgeable about the flora and the history. Downside is the poor toilet facilities ( donot even go near them) lack of proper parking facilities.,"February 12, 2019",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,Neil,"Peterborough, United Kingdom",,1,Friends,Ripping off the tourists as it is the norm everywhere in SL. Not worth Rs3000 but good vfm for the locals.  Wouldn't recommend,"April 22, 2024",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,Hols969,"Cocking, United Kingdom",,5,Missing,"Lovely gardens, very well maintained, enjoyable few hours, worth going to have a wander (a few monkey's there too). We stayed at Hanthana House just outside of Kandy which was fabulous and their driver took us on a tour of Kandy which included here.","August 8, 2023",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,Ronald W,"Arundel, United Kingdom",,4,Missing,"A tranquil place after all the noise from traffic. Lovely gardens, especially the number of different trees. Orchids were good, but a small display, we are used to the orchid garden in Singapore, which I reckon must be the best in the world.","March 9, 2020",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,S-Himakara,"Colombo, Sri Lanka",,5,Missing,"Botanical Gardens of Peradeniya - 147 acres in extent, this is the best and the largest garden in Sri Lanka that a visitor to Kandy should never miss. Created in the 14th Century as the Pleasure Garden of Kandyan Kings, the Royal Botanical Gardens of Peradeniya is surrounded by the river Mahaweli on three sides and is connected to the opposite bank by a suspension bridge. With more than 4000 species of flora, the garden is an example of the wealth and beauty of the tropics. With more than hundred varieties of palm trees, five palm avenues where palms such as Talipot grow to an immense size, wonderful arches of glossy foliage, lovely fernery, and orchid houses with rare blossoms and spice trees in groves make it a rich botanical heritage in the world.","August 25, 2024",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,708Robin,"West Sussex, United Kingdom",,5,Couples,"A great place to visit, interesting trees, flying foxes, according to the guide 24,000 of them, a lake, an orchid house and just a really peaceful place to stroll. We could have spent longer here but really enjoyed the visit. If you in Kandy it is a must. Entrance is 1500 rupees.","January 29, 2019",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,Lieuwe R,"Groningen Province, The Netherlands",,5,Solo,"Beautifully landscaped and well maintained botanical garden with many species of bamboo and tropical trees. Lovely to walk around in for an hour. Squirrels, monkeys and bats watching. And to the young Sri Lankese couples in love who sit here together on a bench. Perhaps because they have no privacy anywhere else. People who whinge that you have to pay entrance and much more than the locals, I recommend staying home. By Dutch standards the entrance is very reasonable.","July 22, 2024",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,adi6709,"Bacau, Romania",It's a must in Kandy!,5,Couples,"Not so much things to do in Kandy, but this park  botanical garden it's a must! Absolutely impressive, for a nature lover is astonishing to see those giant trees! Good gardening, very instagramable!","October 24, 2025",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,Brian,"Kelaniya, Sri Lanka",,1,Missing,"the staff working at the ticket counter were extremely rude and unhelpful to us, arguing with us over the price of a ticket for my wife, who holds Residence visa in Sri Lanka, demanding for us to change our local tickets for tourist. would not return here.","July 10, 2019",0.25,43.25,4.25,1.25,17.0,34.0
https://www.tripadvisor.com/Attraction_Review-g1194819-d523519-Reviews-Royal_Botanical_Gardens-Peradeniya_Kandy_District_Central_Province.html,Royal Botanical Gardens,4.5,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/df/bf/46/peradeniya-botanical.jpg?w=700&h=400&s=1,rosie c,"Horley, United Kingdom",,5,Couples,"Not somewhere we would normally go but had a spare afternoon and made a visit. Very glad we did, beautiful and extensive gardens full of extraordinary trees and specimens. Need at least a couple of hours to explore - suspension bridge over the river, fruit bats flying about and hanging down/dripping from the trees for the night, fascinating canon ball tree and many more surprises.","January 24, 2019",0.25,43.25,4.25,1.25,17.0,34.0
