Destination Title,Total Reviews (Destination),1 Star %,2 Star %,3 Star %,4 Star %,5 Star %
Abayagiriya Stupa,273,0.73,0.73,11.36,31.5,55.68
Aberdeen Falls,32,0.0,0.0,0.0,12.5,87.5
Alagalla Mountain Range,22,0.0,0.0,0.0,31.82,68.18
Aluvihara Rock Cave Temple,181,1.1,3.87,8.84,39.78,46.41
Ambuluwawa Tower,40,0.0,7.5,10.0,25.0,57.5
Anawilundawa Wetland Sanctuary,27,0.0,0.0,11.11,22.22,66.67
Ancient City of Polonnaruwa,500,0.8,3.6,8.6,27.8,59.2
Arcade Independence Square,164,5.49,4.27,12.8,44.51,32.93
"Archaeological MuseumUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",150,4.0,4.0,20.67,41.33,30.0
Arugam Bay,335,6.57,5.67,10.45,29.55,47.76
Avukana Buddha Statue,63,0.0,6.35,9.52,23.81,60.32
Baker's Falls,25,0.0,4.0,20.0,32.0,44.0
Bambarakanda Falls,106,0.0,0.0,10.38,29.25,60.38
Bandaranaike Memorial International Conference Hall,36,5.56,2.78,13.89,30.56,47.22
Baobab Tree,71,0.0,1.41,21.13,39.44,38.03
Beira Lake,148,2.03,7.43,33.11,43.24,14.19
Bentota Beach,500,1.0,1.2,5.4,25.4,67.0
Beruwala Beach,220,1.36,3.18,13.18,32.27,50.0
Bluefield Tea Gardens,500,1.0,2.4,14.6,40.2,41.8
Bomburu Ella Waterfall,20,0.0,0.0,5.0,20.0,75.0
Bopath Ella (Bopath Falls),42,0.0,2.38,9.52,28.57,59.52
Buduruwagala Temple,111,0.0,0.9,3.6,27.93,67.57
Bundala National Park,5,0.0,0.0,0.0,0.0,100.0
Cargills Square,29,10.34,3.45,13.79,44.83,27.59
Casuarina Beach,194,4.12,7.22,22.16,38.14,28.35
Colombo City Centre,93,4.3,6.45,13.98,47.31,27.96
Colombo Gold Center,2,50.0,0.0,50.0,0.0,0.0
Colombo Lotus Tower,63,15.87,6.35,15.87,25.4,36.51
Colombo National Museum,500,1.2,3.2,15.8,44.2,35.6
Crescat Boulevard Mall,53,3.77,1.89,32.08,39.62,22.64
Dagoba of Thuparama,132,0.0,2.27,11.36,38.64,47.73
Dalawella Beach,73,2.74,4.11,5.48,34.25,53.42
Dambulla Cave Temple,500,0.6,1.8,6.8,30.2,60.6
Damro Labookellie Tea Centre and Tea Garden,219,10.96,6.85,13.24,28.77,40.18
Danigala Circular Rock,1,0.0,0.0,0.0,0.0,100.0
Dehiwala Zoo,21,23.81,4.76,4.76,19.05,47.62
Demodara Loop,126,0.0,1.59,6.35,34.92,57.14
Devon Falls,203,0.0,2.46,15.76,44.33,37.44
Diyaluma Falls,167,0.0,0.6,7.78,23.95,67.66
Diyatha Uyana,126,0.0,0.0,7.94,49.21,42.86
Dondra Head Lighthouse,118,7.63,3.39,7.63,38.14,43.22
Dunhinda Falls,105,0.0,0.0,9.52,27.62,62.86
Dutch Fort Of Kalpitiya,40,7.5,2.5,30.0,32.5,27.5
Dutch Hospital Shopping Precinct,500,1.2,5.4,21.8,38.8,32.8
Dutch Reformed Church,348,0.29,2.01,16.67,46.84,34.2
Ella Rock,490,1.02,0.82,3.67,20.0,74.49
Embekka Devalaya,43,0.0,0.0,6.98,32.56,60.47
Gal Vihara,465,0.43,0.43,4.09,20.86,74.19
Galboda Falls,22,0.0,0.0,4.55,9.09,86.36
Galbokka Sea Turtle Hatchery,56,0.0,1.79,0.0,1.79,96.43
Galle Dutch Fort,500,0.2,1.6,7.2,29.0,62.0
Galle Face Green,500,3.4,4.6,20.8,38.6,32.6
Galle Fort Lighthouse,500,0.2,1.2,24.0,43.0,31.6
Galle International Cricket Stadium,60,0.0,0.0,15.0,33.33,51.67
Gangaramaya Temple,500,3.4,3.6,8.8,28.2,56.0
Goyambokka Beach,295,4.07,2.03,11.53,30.51,51.86
Hakgala Botanic Gardens,500,2.6,4.0,16.0,35.8,41.6
Hanthana International Bird Park,13,53.85,23.08,7.69,7.69,7.69
Hikkaduwa Beach,330,4.55,4.85,15.45,29.7,45.45
Hiriketiya Beach,95,5.26,8.42,7.37,20.0,58.95
Honey Bee Garden,444,0.23,0.0,0.0,1.35,98.42
Horton Plains National Park,490,3.27,3.47,5.92,22.65,64.69
Hummanaya Blow Hole,195,14.87,9.74,23.08,25.13,27.18
Independence Memorial Hall,374,0.8,1.34,18.72,54.01,25.13
Isurumuniya Temple,262,0.76,1.53,9.16,43.51,45.04
Jaffna Fort,452,1.33,6.64,20.8,40.04,31.19
Jaffna Public Library,187,2.14,4.81,29.95,35.83,27.27
Jami Ul-Alfar Mosque,325,1.54,0.92,13.85,42.46,41.23
Jaya Sri Maha Bodhi,426,1.64,2.35,14.55,30.28,51.17
Jethawanaramaya,3,0.0,0.0,0.0,33.33,66.67
Jungle Beach,460,8.26,13.91,20.65,26.09,31.09
Kabalana Beach,19,5.26,0.0,5.26,26.32,63.16
Kabaragala Mountain,3,0.0,0.0,0.0,0.0,100.0
Kadiyanlena Falls,18,0.0,0.0,0.0,0.0,100.0
Kalamatiya Bird Sanctuary,63,0.0,0.0,3.17,17.46,79.37
Kalu Diya Pokuna Natural Black Water Pond,29,0.0,0.0,3.45,27.59,68.97
Kalutara Beach,433,4.85,9.7,27.25,30.25,27.94
Kandy City Center,218,3.67,2.75,16.06,37.61,39.91
Kandy Market Hall,160,4.38,3.12,12.5,39.38,40.62
Kandy War Cemetery,400,0.5,0.25,7.5,26.75,65.0
Kankesanthurai Beach,6,0.0,0.0,33.33,16.67,50.0
Kataragama Temple,294,2.04,0.68,7.48,30.95,58.84
Kaudulla National Park,500,2.0,2.4,7.8,22.8,65.0
Keerimalai Hot springs,132,3.79,13.64,29.55,25.76,27.27
Kelaniya Raja Maha Vihara,500,0.4,0.4,4.8,26.8,67.6
Kirigalpoththa Hike,25,4.0,0.0,0.0,24.0,72.0
Knuckles Conservation Forest,26,0.0,0.0,0.0,26.92,73.08
Knuckles Mountain Range,227,0.44,0.88,1.32,22.91,74.45
Kudawa Beach,8,0.0,12.5,0.0,0.0,87.5
Kudumbigala Monastery,72,1.39,0.0,2.78,18.06,77.78
Kumana National Park,108,1.85,0.93,10.19,24.07,62.96
Lahugala Kitulana National Park,11,9.09,0.0,18.18,9.09,63.64
Lankatilaka Temple,166,0.0,1.81,10.24,34.94,53.01
Laxapana Falls,22,0.0,0.0,4.55,13.64,81.82
Leisure World Water Park,93,12.9,12.9,32.26,23.66,18.28
Liberty Plaza,45,4.44,26.67,26.67,24.44,17.78
Lipton’s Seat,440,2.05,0.68,4.55,22.05,70.68
Little Adam's Peak View Point,500,0.8,0.8,4.4,23.0,71.0
Lotus Pond,85,2.35,2.35,29.41,25.88,40.0
Lovamahapaya,29,0.0,13.79,6.9,37.93,41.38
Lover's Leap Falls,363,1.1,1.65,14.33,41.05,41.87
Maduru Oya National Park,27,0.0,7.41,11.11,22.22,59.26
Mahinda Rajapaksa International Cricket Stadium,8,0.0,0.0,25.0,25.0,50.0
Majestic City,356,3.37,12.36,44.1,22.47,17.7
Manalkadu Beach,3,0.0,0.0,0.0,66.67,33.33
Mannar Fort,55,0.0,1.82,23.64,49.09,25.45
Marble Beach,335,3.58,6.87,15.82,28.96,44.78
Marino Mall,70,1.43,7.14,18.57,37.14,35.71
Martin Wickramasinghe Folk Museum Complex,173,0.0,0.58,6.94,36.42,56.07
Medaketiya Activity Beach,18,0.0,0.0,22.22,27.78,50.0
Medilla Beach,25,0.0,4.0,20.0,36.0,40.0
Medirigiriya Vatadage,58,0.0,0.0,3.45,22.41,74.14
Mihintale,500,0.0,0.2,4.2,28.0,67.6
Minneriya National Park,500,6.0,3.6,6.2,20.0,64.2
Mirisaveti Stupa,32,0.0,0.0,6.25,62.5,31.25
Mirissa Beach,470,3.19,2.77,10.0,27.02,57.02
Moon Plains,145,9.66,2.76,13.79,25.52,48.28
Moonstone or Sandakada pahana,64,0.0,1.56,14.06,43.75,40.62
Moragahakanda Reservoir,4,0.0,0.0,0.0,0.0,100.0
Moragalla Beach,24,4.17,4.17,25.0,20.83,45.83
Mount Lavinia Beach,500,1.8,4.6,17.2,36.0,40.4
Munneswaram Kovil Temple,29,0.0,0.0,27.59,27.59,44.83
Muthurajawela Marsh,234,0.85,3.42,13.25,38.46,44.02
Nagadeepa Rajamaha Viharaya,30,0.0,3.33,6.67,26.67,63.33
Nallur Kovil,479,1.46,0.84,8.35,34.45,54.91
Negombo Beach,400,14.25,13.75,25.0,23.25,23.75
Negombo Fish Market,394,1.52,3.81,16.75,45.18,32.74
Negombo Lagoon,18,0.0,0.0,22.22,22.22,55.56
Nelum Pokuna Mahinda Rajapaksa Theatre,46,0.0,4.35,13.04,47.83,34.78
Nil Diya Pokuna,38,7.89,7.89,0.0,15.79,68.42
Nilaveli Beach,272,1.84,3.31,8.46,28.68,57.72
Nine Arches Bridge,420,1.67,1.9,11.43,25.0,60.0
Nissanka Latha Mandapaya,23,0.0,0.0,8.7,47.83,43.48
ODEL Mall Kandy,1,0.0,0.0,0.0,0.0,100.0
Old Parliament Building,254,0.39,1.97,26.77,45.67,25.2
One Galle Face,114,5.26,1.75,15.79,29.82,47.37
Paikiasothy Saravanamuttu Stadium,1,0.0,0.0,0.0,100.0,0.0
Pallekele International Cricket Stadium,90,0.0,1.11,7.78,40.0,51.11
