Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,John M,"Stockholm, Sweden",Very interesting and beautiful!,5,Family,"Highly recommended! Well preserved and impressive with its archaeological ruins, palaces, temples, stupas and Buddha statues. The last two tree pictures are something as cool as three trees living in symbiosis. Please rent a bike and book a guide. Becomes much smoother and more interesting.","December 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Benoit M,9 contributions,"Unpleasant visit, modest interest",2,Couples,"Ancient main city of the island. Today only ruins spread over an area you have to travel by car , with guide or driver (extra charge) Admission is $30 per person to be transported from ruins to ruins with almost no information on the various monuments. At each stop ""travelling merchants"" insist on asking you for money, this makes the visit unpleasant in addition to lack of interest. Largely favour Sigirya The museum is pretty good","December 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Wilma G,"Nijmegen, The Netherlands",Very nice,4,Family,This whole complex is very beautiful to see but you really have to have a guide to the history of the whole complex to know. I think it is definitely worth visiting,"December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Pulasthi T,"Kaduruwela, Sri Lanka",I will visit again with my family . Also parakrama samudraya is similar to ocean .,5,Family,I went to the Gal viharaya of Ruins Area .  Extremely Nice place & more attractive place for peaceful mind. Environment is very clean & neat .,"November 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Wood77,"Los Angeles, CA",Ancient City of Polonnaruwa,4,Couples,"Polonnaruwa offers a captivating snapshot of medieval Sri Lankan civilization. The area boasts a dense concentration of ancient ruins, the centerpiece of which is the magnificent Vatadage, a circular relic house spanning 18 meters in diameter. This structure features breathtaking sculptural detail, including four beautifully preserved stone Buddha statues. Another key highlight is the Gal Viharaya, a rock temple renowned for its four antique Buddha statues meticulously carved into a large granite cliff face, each depicted in a unique posture. Visitors should observe a modest dress code when exploring these sacred sites: knees and shoulders must be covered. Given the humid climate, it is wise for those wearing shorts to pack a sarong to don before entering temple grounds. Additionally, be prepared to remove your shoes before entering the temple sites.","November 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Vadim,"Murmansk, Russia",Polonnaruwa. What can I watch for free?,3,Solo,"Starting in the morning from Dambulla and climbing Mount Sigiriya, we reached Polonnaruwa only in the afternoon, Hotel I did not book in advance, planning to stay in Polonnaruwa after all. However, the family did not want to explore the ruins of the ancient capital of the Sinhalese kingdom. All the more so they are at a decent distance from each other (e.g. lotus pool kilometers away from the museum).. So after leaving my wife and daughter in the cafe with my things, I headed towards the museum. The only free part of the complex is the ruins of Nishshankamalla Palace. It didn't take more than half an hour. If, unlike me, you want to explore the complex thoroughly, you need an entire day, a rental bike or a tuk-tuk with a driver and 25 USD.","November 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,ScotlandRosslea,Scotland,A Must Visit ........ Amazing Historical location.,5,Couples,A marvellous visit to this ancient city full of history of the early days in this beautiful island. A busy location and essential you have a guide to ensure you get the full benefit of the visit as the history is fascinating. Religious locations within the city to be acknowledged and respected ...... all in all a must visit if you are like minded and have a historical interest.,"October 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Filmknights,"Yeovil, UK","Plan well, it's a huge site.",5,Solo,"What a wonderful place. If you have experienced places such as Pompeii, Petra and Jeresh then you will truly appreciate this city. It is very spread out so consider how you will get around. Walking around the whole site is doable but impractical so consider hiring a bike, tuk tuk or even a car as you can drive between the main areas and park easily in designated car parks. Take water as it gets hot and also wear socks as much of the site is made up of temples so you must take off your shoes. If you are barefoot, the ground is very hot and socks will protect your feet. Remember for men and women that legs and shoulders need to be covered in the temple areas. This is a wonderful site with many beautiful remains of buildings with stunning architecture. Another tip...many of the buildings have multiple entrances so don't stand around for ages like everyone else trying to take a perfect selfie and getting in the way. Just walk to a different entrance which I promise you will probably more beautiful than where everyone normally stands.","September 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,BlueGecko,12 contributions,"Fascinating place and great experience with our local guide, Jayalath.",5,Friends,"Thoroughly enjoyed out tour through the ancient city. I would typically read my way through independently or use Google for info, but we decided to hire a local guide who was well worth it. Jayalath was very knowledgeable and gave us far more information than we would have thought to search for. There are many guides outside the ticket area but Jayalath was waiting at the first ruins area and gave us a much better rate. I would highly recommend finding Jayalath if you can and make the most of your trip through the ancient ruins.","September 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d1953743-Reviews-Ancient_City_of_Polonnaruwa-Polonnaruwa_North_Central_Province.html,Ancient City of Polonnaruwa,4.4,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Amyce24,"Bristol, UK",Underwhelming and poorly presented.,3,Couples,"I’ll open with I’ve been to a lot of ancient cities and a lot of temples over the years. Unless you’re a serious history/archaeology buff, this is probably going to be underwhelming. And even if you are, it will quite possibly still be underwhelming. The scale, taken as a whole is impressive, but it’s doesn’t really have that Angkor Wat wow factor plus the lack of information boards (some deliberately destroyed or defaced at that), maps etc for context, frankly useless guides and a high ticket price makes this a missable site from my perspective. We had a car and got through the lot in a couple of hours because to be frank, there wasn’t that much to see. The southern part of the site is in a poor state of preservation and this is exacerbated by a museum that may as well not exist and a disappointing amount of garbage. There are some standout parts of the northern part of the site, specifically Gal Viharaya which are very obviously well cared for. It’s a shame as it was obviously somewhere very important but precious little effort has been put into presenting the site. Don’t plan your trip around this - it’s a morning stop off at best.","September 23, 2025",0.0,0.0
