Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Ishani U,"Wattala, Sri Lanka",Good place for be calm,5,Couples,Very calm & mind relaxing place. We can spend our quality time there without any disturbance. They won’t charge for vehicle parking that would be advantageous. Good place to visit,"July 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Sachindran Ravindran,"Mount Lavinia, Sri Lanka","Chill Vibes & Cheap Eats at Independence Arcade, Colombo",3,Couples,"Independence Arcade in Colombo is a stylish colonial-era building turned into a public shopping and hangout space. It’s got a chill vibe, perfect for catching up with friends or spending some relaxed time with your parents. One of the best parts is free car parking, which is a rare bonus in the city. The area has a few food stalls offering tasty and affordable eats from snacks to full meals, it’s a decent place to grab something without breaking the bank. You can find places with decent outdoor seating where you can just hang out and enjoy the vibe, especially in the evenings. That said, it’s not the best place for families with young kids, as there’s not much to do in terms of entertainment or activities. It’s more of a spot for chilling, not exploring or shopping extensively. Overall, it’s a great casual spot to hang out without spending too much and the calm surroundings and historic architecture add to the charm.","April 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Mrperfect31,"Banbury, United Kingdom",Independent… yet left behind…,1,Couples,"What has happened to Arcade Independence Square? What used to be bustling with young and old walking, running and strolling around, now has become a desolated almost derelict area without soul. Here and there young couples are seated enjoying each other’s company, other than that the place has become lifeless. There are a few eating stands but when there are no customers, these also lose their charms.","February 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Subramaniyam S,3 contributions,It spoiled my friends birthday,1,Friends,We went to celebrate my friends birthday and we had a terrible experience with the staff some are asking money from me and one guy arrested a table to us to cut the cake and I had to pay him and also I extremely forgot to return the butter knife to restaurant and that manager was blaming me in front of everyone what we thought is we will never come back to this place because they don't have hospitality quality at all this evening spoiled my friends birthday,"May 10, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Anuradha,"New Delhi, India",Colonial vibe,4,Missing,"A colonial period square with huge open space in the surroundings. Arcade mall on one side, a completely colonial style building with a few high end stores, was almost deserted on a Saturday. There were a few families in the independence square who were jogging, exercising, walking and kids were playing. Do visit if you have time, nothing spectacular !","January 21, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,sealrocker,"Portland, Oregon",Don’t waste your time here,2,Couples,This is arcade / mall is a complete waste of time. If you like shopping for big name fashion you might like it but you can do better at the airport. It would rate a 5 as a place to get out of the rain. There are a lot better places to find something memorable,"March 21, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,SEs,"London, United Kingdom",Colonial,4,Business,This old colonial building square is converted to a shopping and food outlets complex. A good place to hangout in the evenings.,"February 23, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Jacksons from Brighton,"Brighton, United Kingdom",Lovely building with a few shops inside,4,Couples,We decided on a day of seeing the Malls and this was on the list. The building is an old asylum and is beautiful and detailed. Not many shops but found a bargain in the sales. There are food place at one end and toilets.,"January 14, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,sherry_dissa,"Colombo, Sri Lanka",Friday fun day,5,Couples,It s a beautiful place for all my lovely travellers arround the main city of colombo.there have more architectural construe.,"November 8, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Pubudu Attygalla,"Nainamadama, Sri Lanka",Nice Colonial Building,4,Missing,This place is a refurbished colonial building. Nice place with several branded stores and restaurants. Ideal location for photos and nice place to relax and enjoy your meal. But some of the areas are seems to be neglected now on maintenance and maintenance should be improved in this place. This expands in  a large area and not much crowded.Very large parking area is available. It is not a large type of mall with lot of people and busy atmosphere.There are limited number of stores with branded items.But have a good variety of food stalls & restaurants. Overall nice place to relax and enjoy in the heart of Colombo.,"October 7, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Chamal,"Colombo, Sri Lanka",,4,Missing,The place in the mid of colombo having great photo locations. Colonial style building. Also contains restaurants to fill your taste buds. Nice place to have a group conversation.,"September 30, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,chilliho,"Kuala Lumpur, Malaysia",,3,Couples,"I was looking for a mall but this isn't a mall. It has Burger King, cafes, Gallerie (duty free it seems), Body Shop. I was hoping to a pharmacy or some departmental store so don't go if that is what you're looking for. Plus side... the building is stunning colonial building with white walls and wooden interiors. So beautiful! 😊","August 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Himen Palansuriya,4 contributions,,4,Couples,"Ive visited here several times and I must say that the environment in between the two sectors was really attractive.Much satisfied with all the branded stores in one mall,also we enjoyed ourselves with a movie in the""Empire Complex"" which was equipped well with the best facilities.Its actualy a nice place to hang around.","February 11, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,David T,"Singapore, Singapore",,4,Couples,"Ashiq & Basith led us straight to the t Lounge by Dilmah Shop No.04 @ the Arcade is such a treat with Mr Fawaz who served us and because he also wanted us to try the Sri Lankan ginger ""teh tarik""... he had one made complimentary for my wife :)","December 23, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Nadhira M,68 contributions,,1,Missing,"The Cinema itself is high quality and nice. However 2 points which need immediate solving. Number 01, the manager there is Rude and his customer service skills are ZERO. Due to the high prices we pay, we highly suggest replacing this manager! Makes the experience there bad, due to that. Number 02, the Air conditioned is too freezing. We cannot watch the movie in comfort.","December 8, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Mrperfect31,"Banbury, United Kingdom",,4,Couples,"This is such a unique location to have this beautiful colonial building filled with nice shops and probably the best tea lounge I have experienced so far. Unfortunately, due to the number of high rise buildings being constructed in Colombo, each accompanied of their own shopping complex, this Arcade loses importance. Quite some shops are empty and the ones present are actually pretty expensive. If the building next door could be refurbished the same way, it will make probably one of the most unique places in Colombo to spend an afternoon or evening.","October 19, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Janet v,"Hermanus, South Africa",,4,Missing,"This is a decent mall tough rather deserted. It has one of the better movie experiences in Colombo. The gold class is genuine, with reclining lazy boy seats and on weekends you can order meals from your seat. The food comes from the pub Assylum downstairs. Popcorn and sodas including diet Pepsi are always available though a bit pricy for the quantity. it's clean but toilets are outside. And they are aweful!","October 16, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Fisherkf,"Homagama, Sri Lanka",,2,Missing,"Entire shopping complex is in a colonial style building . Apart from the building , it was a very poor shopping experience. There’s no air conditioning in hallways. And bathroom are located out side the building which you have to pay before use. You may find lot of branded stores there, but entire complex look deserted.","October 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Jocelyn C,"Canberra, Australia",,3,Couples,"We went to the Arcade looking for a specific shop, which we didn't find. We did go to a Spa there - I had a pedicure my partner had a massage. I got the feeling we were the only people to book a treatment that day. The cafes and eateries at the Arcade were reasonably busy, the fashion shops were deserted. I went to a tea shop - nothing inspiring. The building is beautiful and worth a look. The Arcade needs something to draw people on apart from expensive fashion shops.","September 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Prashant Kakkad,"Rajkot, India",,1,Solo,Hi Guys If you are wanting to shop in Colombo than Arcade Independence Square is the last place. There is hardly anyone who comes here for shopping. Most of the stores are having a deserted look and absence of big brands is evident. Instead go to Odel.,"September 26, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Max N,21 contributions,,2,Missing,"In search of a nice shopping mall we landed in the Arcade Independence Square. The building looks really nice and the grounds are well kept. Nevertheless, everything seems very empty and somehow careless. Shops like Hugo Boss can be found in the arcade. For us that was unfortunately a complete failure, so we quickly drove away from there.","September 5, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d6949126-Reviews-Arcade_Independence_Square-Colombo_Western_Province.html,Arcade Independence Square,3.9,199,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/fc/7a/83/caption.jpg?w=200&h=200&s=1&cx=700&cy=466&chk=v1_17baf620ec8c972813c0,Charbel C,32 contributions,,5,Friends,"We visited the square at first for its building that looks like the white house... There was a scout camp, with more than 300 kids and 50 responsible. We ended up playing football with the kids. I wish everyone visiting the square will come across a scout camp!","August 28, 2018",0.0,0.0
