Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Helly,"Western Australia, Australia",Expensive,2,Couples,"We popped in to get a few things, having travelled Sri Lanka, we found the supermarket to be expensive and quite small. The actual ahopping centre had about 4 stores upstairs, mainly electrical. Not very interesting for tourists. More suitable for locals.","January 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Rajendra,"Colombo, Sri Lanka",Shopping,4,Missing,"The best shopping / entertainment complex in Jaffna with multiplex cinemas, food court, retail and one of the largest outlets of cargills Supermarket chain.","June 17, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Ram,17 contributions,Clean and Smiley sales peoples,5,Missing,I actually visited on 2019  from Toronto to get some local chocolates for my family and i got surprised to see this store was well organized and clean.  Also the staffs were very friendly and helped me in all the way to find my needs.  I recommend this store any time and i did see the prices were very affordable.  Good to see a building like this in my native place.  Thank you all for keeping this place clean and smily faces from all associates. .,"March 9, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Barney P,76 contributions,"Small, 3-story shopping mall,great location, limited parking: groceries & fast fall court",3,Missing,"Very convenient, good selection, moderate prices, good service, clean, nice atmosphere except food court is noisy with small children running rampart and several food shops are vacant or closed.","August 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,ValAhearn,79 contributions,Very good supermarket.,5,Missing,"We first went here in search of the advertised food hall however, there is only KFC still operating now.. There are a handful of shops on the second floor, a movie theatre on the fourth floor and a very large supermarket on the bottom floor.","April 8, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,SEs,"London, United Kingdom",Mall,4,Solo,This is a very good Mall here.Few shops here.The super market is the biggest here in Jaffna.The counter service slow at the Cargills super market.,"October 27, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,suesalford,"Cadishead, United Kingdom",Small modern shopping mall with supermarket and cinema,4,Couples,"This shopping mall was located next door to our hotel, Jetsing Jaffna, and has a pretty big supermarket on the lower floor, a small number of clean bright shops on the  next floor, including clothing, sari and male clothing, quite a lot of electrical stores and upstairs a small food court with the cinema. By most large city standards it is small, but very modern and handy if you are staying in the hotel. True, there are escalators up but the lift is accessible and there are a flight of stairs near the outside corner.","August 31, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Wijay,"England, United Kingdom",Average shopping mall,3,Missing,This is an average shopping mall. On the ground floor there is a supermarket and few different shops on the first floor. Going up to the first floor there in an escalator but coming down only lift. I couldn't find any stairs. As in some places in Sri Lanka there is a lift operator who occupies a space. During rush time it is a bit inconvenience,"February 2, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Gowfam,"Sutton, United Kingdom",A Mall To Visit,5,Missing,"This Place Is A Gem Of A Mall In Jaffna, Their Are 4 Floors Which Can Be Accessed Via The Manned Lifts, The Mall Is AirConditioned With Parking Available. Amazed At How Clean This Place Was. Went Multiple Times During My Stay For The Cinema (4th Floor) & The Restaurants On The (3rd Floor). Must Visit On Your Travels","October 12, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,arulsatch,"Toronto, Canada",shopping store,4,Missing,We went there 2 weeks ago.Ground floor is supermarket.1st floor some restaurents and 2nd floor movie theater.(Tamil Movies)Its an airconditioned complex.,"August 24, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,johnboy3bw,"Macedon Ranges, Australia",,3,Couples,"Very small shopping mall with a supermarket, few other shops, small food court (KFC) and a cinema. The saddest thing about this mall was the poor security guys that have to stay in the lift pressing buttons all day","May 7, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Muhammad M,13 contributions,,4,Missing,"amazing! you name it they have it! you will be surprised to note tha this super market has everything you need, wonderful outlet with sufficient stocks,","April 19, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,SARUKARAN,"Vavuniya, Sri Lanka",,4,Missing,"We went there for the first time there.the staffs and very friendly,and the price for cinema is responsible and the seat and movie quality is very good","April 18, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Jini,"Colombo, Sri Lanka",,5,Missing,"happy to see these kinds of places in Jaffna as well. KFC, RIO all are there. cleanliness is really good. happy of sri lanka","March 26, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d8126249-Reviews-Cargills_Square-Jaffna_Northern_Province.html,Cargills Square  Jaffna,3.8,32,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d9/16/5e/a-week-after-the-opening.jpg?w=700&h=-1&s=1,Surendra Arun,9 contributions,,4,Missing,"A multi storey fully A/C building with Cargills supermarket on the ground floor, shops (phone, fashion, lingerie, souvenirs) and restaurants (KFC, Rio) on the second floor and a 3D cinema on the third. Is this the start of the development of Jaffna?? Possibly...Cargills is a good place to get gifts for loved ones back home or food to keep you going during your time in Jaffna.","February 7, 2017",0.0,0.0
