Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Elite Travels Jaffna,"Jaffna, Sri Lanka",Best beach in Jaffan,5,Business,"Casuarina Beach (Karainagar, Jaffna) – Famous for calm, shallow waters and white sand. A peaceful beach in the north. Casuarina Beach is one of the most popular and beautiful beaches in Jaffna, located on Karainagar Island. It is well known for its calm and shallow waters, making it safe for swimming. The beach is lined with Casuarina trees, which provide shade and add to its natural charm. Its soft white sand and peaceful atmosphere make it a favorite spot for both locals and tourists. Unlike many crowded beaches, Casuarina Beach offers a quiet and relaxing environment, ideal for family trips and picnics.","September 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Viv Vivekananda,"2,073 contributions",Considered best white sand beach in Jaffna,3,Family,"This long beach in Karainagar is 20 km from Jaffna. It is considered the best white sand  beach in Jaffna. A number of fishermen catch prawns in bamboo traps with lights at night to attract them. These traps are large and just off the beach. The waters are calm and a number of people swim and picnic here. Not many people on the beach. There are toilet and change facilities. Easy level place to walk, wear thongs, hat and take water. Lots of water birds here because of the prawns","August 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Scarlett,"London, UK",Fantastic Beach,5,Missing,"We came here with low expectations, but the beach was fantastic! The sea was very calm, shallow and warm and the sand was clean from plastic. I would recommend that you bring your own food and water to this beach, as there is not anywhere to buy there. There are some changing and bathroom facilities, however you do need to pay for those. You also have to pay both people and vehicle entrance as well.","August 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Fedor M,1 contribution,Dissapointed,1,Solo,There was a cover charge of 500 rp per foreigner and 250 for my driver. The facilities were funded by the EU but have been allowed to decline. The beach itself was littered with thousands of plastic bottles and other rubbish. Some care into this site might justify the entry fee.,"January 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Margaret P,1 contribution,Casuarina a must to visit,4,Friends,"Very nice hotel, location is perfect. Beach clean and very nice. Fiona and Sabrina very professional  and helpful. All people working there are very nice.","October 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Ani C,474 contributions,Casuarina beach,3,Solo,"Over sold, it's okay if you really have too. I was disappointed.   Pay 500r as a foreigner to enter area. There are toilet and changing facilities.  Actually public toilet was spotlessly clean which is not usually the case. The beach is clean but you can't get away from young men who are obsessed with staring and it becomes uncomfortable.  I elected to stay dressed.  Sat enjoyed sand and scenery.  There are boats coming and going. Family friendly. Lots of sri lankans come in special buses as groups. There is a shop for drinks,snacks and basic food. It's not a must place as far as I'm concerned.  I went out of curiosity because the photos on line looked good. Here are the actual during day.","August 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,jerpon,"Lyon, France",Very average range,3,Family,"A paid family beach (500 rupees/person) not very interesting. If you're around, why not. The beach is not essential compared to the beaches of the East Coast for example.","August 14, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Ceylon Dreams Travel,"Colombo, Sri Lanka",Mr.Lahiru is a good tourist guider in Srilanka,5,Family,Mr. Lahiru take us to many beautiful places in Srilanka. We love Sri Lanka because Lahiru show us beautiful places .The best he took is this beach,"August 13, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Ille,5 contributions,Disgusting,1,Couples,"Disgusting! The beach is full of rubbish and dog poop... like almost everywhere in Sri Lanka, the crows attack as soon as you try to unpack something edible and then there's an entrance fee! I don't know how this beach got good reviews. If you want more tourists to come, you should at least make sure it's clean.","November 16, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d3628837-Reviews-Casuarina_Beach-Jaffna_Northern_Province.html,"Casuarina BeachUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",3.8,213,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/d4/4f/cd/caption.jpg?w=700&h=400&s=1,Hassan A,12 contributions,"Awesome, few issues",4,Family,"This location was amazing, the beach is pretty clean and have ample parking(Rs 300 parking fee for cars). They are still in the process of improving. They have an issue with fresh water, they charge Rs.50 per head and give max 2 mins, the showers are below par sadly. Also I'd strongly advise against taking the shorter AB17 road from Jaffna as its disastrous, instead opt for the AB21, its longer but most of the road is properly surfaced.","October 7, 2023",0.0,0.0
