Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Mark T,4 contributions,Think Twice,2,Missing,"Food below average Costs above average Atmosphere not very good Entrance reminds of a building site  could do with some cheering up Puddings and deserts need improving. I personally cannot recommend this place. If you want Atmosphere,  happening scene and tasty food. Try the Kingsbury. Go for th the Evening Buffet. Tell them a happy guest recommend them Room 301","January 7, 2026",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,TAMAN1951,"Liberty Lake, Washington",Nice,3,Couples,Nice viewing spot from the tallest self-supported structure in South Asia. A fee to enter but no good if raining or even drizzling. Unique appearance from the outside as well.,"December 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,KumaraKK,"Colombo, Sri Lanka",Amazing Views from Colombo Lotus Tower,5,Missing,Visited Colombo Lotus Tower with my family and had an incredible experience! The 360° panoramic view from the tallest point in Colombo is absolutely stunning. The best time to visit is between 5:00 PM and 6:00 PM so you can enjoy the breathtaking sunset. A must-see landmark when in Colombo.. Ticket fee Adults Local (Rs. 500) / Foreign (USD 20),"December 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Aspen K,13 contributions,Nice South/Southeast Asian Buffet with a View,5,Missing,"This Review is solely for the Blue Orbit Citrus Restaurant. Make Reservations directly with the Restaurant,  the Buffet is roughly 20-30 dollars per adult, where I found some third party apps charging close to 60 USD per adult! Making a reservation was a little hard to understand,  but a text and a call and a little faith that they saved your reservation and you are in there,  they give a window, and not a specific time which took me a second to pick up on. When you arrive, dont be intimidated if there is a wrap around line outside, that line is for the observation deck. Just inform an attendant that you made a reservation and they will walk you directly to the elevator (making you feel a little bad for skipping the line, but also like a badass VIP) The windows closest to the windows are for couples only and do not rotate, but there is a rotating platform for the rest of the tables that my kids enjoyed. The view is amazing, we went at night so the lights were pretty, but I bet seeing it in the day is also great. The food was good, a mix of Sri Lankan, Indian and Chinese all in one Buffet.","November 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,K W,14 contributions,Observation deck is closed for rain or drizzle,1,Solo,"Observation deck is closed when it’s raining, even for drizzle. I gave it the low rating because there is no warning or disclaimer by the site or timely status update when the observation deck is closed due to rain. There could even be a sign posted at the entrance when the deck is closed.","November 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Angel,"London, United Kingdom","Nice views, disappointing experience but has more potential",3,Couples,"It was nice to see the Lotus Tower closely. Despite only been built a few years ago, the inside is already looking dated and old. The bathrooms are not in great condition and there are a few empty shops on the ground floor. The lift was not particularly modern looking either. However, it was nice seeing the views from the top and identify some of the landmarks. Although many of the signs do not actually line up with the landmark and is actually far to the left or right making it difficult to find them. Great to have this for locals as the only viewing tower in the country. However, there was nothing else of interest there. They still charged full price despite the Pixel Bloom under renovation for a couple of days (this was not explained until walking around aimlessly trying to find it). Okay experience but have seen plenty of other observation decks done a lot better and made more interesting. Hopefully improvements will be made to make this a focal attraction in Colombo in the future.","November 18, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,ingrid d,68 contributions,360 view and amazing food,5,Couples,"We first visit the deck, personel was unfriendly and grumpy. But the views were great. The extra animation were very boring and childish. Later we visit the restaurant, friendly personal and great food.","November 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Nitharsan M,1 contribution,Rip Off Place,1,Missing,This is one of the Rip off place charging for people who has a passport please try to avoid even some of the workers not respectfull so i avoid this place with family,"September 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Viv Vivekananda,"2,073 contributions",Iconic Lotus Tower with great observation deck,3,Missing,"Aptly named Lotus Tower stands at a height of 351.5 meters (1,153 feet). It is an iconic tower in the city visible from afar. Completed in 2019, it serves various purposes, including communication and observation, as well as leisure facilities. An entry fee charged for going up to the observation gallery. In between you can find restaurants, supermarket and food court. Not very crowded, suggest visit early morning . Nice views of city from gallery. You can take a break at one of the food outlets","August 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,"Damian ""Senior Restaurant Tester""",290 contributions,Restaurant with view over Colombo,5,Missing,"The Lotus Tower in the Sri Lankan capital of Colombo is a 350-meter-tall television tower. The tower is the tallest structure in Sri Lanka, one of the tallest structures in Asia, and also one of the tallest television towers in the world. The structure has become a prominent landmark and tourist attraction in Colombo. The Lotus Tower of Colombo, Sri Lanka's capital, is a 350-meter-high television tower. The tower is the tallest structure in Sri Lanka, one of the tallest in Asia and also one of the tallest television towers in the world. The structure became a prominent landmark and landmark of Colombo.","August 1, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,nimjas01,"Rancho Cucamonga, California",,1,Couples,I am a American resident born and bred in Sri Lanka who left at the age of 27. We were visiting SL and wanted to experience the new attraction which was not open during my last visit in 2019. The price was displayed as 500 SLRupees to enter. When approached to purchase tickets counter wanted to charge us $20 equal to 6000 rupees which is ridiculously high even for a foreigner visiting because I did not have a Sri Lanka ID card. We left without buying the tickets. Be reasonable for ex Sri Lankan who are interested in seeing new additions in the motherland.,"June 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Oushika M,1 contribution,,3,Missing,"find the exit. We requested the exit from the guest relations hostess.(Muslim lady in blue suit.) She directed me to my destination. The first time, I didn't hear the way. When I asked a second time, her body language was quite harsh. The facial expressions were pretty awful.","June 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Avi Sharma,India,,3,Missing,"The first thing we did after landing in Colombo was visit the Tower, a major attraction in the city. The view from the top is fantastic, and the crowd management is well organised. The Pixel Show is enjoyable for small kids. Although the tickets are pretty expensive, they're worth visiting at least once. However, the washrooms on the ground level need some upkeep. Overall, I would recommend visiting! 👌","June 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,amyadamy,"Lansing, Michigan",,4,Missing,"This was one of the first things we did when we landed in Colombo, and it was such a great way to begin seeing the city. The views from the top are really beautiful, and on a clear day, you can really see quite far. The Pixel experience was closed the day we were there, but a great stop if you want to see Colombo from the sky!","June 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d27508705-Reviews-Colombo_Lotus_Tower-Colombo_Western_Province.html,Colombo Lotus Tower,3.6,64,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/bd/ad/0c/the-colombo-lotus-tower.jpg?w=700&h=-1&s=1,Sabrina Gabriel Honest Views,Seychelles,,4,Couples,"The Lotus Tower is a stunning architectural marvel that offers breathtaking city views from its observation deck. Its iconic lotus-inspired design is a treat to the eyes, day and night. The Pixel Bloom experience adds a magical touch, blending art and technology with interactive, vibrant digital displays that captivate visitors of all ages. With excellent facilities and friendly staff, it’s a must-visit for anyone seeking a mix of beauty, creativity, and innovation. Perfect for both locals and tourists!","June 12, 2025",0.0,0.0
