Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Seevali D,"Colombo, Sri Lanka",Serene and Tranquil Feeling,5,Friends,"On 23rd November 2025, our group of thirteen embarked on a memorable journey with Flamingo Lanka tours to visit this historically significant temple, as part of our tour to the UNESCO world heritage city, Anuradhapura.  Constructed by King Devanampiyathissa (247-207 BC), Thuparamaya is recognised as the very first stupa constructed in Sri Lanka following the introduction of Buddhism to the island.  Thuparamaya stands as a testament to the island’s rich cultural heritage. The original stupa renovated in 1862, now features a striking bell-shaped dome.  It rises to a height of 63 feet, with a base diameter of 59 feet.  Surrounding the stupa are four concentric circles of stone pillars, believed to have once supported a conical wooden roof that sheltered the original stupa. The tops of these pillars are adorned with intricately carved lotus buds, showcasing the exceptional craftsmanship of ancient artisans. At the entrance are beautifully carved guard stones, classic examples of ancient Sri Lankan art. As is customary at all sacred Buddhist sites, we dressed modestly and removed our footwear before ascending the platform.  Visiting around 11 am, we found the granite floor quite warm underfoot, making us realize that an early morning or evening visit would have been more comfortable. Following tradition, we walked clockwise around the stupa.  The Buddhists among us, joined the crowds in offering flowers and chanting pirith (Buddhist stanzas), paying homage to the Buddha and his teachings.  The serene and tranquil atmosphere of the temple left a lasting impression on all of us. Thuparamaya is not only a site of great historical importance but also a place where visitors can experience the peaceful spirituality that defines Sri Lanka’s Buddhist heritage. I highly recommend visiting during the cooler hours of the day to fully appreciate the beauty and serenity of this ancient monument.","January 8, 2026",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,selvakumar2015,"Chennai (Madras), India","A picturesque stupa in the heart of Anuradhapura, Sri Lanka.",3,Solo,"Perhaps one of the earliest buddha stupas in Sri Lanka, the ruins of old stupa have been left intact and a new stupa is built at the came campus. the place is crowed with ice cream vendors. the picturesque pillars around the new stupa were originally designed to prevent wild elephants from damaging the stupa. A possible visit if you have time to spare.","September 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Melisa Travels,"Colombo, Sri Lanka",temple,5,Missing,"Dagoba of Thuparama – Sri Lanka’s Oldest Stupa The Dagoba of Thuparama, located in Anuradhapura, is the oldest stupa in Sri Lanka and a significant Buddhist pilgrimage site. Built in the 3rd century BCE by King Devanampiya Tissa, this sacred monument is believed to enshrine the right collarbone relic of Lord Buddha, making it a highly revered location for Buddhists. Highlights: ✅ Historical Significance – Thuparama is considered Sri Lanka’s first stupa, marking the introduction of Buddhism to the island. ✅ Unique Architecture – Unlike other stupas, Thuparama originally had an ‘vatadage’ (circular relic house) surrounding it, remnants of which can still be seen today. ✅ Peaceful Atmosphere – The site exudes serenity, making it a perfect place for meditation and reflection. ✅ Cultural Importance – Regular religious rituals take place, with many devotees offering flowers and prayers. ✅ Surrounding Ruins – The area around the stupa features ancient pillars, stone carvings, and other remnants of Anuradhapura’s glorious past.","April 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Amendra,United Kingdom,The oldest documented Buddhist Stupa in Sri Lanka,5,Friends,"Thuparamaya is the oldest documented Buddhist temple in Sri Lanka, a testament to the arrival of Mahinda Thera and the introduction of Buddhism to the island. Nestled within the hallowed grounds of Mahamewna Park, the magnificent Thuparamaya Stupa is the very first Dagoba ever built on the island, dating back to the reign of King Devanampiya Tissa (247-207 BC). This sacred temple has been officially recognized by the Government and designated as a protected archaeological site in Sri Lanka. Join us on a journey through time and history as we explore the ancient wonders of Thuparamaya!","December 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Sriyani T,15 contributions,Beautiful Ancient Temple,5,Couples,"If you are a history buff you will love going into this very old temple site. Beautifully located and maintained, this dagoba is well worth the visit. I am a Christian, but for the Buddhists, this is a place of pilgrimage, so you will streams of people in white carrying flowers to worship. Lovely site.","February 16, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Martina B,"Mirano, Italy",Beautiful..,4,Missing,"Very impressive and very beautiful stupa. I was struck by the many faithful in prayer who, as in all temples, donated flowers in homage to the Buddha... you can breathe an air of pure mysticism... worth seeing...","December 18, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Thuparamaya,5,Friends,This is the earliest documented Buddhist temple in Sri Lanka. It is in Mahamewna park. It is the earliest Dagoba to be constructed on the island dating back to the reign of King Devanampiya  Tissa (247-207BC),"November 17, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,anibal p,"San Esteban De Gormaz, Spain",very good......,4,Couples,"Very pretty, you have to walk along a walk full of stalls with flowers at a ridiculous price, it is very curious to see the pilgrims make their flower offerings and see them meditating....","October 17, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Thuparamaya,5,Friends,"Thuparamaya is the earliest documented of Buddhist temple in Sri Lanka. It is in Mahamewna Park and is the oldest Dagoba constructed in Sri Lanka, dating back to the reign of King Devanampiya Tisa (247-207 BC)","August 13, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d447400-Reviews-Dagoba_of_Thuparama-Anuradhapura_North_Central_Province.html,Dagoba of Thuparama,4.2,240,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/94/1b/6f/caption.jpg?w=200&h=200&s=1,Fer,"Colmenar Viejo, Spain",Impresionante. Sala con budas.,5,Missing,"The original name of this image house is not known; therefore, the builder of this is also unknown. It is thought that this was built by a minister of King Parakramabahu (1153‐1186) called Mahinda to house the tooth relic. Another belief is that this was built by king Vijayabahu I (1070‐1110). This is the only monument among those in Polonnaruwa where the roof is well preserved. Alberga ocho budas, algunos de los cuales se remontan al periodo Anuradhapura. Los gruesos muros del santuario tienen troneras por las que entra la luz al interior y permite que resplandezcan los cristales de piedra caliza de los budas.","February 27, 2023",0.0,0.0
