Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",Good to combine with st clairs,4,Solo,In combination with the St Clairs case a nice trip...always depends heavily on the water level if it is worth going here,"November 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Kamal P,"Byron Bay, Australia",A graceful beauty,5,Family,"It flowed down like a long white curtain until it reached a terrace that was midway. Then it changed its course a little and continued to flow down on its second drop. The entire picture had a mesmerizing effect. Devon Falls was full with all the rains that has been falling to its catchment area. View from the lookout was a bit hindered by the growth of the trees on the embankment. Nevertheless, it was a fascinating picture to gaze at.","May 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Silvia C,"Turin, Italy",Waterfall,3,Friends,"It's one of the waterfalls you'll come across in Sri Lanka. Very pretty but nothing fancy. You definitely don't go to Sri Lanka to see the falls, but if you're in the area, spend a few minutes there.","September 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Jazz Gumbo,"London, UK",Stunning spot,4,Couples,"A fantastic viewpoint for not only Devon Falls but also for the surrounding area when you can enjoy some stunning views, well worth a stop to enjoy the vista!","March 7, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",Falls with a thousand moods.,5,Family,First things first. There are two viewing points. First one when you travel from the side of Hatton doesn't grant the full view of the falls. But the effect of  the this spectacular falls seen through the thick foliage has it's merits. For a fuller view its the next viewing spot a few hundred meters ahead that would be suitable.,"September 29, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Janka K,"Brno, Czech Republic","For me, it was enough to check the waterfall out from a parking lot",2,Couples,"Not sure how is it with hiking to get to the waterfall or so, but I saw it from a parking lot of Mlesna Tea Castle and that was enough for me.","April 7, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Senaka Suriyaarachchi,"Colombo, Sri Lanka",Beautiful waterfall,5,Missing,A Beautiful waterfall in Sri Lanka situated in Colombo - Hatton- Nuwara Eliya route. There is a viewpoint on the roadside where you can enjoy the view.,"February 9, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Tharaka D,"Minuwangoda, Sri Lanka",Nice photo location,5,Missing,You can have a good view of this waterfall from the road. There are two viewing points. I heard there is a path to go near the fall.,"January 21, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Chinthaka_Ptz,29 contributions,Wonder full waterfall in Sri Lanka,5,Missing,Wonder full waterfall in Sri Lanka situated in Colombo Nuwaraeliya main road. There is a viewpoint in road side where you can enjoy the view,"December 15, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Michael Morris,"Palma de Mallorca, Spain",Magnificent Waterfalls,4,Couples,"We stopped at this viewpoint on our way from Kandy to Nuwara Eliya. The views are breathtaking and span across 3 waterfalls and a large lake. If you walk through the little crafts shop in the parking lot, you will find a stair case at the back which leads to a rooftop viewing point. The views from there are the best! Within about a 5 minutes drive from there, is the Ramboda Waterfall where a hotel is located. If you walk to the bottom floor you can access the trail which leads to the Waterfall itself and have lunch at the restaurant afterwards.","November 22, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Dr.Harsha Bandara,"Colombo, Sri Lanka",,5,Missing,This is another superb location to relax for some time via Hatton Road on a journey to Nuwara Eliya..,"April 21, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,acmemc,"Colombo, Sri Lanka",,5,Missing,This water fall can be viewed from the main road. It has a very long drop & very spectacular to keep watching.,"September 3, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Kai Wah,Malaysia,,3,Couples,"Waterfall can be seen from Devon Waterfalls viewing platform from very far distance surrounded with greens. It is too far to appreciate the beauty of the waterfall, hence it was a little underwhelming for us. Nevertheless, the surrounding views is quite beautiful and peaceful, which worth for a short stopover. Hiring driver is necessary and we engaged “BLUE HAVEN TOURS” with reasonable price and superb driver named “Mr Sugath”.","March 24, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Horzsi,"Dubai, United Arab Emirates",,5,Couples,"There are two falls almost next to each other: ST Claire and Devon Falls. Our recommendation is to start with St Claire with a quick photo stop and save your energy for Devon Falls. When you arrive to the falls car park go down on the steps of the temple and keep carry on going down on the thousand steps... the forest walk is easy, brings you to an almost direct view of Devon Falls. Peaceful walk for about 45 minutes down and back Definitely worth visiting Enjoy","March 6, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",,5,Missing,"at 350 plus feet and loads of water year round ,this waterfall is one that ranks high among the thousand plus cascades in the island","February 22, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4260453-Reviews-Devon_Falls-Nuwara_Eliya_Central_Province.html,Devon Falls,4.2,271,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/1d/84/58/waterfall.jpg?w=700&h=400&s=1,Dasun,"Matale, Sri Lanka",,5,Business,When we drive From Adams peak to Nuwara  Eliya on the way we can see this water falls.we not go close to there but we can see it on the road.,"February 17, 2020",0.0,0.0
