Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Dinu Tours,"Tangalle, Sri Lanka",We visited the historic Dondra Head Lighthouse,5,Business,"Had a fantastic day touring the southern coast with a lovely family from Germany. We visited the historic Dondra Head Lighthouse, the southernmost point of Sri Lanka, and also witnessed the impressive blow hole nearby. The tour concluded with a drop-off in beautiful Mirissa. A perfect day trip itinerary!","August 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Shukriya Buhari,"Colombo, Sri Lanka",Beautiful view point,5,Friends,"I visited Dondra Point for the first time and it was such a wonderful experience! The place is peaceful and beautifully scenic, with breathtaking ocean views. Standing at the southernmost point of Sri Lanka felt special, and the fresh sea breeze made it even more relaxing. The surroundings are clean and calm, perfect for enjoying nature and taking photos. I’m really glad I visited — it’s a must-see spot if you’re in the area!","August 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,phileve R,"Aix-en-Provence, France",Nice imposing headlight,3,Friends,"Sri Lanka’s southernmost lighthouse, a short walk near the lighthouse, but unable to climb, we were told it had not been visited since the Covid 19 crisis. Too bad because the view must be superb. This all-white lighthouse remains very imposing in this place, push to the creek to the east where local boats are sheltered, the place is peaceful. It would have been built with stones imported from England.","January 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Hemant G,"Colombo, Sri Lanka",Hemant,5,Friends,"It is one of the best places, I have ever visited, The view is very nice from up there, We can see the whole of Matara, It is an easy climb","September 24, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Harshana Piyasinghe,"Kandy, Sri Lanka",Southern Most Point of Sri Lanka. Well maintained & Beautiful.,5,Friends,It's worth visiting this place if you are traveling in the southern part of Sri Lanka. This place is considered as the southern most point of Sri Lanka. Light house and the surrounding are well maintained. Beach is so beautiful too.,"April 2, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,investigator64,"Ivanovo, Russia",Sri Lankan coastal light from the “Knight of Lighthouses”,5,Couples,"Dondra Head Lighthouse was the second lighthouse I visited in Sri Lanka. It is located on the coast of the island, almost at the southernmost tip, in a settlement called Dondra. Some sources write that the lighthouse stands at the southernmost point of Sri Lanka. However, the geographer clarifies: in order to really be in the very, very south of the island, you need to walk 500 meters to the south - that’s where the very end of Ceylon will be, from where the vastness of the Indian Ocean will open to your eyes all the way to Antarctica!!! But let's return to the goal of our trip - the Dondra Head lighthouse. The latter, with its height of 49 meters, is the tallest lighthouse on the island, as well as one of the tallest lighthouses in Southeast Asia. The Dondra Head Lighthouse owes its appearance to the only British architect who received the title of knight and the title “sir” due to this status for his engineering and “lighthouse” merits - James Nicholas Douglas. The latter was a civil engineer and designer of lighthouses. During his life, Sir James designed at least two dozen famous and not so famous lighthouses in England, Wells, on the islands of Guernsey and Portland, as well as in Sri Lanka. The construction of the Dondra Head Lighthouse began in November 1887, and the construction was led by William Douglas from the Imperial Lighthouse Service (by the way, the brother of the sir mentioned above). Strange as it may sound, ALL the building materials that were used in the construction of this lighthouse were delivered from England!!! Two and a half years later, in March 1890, Dondra Head was put into operation. Like the Barberyn Island Lighthouse I visited earlier, this lighthouse is also one of the island's four international lighthouses. The seven-story faceted “body” of the Dondra Head lighthouse is cut through in places by window openings. Apparently the very “facetedness” of the structure made me think about the fortress donjon - the “tower of last hope”... Although, as I believe, this is so - for sailors caught in a night storm, the light of the lighthouse is the ray of that very “last hope”. hope""... Walking with my head up at the foot of the Dondra Head lighthouse, I involuntarily remembered the statement of Andrei Eigus from “Towers of Power”: “It seems to me that at the lighthouses themselves you experience something similar to what happens to you in the temple... Some kind of a secret place where there is no one and where you are alone with some magical power...” Alas, I was not able to climb to the top of this lighthouse - there are stricter rules... However, if fate does take you to the south of Sri Lanka, do not regret a little time - visit Dondra Head Lighthouse. Moreover, this is the only “knightly” lighthouse of the island!!!","March 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Eshara R,"Colombo, Sri Lanka",😍😍👌SPA Hiriketiya,5,Family,"Talking Fingers SPA Hiriketiya exceeded all my expectations. The serene atmosphere, coupled with the stunning view, made for a truly magical experience. The staff went above and beyond to ensure my comfort and satisfaction. The massage therapists are truly gifted - I left feeling like a new person.","March 1, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Victorianlad,"Melbourne, Australia",Southernmost point,3,Solo,This historic lighthouse used stone quarried from Cornwall in England' West Country plus Scottish stone. It was modernised in 2000 with GPS. It was worth a 10 minute visit.,"March 1, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,Kirsty W,13 contributions,Lovely viewpoint.,4,Friends,"Amazing views of the coastline - we were informed that at the moment the lighthouse is only open 2pm-5pm on Saturday afternoons only,but you can wander around it's gardens.","February 21, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g5888882-d5887931-Reviews-Dondra_Head_Lighthouse-Dondra_Southern_Province.html,Dondra Head Lighthouse,4.3,226,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/c3/91/dondra-light-house-sri.jpg?w=700&h=400&s=1,TravelerRanitha,"Moratuwa, Sri Lanka",Landmark places to visit,4,Family,"This is one of the landmarked places to visit in sri Lanka, place is well maintained. A very good view of the sea from both ends of the light house","May 7, 2023",0.0,0.0
