Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Lanil Marasinghe,"Colombo, Sri Lanka","Moderate Hike to a Misty, Powerful Waterfall",4,Solo,"From the entrance, it’s about a 1.5 km walk to the waterfall observation deck. The path includes stairs and railings, but it’s a bit of a climb, so some level of fitness is needed. Tickets are required and the site is open from 6 AM to 6 PM. Reaching the base of the waterfall isn’t possible—or would be too dangerous—due to the heavy water flow. It’s a unique waterfall with a powerful water mass and a constant misty atmosphere.","April 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,cham,"Auckland Central, New Zealand",Great walk,5,Missing,Really beautiful water fall in Sri Lanka. If you are in Ella or Badulla you should try visiting Dunhinda. Walking track is around 2km along one way. A great walk through the forest.,"December 27, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Lab L,0 contributions,How Local Government's Actions Detract from the Beauty of the Waterfall and Surroundings,3,Friends,"The waterfall and the walk to it are truly stunning. However, it's unfortunate that the local government has built small huts made of cadjan and sheet metal for local vendors, which detracts from the natural beauty of the area. I would advise not purchasing anything from these sellers, except for a bottle of water, as many of the products they offer are fake. For example, we were sold kitul jaggery, only to later discover that it was simply colored sugar pulp.","December 24, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,ADDA A,0 contributions,Nice location,3,Friends,"Beautiful place, too bad we saw it in the rain and the waterfall was mud colored!!! Very annoying is the fact that my Sri Lankan girlfriend paid 50 rupees while for us foreigners 500!!! In this country, this thing that happens in so many places is shameful!!!","May 16, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Piyal Kurukulasooriya,"Kandy, Sri Lanka",Beautiful Dunhida Falls,5,Missing,Dunhida Falls is one of the most beautiful and most visited waterfalls in Sri Lanka . Located close to Badulla town and about 2km away from main road . It’s a lovely trek alone with some creaturous experience with monkeys . Fall is full these days with muddy and clear waters …. One of most beautiful I have seen ❤️ and excellent location for drone photography. Dr Piyal Kurukulasooriya Consultant Surgeon,"January 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Mahinda A,0 contributions,Dunhida waterfall at Badulla,5,Missing,"Very beautiful waterfall. 30 - 45 minutes real trekking of 1.5 km in bushy jungle. Recommend to wear suitable footwear . On the way you meet lot of monkey s, looking for food. Several shops on the way selling local fresh fruits. The innocent female venders make their living out of it. Take some money with you , if you do not feel like buying something for you, feed innocent monkeys who are starving without food. Entrance fee for foreign tourists is similar to US$ 2.","January 9, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,carolynmw812,0 contributions,Mid week visit a must,4,Couples,Early morning mid week visit gave us a quiet time to explore this beautiful location. Worth the 1.5km of steps & rocks to the magnificent fall !,"December 10, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Roshen W,"Kandy, Sri Lanka",Spectacular sight,4,Solo,This is one of the most spectacular warerfalls in the country which is located in Badulla. Need to walk about 2km from the entrance to get to the location which will take about 20 - 30 mins depending on the speed. Truly a sight to see and a good location to capture some quality shots especially from a drone. Must visit sight in the island.,"March 4, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Navi,0 contributions,Beautifull waterfall,5,Missing,one of the best waterfall in Sri lanka .easy acces. Beautiful weather in area. If you need can have a bath. Very good spot for photos,"February 18, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1950222-d2571915-Reviews-Dunhinda_Falls-Badulla_Uva_Province.html,Dunhinda Falls,4.5,128,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/fa/93/23/20180206-194842-largejpg.jpg?w=700&h=-1&s=1,Steve smith,0 contributions,waterfall,5,Missing,it is a really nice walk through small pathway and reach to Dunhida fall. it is breath taking and iconic waterfall in Badulla. about 3 miles away from Badulla city. about 30 min walk to reach there,"November 10, 2022",0.0,0.0
