Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,tuk tuk service kalpitiya. +94751592032,"Kalpitiya, Sri Lanka",Kalpitiya tuk tuk service Call me if you are interested visit Dutch fort kalpitiya and village tour WhatsApp number+94751592032,5,Friends,Kalpitiya Dutch Fort is an amazing place to visit the kalpitiya village Sri Lanka ending more tourists and local people visit,"January 18, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Gma,"Piraeus, Greece",Don't go,1,Solo,You can not get in. The navy will not allow it. What a waste for srilanka's tourism and what a waste of time... so sad,"January 20, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Channa R,"Sydney, Australia",Quaint,3,Friends,"Beautiful, quaint little church. Well looked after and worth a visit if you are in Kalpitiya. The wooden structure still is in good condition even though the adjacent grounds could be better maintained.","September 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Sudesh,"Matara, Sri Lanka",Well maintained,4,Friends,"This place is open 8am and close 4pm This place is take cared by Sri lankan Navy, so keeping this place properly No need to pay enter. Avoid mid day time as it is so hot 1 hour is enough for visiting","August 27, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,fjp4564,645 contributions,Revisiting Dutch Occupation,4,Solo,"A small building with unique dutch architecture, dates back to the times when Sri Lanka was occupied by the Dutch.  Something of historical value","April 7, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Calistor M,6 contributions,nice place to visit,5,Couples,one of very heretical place dutch fort and dutch church in Kalpitiya. old memorial place. It build up in dutch period. close to the fish Haber.,"April 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Deee_Naa,"Gampaha, Sri Lanka",Nice place to be!,4,Friends,"Visiting the Dutch Fort of Kalpitiya exposed us to the Colonial history of Sri Lanka. Appreciated the support given by the Navy officers to make our visit valuable. However, make sure to bring caps or hats if you are visiting the fort in noon.","January 5, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,RHM63,"Oxfordshire, United Kingdom",needs restoration,3,Missing,The fort is situated in the naval camp and a cadet provides a guided tour.  The fort is reasonably well kept but needs restoration and preservation. Worth a visit but nothing spectacular except if you are interested in history.,"December 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,nadeeka w,"Colombo, Sri Lanka",A must see in Kalpitiya,4,Missing,This place is a Navy Base now. You need to get the permission from the Navy officers to enter the fortress. It is not a cumbersome task. Then one Navy officer will come with you and explain the important parts of the fortress.,"November 29, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,Brian T,"Kuwait City, Kuwait",Great experience - knowledgeable seamen,5,Friends,"I recently visited the Dutch Fort in Kalpitya, which you can only go in with a guide from the Sri Lankan navy. It was a nice experience and we had a very friendly navy guy who explained during the tour about the history behind the fort. You need to make sure you have either your passport or some other ID, as they need this to hold while you go on the tour. The tour is short but worth the visit","August 11, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,NishD,"Kandy, Sri Lanka",,5,Missing,The Entrance road is pretty small as sellers seen in middle of the road all Muslim community is living here .The place is managed by Navy and they provide a great service .They will guide you through all steps. Photos allowed here and it's really hot on sunny days .,"July 2, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,boski,"Island of Malta, Malta",,5,Couples,"My husband and i arrived to have a look around, a very surly young man took my passport and kept it during the visit ???? but did not even look at or keep my husbands at all ???? the fort is unreal and you can take photos we took heaps. The only problem is that the guy showing us around was in a mad rush and could not wait to get rid of us so it was at a frantic pace. Being a military base there are soldiers with guns around etc also. Well worth a visit to see this piece of history","March 8, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1404719-d3996973-Reviews-Dutch_Fort_Of_Kalpitiya-Kalpitiya_North_Western_Province.html,Dutch Fort Of Kalpitiya,3.6,51,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/a9/86/73/dutch-fort-of-kalpitiya.jpg?w=700&h=400&s=1,barefootmart,"Toronto, Canada",,4,Couples,Took a free tour of the fort. You need you passport but with lots of smiles and apologies the supervisor gave us the OK. The fort is still used by the navy/coast guards? so you need a pass. The hole walling tour takes about 15 - 20 minutes. Don't go out of your way to see it.,"March 6, 2018",0.0,0.0
