Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Zeinab T,3 contributions,Just an old building,3,Family,"It was nothing special for me. Just an old hospital turned into local shops, restaurant and bar. Not worth taking time if you have a short stay in Colombo.","December 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Shane B,"Te Awamutu, New Zealand",Apart from some good restaurants no much there,3,Couples,It has some good eating options including the Ministry of Crab which is quite expensive apart from that not much there if you want to do some shopping get a tuk tuk and go to the markets about 1/2 a kilometer away,"July 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,W3694IManneb,11 contributions,Allow 10 minutes only,3,Family,"The architecture was interesting but the restaurants and shops were very uninspiring. It is very central and could be so much more, a wasted opportunity.","July 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Nusrat S,131 contributions,Upmarket restaurants and stores,4,Friends,Visited in April to have dinner at ministry of crab. It’s a nice place with a lot of restaurants and soviner shopping  lovely bars and cafe surround the courtyard  . It’s a 17century old colonial Dutch hospital with terracotta tiles on floor red tiles on roof and large pillars restored and preserved  there are 2 courtyards where u will find seating if u wanna eat out  nice place to hang out at night,"April 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Shelley M,"Albany, New Zealand",Some interesting history,4,Family,"Lovely old building but does not have a lot of the history easily accessible, have to research it.  Some lovely shops, cafes and restaurants around here and tourists seem to hang around this area as it had coffee shops and was quite pedestrian friendly.","April 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Mustafa Grump,"East Garston, UK","Restaurant and Bars, not much in the way of shopping.",3,Couples,"There's not a lot here other than restaurants and bars which is fine, but it's certainly not a shopping precinct so unless you're hungry or thirsty I wouldn't bother visiting.","March 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Kusal A,5 contributions,Christmas Dinner,5,Family,We had a dinner and drinks  at Dutch and pub Restaurant so awesome and  many options are available in the Dutch hotel although many alcoholic options are available in the restaurant (local and foreign liquor),"December 26, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,tiralb,"Tirana, Albania",Limited shopping and a number of restaurants.,3,Solo,"This place houses mainly restaurants and bars. I had only ice cream and it was reasonably good, though the service was a bit slow. There are a few small shops, including one souvenir shop. The atmosphere is pleasant, but it would be nice to have a more diverse set of shops.","October 19, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Piyush Daruka,"Nagpur, India",Dutch colonial market and super delicious local lancan food,3,Couples,"The Dutch Hospital Shopping Centre in Colombo is a must-visit spot for anyone exploring the city. Set in a beautifully restored colonial building, it offers a great mix of upscale boutiques, unique souvenir shops, and excellent dining options. There is nothing much to shop basically but the ambiance is charming, with a blend of history and modernity that makes for a pleasant experience. Stylish cafes and good local food.. very famous ministry of crab","August 26, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d2459884-Reviews-Dutch_Hospital_Shopping_Precinct-Colombo_Western_Province.html,Dutch Hospital Shopping Precinct Galle,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/79/86/82/the-courtyard-with-the.jpg?w=700&h=-1&s=1,Jeroen R,"Zuidland, The Netherlands","Tasty, but very slow.",1,Family,"Visited for lunch during a city visit to Colombo. The quality of the food itself was fine, but the service extremely slow and inefficient. Very unpleasant if you place your order at 13:30 and the bus leaves at 15:30. When dinner finally arrives at 15:15, there is actually no time to eat relaxed. In short: if you have all the time in the world, it is a nice place to visit. Do you want to spend less time at lunch, than rather skip.","August 14, 2024",0.0,0.0
