Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,PasiT,"Myllykoski, Finland",Remontissa- Under Constraction,1,Couples,Et pääse eteistä pidemmälle. Täynnä rakennustelineitä. Ei kannata nyt käväistä. Can go further that hall. No worth to visit now. Maybe later.,"December 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Vadim,"Murmansk, Russia",The oldest church in Halle. Closed both evening and afternoon...,4,Family,"In fact, the name of this oldest church Halle, as in most Dutch cities, is still Groote Kerk=- Big Church. It may not be too big by Dutch standards. But there's less money in the colonies and less flock. Groote Kerk was built in 1755 on the site of a Portuguese Capuchin monastery. The foundations were laid 70 years earlier at the highest point in Halle, 12 metres above sea level. Centuries later, the high location and walls of the fort saved the church from the devastating tsunami of 2004. Interestingly, the freestanding bell tower is older than the church itself, as it was built in 1701 and was given to it by its predecessor church.  Unlike the Anglican -All Saints church, Groote Kerk did not get us. It was closed on both visits to Halle. Evening and afternoon. I suspect this is her permanent state...","November 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Rosh S,5 contributions,Church of historical significance,5,Family,"Lovely little church situated within the Galle Fort. It was interesting to read the names on the gravestones and the various tablets erected inside. No entry fees were charged, but there is a box for voluntary donations near the pulpit.","September 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Shyam Mishra,"Kolkata (Calcutta), India",Good,4,Family,Beautiful church made in 1755 situated inside Galle fort. It is a Protestant church. One should visit if he visits Galle.,"February 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Marcel J,"Zoetermeer, The Netherlands",Dutch Reformed Church,3,Couples,"In the fort, this Dutch Reformed church is one of the places with historical value. Next to the church is a small cemetery with tombstones from a distant past.","January 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Helly,"Western Australia, Australia",Pop in for a look.,4,Couples,"Amazing history, we paid for a guide to provide historical information. The inside is so interesting and you can take photos. You will be asked for a donation upon leaving.","January 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Silvia C,"Turin, Italy",The Reformed Church,5,Friends,"There are several churches in Galle city and this is really interesting to see. But don’t limit yourself to this church, go for a walk and see them all so you understand the history of the city.","August 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,Pidushan de silva,"Colombo, Sri Lanka",Old is gold,4,Solo,This church also base on galle fort but confair to other church litte bit small.name was Ramond church it was beautful one you may like to visit it,"August 30, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,investigator64,"Ivanovo, Russia",Groote Kerk: one of the oldest Protestant churches in Ceylon,4,Couples,"Strange as it may sound, today there are almost no traces of its Portuguese founders left on the 36.4 hectares of land occupied by the Sri Lankan fort of Galle. I suppose you remember that in 1589 it was the descendants of the subjects of Henry the Navigator (Henrique o Navegador) who built the first fortification in Galle - the fortress of Santa Cruz Fortaleza (with earthen ramparts, bastions and wooden fortifications). However, in March 1640, an expeditionary force under the command of Commodore Willem Jacobson Coster, after a fierce battle, took the fort by storm and Halle became Dutch for many years. The warriors of the “land of tulips,” taught by the sad experience of the Portuguese, by 1663 erected a monumental granite fort in Galle. The latter is included in the UNESCO heritage list as the largest surviving fort in Asia built by Europeans. In doing so, the Dutch incorporated the Portuguese north wall into a large rampart. The first (so-called old) gate to the fort was located next to the harbour. They are still there, marked with a heraldic bas-relief and the numbers “1668” (as I understand, the year they - the gate - were erected). And not far from these very oude poort in 1775, the Groote Kerk (aka Dutch Reformed Church, also known as the Dutch Reformed Church) was built - one of the oldest Protestant churches in Ceylon. According to researchers, this temple was erected on the site of an earlier Portuguese monastery, Ordo Fratrum Minorum Capuccinorum (however, I did not find any reliable data about the latter, so I treat this information with great doubt). I am not good at the architecture of Dutch churches specifically from the period of colonial rule in Ceylon, but I can say that all the religious buildings of the Dutch (and, according to my calculations, there seem to be only five of them left on the island) are not similar to the various churches of Catholicism that I have previously seen, Orthodoxy and Protestantism. Not to mention other, less numerous “branches” of the Christian faith. And all the Dutch churches of Ceylon: Groote Kerk in Galle, Wolvendaalse Kerk in Colombo, St Peter's Kerk in Kalpitiya, Nederlands Hervormde kerk in Matara Fort, Kruys Kerk in Jaffna Fort - they are different and, at the same time, somewhat similar. The current Dutch temple in Halle was built with the care of the fort commander Casparus de Jong and his wife Geertruida Adriana Le Grand. In 1755, the latter happily gave birth to a long-awaited child (a girl) and, as a sign of gratitude to the Almighty for such a gift, Lord and Lady Spanbrook sponsored the construction of a temple on the territory of Fort Galle. Yes, to make it clear: the current church is definitely not the first Christian temple in the fort: the Dutch knocked the Portuguese out of the fortress in 1640 and, being zealous Christians, could not live without the sacred. Therefore, I agree with the opinion of researchers that the first Dutch temple appeared in Halle in the middle of the 17th century (it is documented that baptisms were already carried out in the Gallic church in 1678). As for the current Groote Kerk, we know exactly when this temple “began working.” And all thanks to the daughter of Commander de Jonga: by decision of the parents, their daughter was not baptized until the church was built. And the corresponding entry in the church book indicates the date of the baby’s baptism - August 24, 1755!!! A couple of “strokes” for the architecture of the sacral. In its spatial-volumetric composition it is close to Kolombov's Wolvendaalse Kerk; it has the same cruciform shape, only its transepts are much shorter. Retaining the weight of the floor was achieved through the original use of the structure of two large Dutch gables on the north and south sides. The pediments are originally decorated with pilasters, cornices, fancy stucco moldings, including volute-shaped, spiral shapes, and are completed with three finials resembling torches. The Groote Kerk in Fort Galle is a most interesting historical and architectural site. Highly recommend!!!","March 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3637033-Reviews-Dutch_Reformed_Church-Galle_Galle_District_Southern_Province.html,Dutch Reformed Church,4.1,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/44/1b/6b/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_95eaf70a7a9e59a4d1be,jeff1955malaysia,"Kuala Lumpur, Malaysia",A lot of history,4,Friends,"The Dutch Reformed Church or Groote Kerk is one of the oldest Protestant churches to serve this island. It was built by the Dutch in 1755 on the highest point within the fort, with its base standing more than 12 metres above sea level.","December 10, 2023",0.0,0.0
