Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Nilmini D,"Colombo, Sri Lanka",An Old Light House in Galle Fort,5,Friends,"We left Colombo around 6.30 am through Southern Highway and able to reach Galle around 8.00 am. After having breakfast in a nearby restaurant went to Fort. After watching several historical places, we reached Light House. This supposed to be built by Englishman who ruled Sri Lanka after Dutch. Now this is not in use, since the new technology replace the requirement.","October 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,manichur j,5 contributions,Amazing Sunset Experience at Galle Fort Lighthouse,5,Friends,"One of the highlights of our trip with Hai Sri Lanka Tours was the evening visit to Galle Fort Lighthouse. Our guide, Sithum, took us there perfectly timed for the sunset, and it was truly magical. Watching the sun set over the ocean, with the historic fort as the backdrop, was an unforgettable experience. Sithum made the visit even more special by sharing fascinating stories about the fort’s history, its architecture, and the surrounding area. He ensured that we had plenty of time to take in the views, capture photos, and soak in the atmosphere without feeling rushed.not too crowded. The combination of stunning scenery, historical significance, and Sithum’s knowledgeable guidance made this part of the tour absolutely memorable. I highly recommend this experience to anyone visiting Sri Lanka it’s the perfect way to end a day filled with exploration and adventure.","October 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Kamal P,"Byron Bay, Australia",Like a candle in the Fort of Galle,5,Friends,"This beautiful lighthouse is an added attraction within the Galle fort complex. Constructed in the Point Utrecht Bastian of the fort in 1938, the structure looks elegant and appears as a landmark of the Eastern side of the rampart. We learnt that the lighthouse was about 26 meters tall and served a very important role in navigation in this part of the ocean. Area around this lighthouse had several rocky outcrops and vessels sailing towards the Galle harbour would have been ably assisted to avoid these obstacles by its presence. Just below the lighthouse the sea was very calm and there were many bathers having great fun.","June 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Nusrat S,131 contributions,Galle lighthouse,4,Friends,Lovely view u can catch a beautiful sunrise if u manage to get up early . It’s still a functioning light house and reminds of the old times. There is a lovely beach next to it for a stroll,"April 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Shelley M,"Albany, New Zealand",morning view was awesome,5,Family,"It is still a working lighthouse, as in the light works at night.  Quite nice to see.  A lot of tourists around this part of Galle.  It is nice to see at night and also in the morning we got some lovely pictures without tourists and it was only 630am.  Can be very busy in the middle of the day and you would struggle to get a photo without a tour group in it.","April 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,nadi,Israel,Nice spot in lovely Galle,4,Friends,A very nice spot in the old town of Galle . Something different when you make a travel in this unique town in Srilanka which reminds you that Europeans were here.,"March 22, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Michael W.,"Schweinfurt, Germany",Nice but also many tourists,4,Couples,"Very touristy but also normal, below the lighthouse you can super bathe with local people. It is important to protect yourself from the sun. Attention to everything is demanded money.","February 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Shyam Mishra,"Kolkata (Calcutta), India",Wonderful,5,Family,"The current 26.5 m-high lighthouse was erected by the British about 100 m (330 ft) from the original site in 1939, which got destroyed in fire in 1936.","February 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Helly,"Western Australia, Australia",Historical lighthouse.,4,Friends,"A lovely, historical lighthouse. We just looked around the outside after doing a walk from the Forts to the lighthouse.","January 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d3628714-Reviews-Galle_Fort_Lighthouse-Galle_Galle_District_Southern_Province.html,Galle Fort Lighthouse,4.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/df/59/such-a-beautiful-fort.jpg?w=700&h=400&s=1,Aanchal,"Bengaluru, India",Good but not the best.,3,Family,Visited in May 2024. Galle is lovely place with cafes and quirky places to hang out. Visit lighthouse only if you are in Galle. Need not explicitly plan to visit here for lighthouse. There isn't much!. Plan to visit as early as possible in The morning because afternoons are unbearably hot. We visited in transit from Mirissa to Bentota,"November 29, 2024",0.0,0.0
