Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Kartiksk,"Visakhapatnam, India",Beautiful temple in city centre,5,Solo,"Beautiful temple with gods of many religions, in the city centre. Please remove your shoes, & be respectful inside, photos/videos are allowed. It’s extremely peaceful & a must visit, at sunset.","December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,TAMAN1951,"Liberty Lake, Washington",Large temple,4,Couples,Interesting Buddhist temple with a number of exhibits and Buddhas. Easy access but no shoes and a small fee is charged to enter. Well worth it.,"December 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,hanedasun,"3,609 contributions",Temples of Highlights,3,Solo,"Temple in the heart of Colombo. It is not very large, but it was a temple with many Buddha statues arranged in terraces.","December 18, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,katiasalvi,"Milan, Italy",Very interesting!,4,Missing,Temple extremely rich in memorabilia and landmark of the city. You can also meet the monks and it is always a particularly exciting time.,"December 1, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Yash Srivastava,"Noida, India",Beautiful Buddhist Temple - Highly Recommended,4,Solo,"Since I landed in Colombo, many people have highly recommended it. I visited the temple in the evening of October 16, 2025. Entrance Fee: It cost me 500 LKR for the tickets. It took me around 1 hour to visit the temple premises. However, I could see people staying here, sitting in a meditation pose, which I assume would have lasted longer. So, the time taken is majorly a personal choice. The temple looks beautiful, inside and outside, and is highly recommended for anyone visiting Colombo. The lighting in the evening was especially great.","October 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",Deeply Impressive,5,Solo,"An oasis in the middle of hectic and noisy Colombo. However, the temple is always well visited, but absolutely worthwhile, solely because of the collection of Buddhas from all over the world, which have been donated to the temple over its long history by believers from all over the world.","October 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,grazia910,"Province of Perugia, Italy",Nice.,4,Couples,"The only real attraction in Colombo that is worth visiting, the temple consists of two parts but the ticket is unique. Beautiful.","September 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Adventure beyond imagination,"Munich, Germany",A temple with interesting collections,4,Solo,"One of the most visited temples in Colombo. What surprised me was the large variety of collections, which were donated by someone else, including the old timer and modern passenger cars with Mercedes Benz.","August 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,フレクエンとトラベラー,649 contributions,Best way to start your Sri Lanka trip,3,Couples,"Sri Lanka has the largest number of Buddhists, but it is a touristic representative temple. Sri Lanka's temples have a set of three pagodas, statues and Bodhi trees, all of which are objects of prayer. It is very different from temples in Japan and quite similar to Myanmar. There are a few locals who visit the temple and it is a good place to experience the temple first hand. There is also a collection of Buddha statues and a museum, and there is a lot of junk. Seema Malaka, on Lake Beira, is also beautiful and set.","August 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Viv Vivekananda,"2,062 contributions",Buddhist temple on Beira Lake  used for meditation and rest,4,Missing,"This Buddhist temple is located in tranquil setting on Beira lake and is mainly used for meditation and rest, rather than for worship. Seema Malaka is a part of the Gangaramaya Temple and is situated few hundred meters to its east. The temple is constructed on three platforms over water, connected to the mainland by pontoon bridges. Lovely place to visit. It is not crowded and easy access from the parking area. Being open area one needs hat, sunscreen, water. Lovely lake views from here. Visitors are welcome always","August 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,wombatdavid,"Hobart, Australia",,3,Friends,We did this as part of our city tour. Interesting place but like a hoarder’s house with stuff everywhere… it did not seem very serene. Not a must see.,"August 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d552525-Reviews-Gangaramaya_Temple-Colombo_Western_Province.html,Gangaramaya Temple,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b3/12/94/designed-by-the-country.jpg?w=700&h=400&s=1,Deepak,"Suva, Fiji",,5,Couples,Was a beautiful place to visit during the day. The temple itself has a nice display of Buddhism and also the shrine that's on the lake. Good to see while touring the city.,"July 27, 2025",0.0,0.0
