Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,David B,"San Francisco, CA",Good times,5,Couples,Great beach clean gently sloping beach into sea great shore breaks for body surfing We ate lunch and supper at Best Beach Bar Restaurant delicious fresh food Adults and kids really having fun great atmosphere,"March 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,a_s_schmidt,"Munich, Germany","Very nice, tidy beach area with a number of small restaurants.",5,Couples,"Beautiful, flat sloping beach to the sea, which seems very clean and tidy. In/at the small restaurants on the beach there is a very relaxed atmosphere. Nobody became intrusive, everything “lazy”, just beautiful, just like before. We stay at Anantara Peace Haven Tangalle, which also has a phenomenal beach next door in its hotel property, but slopes slightly steeper to the sea. Both are wonderful to look at and suitable for swimming and/or romping with the waves, depending on the state of the tide. Visually a great pleasure.","February 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,starfish,"Budleigh Salterton, UK",Visit Eden Spa,5,Family,"We stayed at the Anatara Peace Haven next door, and wondered over to this beach a few times.  It's lovely to sit on the beach with a drink as the sun goes down, with the water lapping at your feet. Also, at the far East corner there is Eden Spa.  I visited Nirosha for a massage nearly every day.  She did wonders for my back, I highly recommend.  I have had massages all over the world, and her massage was definitely one of the best.","January 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,ranga,"Ella, Sri Lanka","Tangalle Beach is a beautiful, unspoiled beach in Sri Lanka with golden sands and clear waters. It's great for sunbathing, swimm",5,Family,"Tangalle Beach in Sri Lanka is a beautiful stretch of coastline with golden sands and clear turquoise waters. It's a popular destination for sunbathers, swimmers, and surfers alike. While the waves can be rough at times, there are calmer areas for swimming. The beach is also known for its stunning sunsets and laid-back atmosphere.","November 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Paopar,"Caltanissetta, Italy",Full of waste,1,Couples,"The beach would have a great potential pity for the incivility that reigns supreme given the neglect and degradation with huge amounts of rubbish not only on the margins of various reviews but also on the rocks, as well as a really excessive amount of plastic floating in the sea. Unfortunately the plastic here seems that no one sees it... now it is part of the environment (irreversibly destroyed)","August 22, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,urbansurfernyc,"London, UK",Yuliconia beach restaurant amazing food,5,Solo,Go to the Yuliconia beach restaurant….do not be put off by its image…THE FOOD IS AMAZING….THE DEVIL CALAMARI IS OFF THE SCALE,"August 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Lene & Anders - Odense,"Odense, Denmark",Good beach with high waves. Definitely worth the experience,4,Couples,"Small delicious beach. There are quite wild waves, but you can easily swim there and throw yourself into the waves. You may use sunbeds on the beach in exchange for buying something in the bars. At the Yellow Mellow bar, you may even be allowed to borrow body boards for free to throw yourself onto the big waves. But remember…. They are quite powerful at times.","May 15, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Tourist43163238255,"Izhevsk, Russia",Anantara best hotel,5,Family,"My family and I really liked the Anantara Hotel.  Friendly and helpful staff, beautiful hotel grounds, excellent service.  I would especially like to highlight employee Anthony, who helped us very quickly and efficiently in resolving our questions and wishes.","January 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Nick L,15 contributions,Great beach - I recommend it to everyone,5,Couples,"Very nice beach. Clean sand, not even a hint of garbage. There are many good eateries and bars on the beach. There are a couple of very decent seafood restaurants, and if you don’t like spicy Sri Lankan cuisine, you can ask for the dish to be less spicy","December 5, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Pradeep B,5 contributions,Good guide,5,Solo,This is a very good tour guide in Tangalle Goyambokka area. He know what we need to do. He know all the places around the area,"April 23, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304142-d4068286-Reviews-Goyambokka_Beach-Tangalle_Southern_Province.html,Goyambokka Beach,4.3,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3e/9c/d8/photo0jpg.jpg?w=700&h=400&s=1,Vachintha Piyadasa,"Colombo, Sri Lanka",,5,Missing,Superb beach located alongside Hiriketiya road. It's a bit of a rocky beach and an ideal place to relax. It has a bit of rough waves during certain parts of the year but I don't think it's dangerous.,"February 7, 2023",0.0,0.0
