Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Banu G,9 contributions,Do Not Recommend,1,Missing,"This bird park should not be operating. We went on the strength of the reviews which billed this place as some where the birds were genuinely well looked after. Nothing could be further from the truth! We left the place within half an hour of arriving; we were shocked and saddened by the conditions in which these poor creatures were kept. The birds are all housed in cages that are far too small. Moreover, many of the cages are placed in deep shade. The location of the park itself, is set in very beautiful grounds with a multitude of trees, flowers and shrubs. Such a setting feels particularly cruel given the horrible living conditions of the birds and the fact that they can see the vast space outside the confines of their horrible cages. Most of the birds were silent and clearly in distress. Few showed any animation even when we stood very close by and tried to interact with them. One cockatoo was especially sad-looking with its head bowed. There were two geese placed inside a tiny cage, approximately a 3m square space. There was literally a muddy puddle that constituted as a pond.","September 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Suneth S,"Colombo, Sri Lanka",It’s not worth the trip you’d have a much better experience at a pet shop,2,Missing,"The visit felt more like a show-off than a genuine bird park experience. There was no shuttle service provided for the 600-meter walk, which was inconvenient. The entrance fee did not reflect the value of the experience offered. The park housed a limited number of bird species, many of which were kept in small cages. While they advertise the opportunity to ""touch"" the birds, you're not actually allowed to do so yourself , staff place the birds on your shoulder or hand, and this comes with an extra charge. Feeding the birds is also an additional cost. Once your purchased seeds run out, staff abruptly remove the birds and ask you to leave the enclosure. If you wish to stay longer, you're required to buy more seeds. Overall, the experience felt overly commercialized and lacked genuine care for both the birds and the visitors.","August 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Colin B,3 contributions,DON'T GO THERE!,1,Couples,"This place is AWFUL! It's a lovely setting, but many of the birds are in poor condition and seem to be disturbed and/or bored. Some birds are on their own and some look ill. The cages also are appalling. The whole experience made me feel depressed, and I didn't stay long. This is not an animal sanctuary, it's a theme park that plays music to slit your wrists to when you enter. Looks like a money making pursuit, nothing more. I tried to explain this to a woman parading a macaw, and she just asked me if I wanted to be photographed with the macaw. Please, don't support this venture, it's a cruel, but disguised, form of animal exploitation.","March 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Paradise62468676050,8 contributions,DON'T go!!!,1,Couples,"Rather expensive (2000 rp a person), small park, bad conditions, sick aninals with strange behavior,  birds in too small cages, some fried in the sun. For feeding,  pictures or any activity you have to pay extra. Not worh the money!","February 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,wendy b,"Bang Lamung, Thailand",Do not go until the utilise the space they have and create a better environment for the birds,2,Couples,"Sadly many of the birds are in unsuitable conditions, the cages are far to small and with little to no enrichment. We only visited because we had come to the tea museum, which was closed and as this was next door we decided to pay the park a visit. I wish I hadn't as I am not happy to give money where birds are kept in such conditions","February 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Raj,"Hoboken, New Jersey",Lovely experience for children,5,Missing,Let me start by saying I totally disagree with the rest of the reviews. This is not a bird sanctuary but a bird park for kids. Do not expect the birds to be flying fee. I am glad I disregarded the reviews. This park is thoughtfully designed for children. My 3 year old was able to walk most of the 1.3 kms on his own. Lovely collection of birds. Totally worth the Rs.700 we spent. I am also respectful of not allowing outside food. They had enough choices inside the park.,"January 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Lifelong traveller,5 contributions,Give it a miss.,1,Couples,I’m not sure how caging birds in these conditions in 2025 is acceptable. Not what we were expecting at all. Exotic and imported species in small concrete enclosures.  No room to fly and swans with very little water for swimming,"January 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Senura S,1 contribution,It's a bad experience in my travel life,1,Missing,Don't even think about going..tickets are a joke. It's better to go to the Pinnawala zoo than to pay 700 and see this concrete. It's the most unfair thing to pay. I won't let anyone I know come back..This place has no privacy...no natural beauty..a concrete jungle..even the bird cages are very dirty.There are sick animals.The staff is so rude.They treat us like we just came to see...don't go..🤮,"January 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Lahiru C,2 contributions,Poor experience,1,Missing,"There are only a few types of birds on display, which makes the experience underwhelming. Despite this, the ticket price is excessively high at Rs 700.00 per adult, making it feel completely overpriced and not worth the expense.","December 30, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12216800-d27983461-Reviews-Hanthana_International_Bird_Park-Hantana_Kandy_Kandy_District_Central_Province.html,Hanthana International Bird Park,1.9,13,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2d/b6/8c/a1/caption.jpg?w=700&h=400&s=1,Shafeer Z,"Mawanella, Sri Lanka",Not Worth the Price for 700/=,2,Missing,"We recently visited Hanthana International Birds Park with our one-year-old (who was free of charge), but I must say the park is overpriced at 700/= for adults. While you do get to see a variety of birds, I believe you can experience more at Dehiwala Zoo for a better price. There aren’t any good restaurants inside, and outside food isn’t allowed, so plan accordingly. The park’s landscape is quite hilly, so get ready for a mini hike – not surprising given its location in the Hanthana mountain range. If you’re using a navigation app, I recommend following the route via Bogambara Bus Stand instead of Heerassagala, as the latter has poor road conditions. For those relying on public transportation, there’s a bus passing by the park, but be sure to check the schedule at Kandy. Tuk-tuks are available at the park gate, and while PickMe might work, it’s uncertain in this area. If you need to take a tuk, make sure to negotiate the fare beforehand. Overall, the experience was okay, but definitely not worth the price.","October 6, 2024",0.0,0.0
