Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Camper479266,"London, UK",So much fun!,5,Friends,"This is by far one of the best cooking classes in Sri Lanka. Our teacher Ruwini was so much fun. We really enjoyed making all of the different curries, breads, popadoms, salads and daal, before sitting down and enjoying our tasty hard work. Highly recommend!","December 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Gabi M,2 contributions,Amazing authentic experience,5,Couples,"We loved our time here! The host is lovely, and made sure to show us multiple different Sri Lankan cooking methods. She made us feel very comfortable and it was a really authentic experience. And the food was delicious! Would recommend to anyone visiting!","December 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Louise F,9 contributions,Amazing Experience,5,Couples,"Amazing experience, food was super tasty and Ruwini was lovely. I am gluten free and I was at ease with a gluten free roti, curries and rice. Ruwini is very knowledgeable and gave us lots of tips. Best experience in Ella.","December 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,miclaupesa,35 contributions,Unforgettable culinary experience,5,Couples,"My husband and I had the pleasure of taking a cooking class at Honey Bee Garden during our visit to Ella, and it was absolutely wonderful! From the very beginning, we felt warmly welcomed by the chef, who was not only incredibly friendly but also passionate and joyful about sharing local cuisine. Throughout the class, we learned to prepare several traditional Sri Lankan dishes using fresh ingredients and authentic techniques. It was educational, fun, and very hands-on. Best of all: the food was delicious!","November 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,santurtzi85,"Barakaldo, Spain",good experience,5,Friends,It has been a good experience! we had a great time. ruby is a crack! we will come back!!!!!!!!!!!!!!!!!!!,"November 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,gabrigold,1 contribution,Amazing experience,5,Friends,"Rubi was a great host: learned authentic recipes, used local spices, and enjoyed a delicious meal. Then you eat with your friends and enjoy!","November 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Irati P,3 contributions,Great.,5,Friends,"A great experience. Rubi is a great professional, with a lot of patience to teach us a large group of people. Sure we'll be back.","November 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Nicole B,1 contribution,Don't miss out on this experience!,5,Solo,Amazing cooking class! Also very affordable. Can't recommend enough. We made some of the best food I ate on my trip. Ruwini made the class very informative and she is super fun.,"November 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Eimear99,Ireland,Superb experience!,5,Friends,This was the best cookery lesson I have ever done any where in the world. Our hostess Ruwini was amazing. She had all the ingredients ready for us to work with. We had the freshest of ingredients.. the array was magnificent and what a range of herbs and spices! We were shown how to cook a magnificent Sri Lankan meal from scratch. There were 4 in the group and we got to eat all we prepared. We were stuffed when we left! Come hungry! Such a truly enjoyable experience!,"October 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d15275195-Reviews-Honey_Bee_Garden-Ella_Uva_Province.html,Honey Bee Garden,5.0,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/d3/57/13/caption.jpg?w=700&h=400&s=1,Kaye H,"Melbourne, Australia",Sri Lankan holiday,5,Family,"The cooking class was a great experience, learning different facets of Sri Lanka style cooking. Our host was fantastic, she explained everything very clearly and was very encouraging. Well worth trying this experience.","October 4, 2025",0.0,0.0
