Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Dasun,"Matale, Sri Lanka",Independence Memorial Hall – Symbol of Freedom and Heritage,5,Business,"The Independence Memorial Hall in Colombo is a remarkable landmark built in 1948 to honor Sri Lanka’s independence from British rule. Its stunning architecture, inspired by the ancient Audience Hall in Kandy, features elegant stone columns, lion statues, and intricate carvings that showcase the island’s heritage. Surrounded by peaceful gardens, it’s an ideal spot for a stroll, morning jog, or photography. Inside, a small museum provides deeper insight into Sri Lanka’s independence history, making this a must-visit cultural and historical site in Colombo.","September 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Viv Vivekananda,"2,063 contributions",Lovely monument to commemorate independence from British rule,5,Family,"It is a national monument in Sri Lanka built for the commemoration of the independence of Sri Lanka from British rule.  It's located in Independence square in the Cinnamon gardens. Lots of parking available nearby. Area is level and there is fair bit of walking around and steps to the memorial. Need hat, comfy shoes and water. Not crowded and it's free.","August 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,MohammadNejad,"Tehran, Iran",Honor of Sri Lankan's,4,Family,"It was an special architectural design which we were told belong to Sri Lanka and has got inspired from Kandy Emperor's palace based on traditional architecture. the building has been located in center of a beautiful big square , with a park next to the square .","June 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,PBPG,"Yorkshire, UK",Very Impressive,5,Couples,Built to celebrate the Independence of Ceylon from the British.  An open structure with many columns.  There is also a large statue in located at the head of the monument of the first prime minister of the country Rt. Hon. Don Stephen Senanayake,"April 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,larakharlapina,"St. Petersburg, Russia",A symbol of the rebirth of the state.,4,Friends,"Independence Memorial Hall is located in Independence Square, Colombo, in Cinnamon Gardens.Built to commemorate the restoration of Sri Lanka's independence from British rule in 1948. Construction was completed in 1953.At the head of the monument is a statue of Don Stephen Senanayake, the nation's favorite first head of state. The architecture of the hall is a see-through gallery with a roof covering 60 columns. Around are stone-eyed lions guarding the place of commemoration. Now there are annual religious events, celebrations of national holidays and wedding ceremonies. On the lawn street tamers offer to take a photo with a monkey or with snakes. A visit is mandatory.","December 7, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,LolaGo1,"Washington DC, DC",Free Short Visit Here!,5,Solo,"Attraction #2 during our Day Tour of Columbia was this attraction.  There is ample parking here. Noted is the statue of a man and those of lions on his sides. Also, there is a  walless buildiing that has intricate carvings. Historical areas related to Sri Lanka’ gaining independence. Free to visit here.","March 9, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,FlavioSTAR,"Milan, Italy",Historical monument,3,Couples,An important monument but without adequate explanations of the bas-reliefs that illustrate the history of the country. It is located in the middle of a park where you can walk...,"December 23, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Independence Memorial Hall,5,Missing,This is a national monument in Sri Lanka built for the commemoration of the independence of Sri Lanka from the British rule with the restoration of full governing responsibility to  a Ceylonese (now Sri Lanka) elected legislature on February 4 1948,"August 23, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,CHANDAN MAJUMDER,"Kolkata (Calcutta), India",Indepence Day memorial Hall,4,Solo,This is the place where the president of Sri Lanka address on the Independence day. It is open on all days. The is also a museum which is currently closed due to covid. The entrance fee is free for all but I think there is a fee to enter the museum.,"December 27, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Trondoc,"Tonsberg, Norway",Another memorial hall..,3,Couples,You have to know the history if not it is just a hall giving you some shade from the sun. Nice surroundings . Good space.,"March 1, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d8091047-Reviews-Independence_Memorial_Hall-Colombo_Western_Province.html,Independence Memorial Hall,4.0,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,phait_lee,"Kuala Lumpur, Malaysia",,4,Friends,A short visit is sufficient to view a moment of history. The square was built by the first prime minister after Sri Lanka’s independence on 5 February 1948. Love the carvings on the pillars depicting Buddhism and also Sri Lankan culture. And the ceilings are filled with beautiful paintings.,"January 13, 2020",0.0,0.0
