Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Benoit M,9 contributions,Difficult to access,3,Couples,"Nice building to take a picture? but hell to get there. Very noisy area , difficult to travel even on foot","December 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,HKFooey,"Hong Kong, China",Do visit but don't expect too much beyond ground level,3,Couples,"We went to the Jami Ul-Afar mosque as it was unique in its colour scheme and looked more like something from Charlie and the Chocolate factory than a mosque. You have a wait a bit to go in.  Some guy ""shows"" you around but in actual fact he does absolutely nothing and just takes you to the balconies on the upper floor.  It was a complete waste of time and a waste of money as he will force you to tip him for literally doing nothing. Stay on the ground floor and get your photos and leave.  It's a working mosque so people are praying and there are people all around you trying to honour their religion so not sure how much they appreciate the tourists coming to visit. Worth a very brief trip but don't expect to be marvelled.","December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,TAMAN1951,"Liberty Lake, WA",Unique,4,Couples,Very unusual due to its red color. Located quite near the market. Access to inside is OK but the beauty is in the exterior appearance.,"December 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,SalimM,"London, UK",Iconic Red mosque,4,Couples,This mosque is in the Pettah market area and stands out due to its red colour. Was able to go inside and look around. Worth a visit.,"November 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,S-Himakara,"Colombo, Sri Lanka",Jami Ul-Alfar Mosque – The Iconic Red Mosque of Colombo 🇱🇰,5,Friends,"Located in the heart of Pettah, the Jami Ul-Alfar Mosque is one of Colombo’s most recognisable landmarks and a true architectural masterpiece. Built in 1908, this historic mosque stands out with its vibrant red and white candy-striped façade, a style that makes it instantly eye-catching and unique. The building’s intricate design and towering minarets are truly fascinating, and the peaceful interior offers a quiet contrast to the bustling Pettah streets outside. Visitors are welcome to explore parts of the mosque respectfully, it’s spacious and beautifully maintained. It’s best to walk or take a taxi, as parking nearby can be difficult due to the narrow streets. You will also find many other local attractions and markets just steps away, making it a great stop during a city walk. A must viait spot for anyone exploring Colombo’s heritage and vibrant culture. ⭐⭐⭐⭐⭐","November 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,mark7242,"Leeds, UK",Great Building 👍🏻,5,Couples,In the heart of Colombo on the busy street is the great temple. A must visit and picture take for when visiting Sri Lanka. Would recommend,"October 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,suterrele,"Kuala Lumpur, Malaysia",❤️ Shan,5,Solo,"Welcoming, warm, friendly, chatty,  informative, witty,  public relations ambassador named Shan at building entrance. Sri Lankans are lovely, hospitable, peaceful people with infectious smiles. Look for Shan; he will make you smile. Thank you, Shan for job well done ❤️ BTW unique, impressive mosque architecture","September 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Viv Vivekananda,"2,062 contributions","Historic mosque in Colombo, Sri Lanka with unique architecture",4,Family,"It is a historic mosque in Colombo, Sri Lanka, located on Second Cross Street in Pettah. The mosque is one of the oldest mosques in Colombo and a popular tourist site in the city. Built in 1908, it's architecture is unique with alternate red and white bands like candy.  Very interesting place to visit, but parking in the streets is a bad. Best to walk here or taxi. Inside it's covered and large area to see. Many tourists can be seen here.","August 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Bas,"Soest, The Netherlands","Beautiful mosque, to visit for tourists",4,Family,"Gigantic mosque, which blends completely into the busy district and at the same time stands out enormously. The mosque looks beautiful from the outside and is huge inside. It can be visited by tourists (m/f/x). The entrance is through gate 3. Everyone gets appropriate clothing if you don't wear it at that time. This is followed by a short and enthusiastic tour. The tour was free and goes in small groups. It may happen that there are too many people and that the gate / access is closed at that time. So maybe you should also get a bit lucky or wait a bit (we waited fifteen minutes and were then able to go in).","July 22, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091812-Reviews-Jami_Ul_Alfar_Mosque-Colombo_Western_Province.html,Jami Ul-Alfar Mosque,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/15/08/51/port-charlotte.jpg?w=200&h=200&s=1,Alfina_Alfina,"Moscow, Russia",Beauty of Colombo,5,Friends,"Very beautiful both inside and out. Get ready for you to go out on the roof and it's super beautiful! Port and Lotus Tower visible. The tour is in English, but you can read the Russian translation of information from the phone. A lot of tourists and constant services, you have to wait for the prayer service to end.","April 22, 2025",0.0,0.0
