Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,Kasthuri Arachchi Jr.,"Anuradhapura, Sri Lanka",You can find both peace and beauty here,5,Friends,"If you are visiting Mihintale, make sure to visit this place too. You are coming from the Trincomalee road then you have to pass the Mihintale, and if you are coming from Kandy road you will find it before Mihintale. Best time to enjoy the view would be afternoons.","January 19, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,oshadhi19,"Maharagama, Sri Lanka",Nice place,5,Missing,We visited with our 1 year old. The road to pond is stoned steps. Can't take wheelchairs and stroller. But it's not far from parking grounds. There are ruins around the area. The pond was built for use of monks. Please kind enough to not to take bath. Aramaya is occupied with 7-8 monks. It is said that this place was used to chant pirith in ancient times. We visited there in the evening. Not a good time as some drunken men come to take baths,"October 5, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,The Travel Couple - Chathu & Ishanka,"Kalutara, Sri Lanka",A beautiful ancient pond,5,Couples,"A calm and peaceful place with a huge ancient pond. The pond is said to be used by the meditating Buddhist monks in the past. Located just 500m away from mihinthale, yet not many people visit this place. Hence the place is very calm and quite. A must visit for sure.","February 4, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,Auranga D,"Piliyandala, Sri Lanka",Visit to Meemura,5,Friends,One of the best to visit. Located in a center of a tea estate. Clear water. Cool weather. Cannot get in to kalu diga pokuna since  it is prohibited by the police. Off rangala road.,"July 14, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,GK Bowatte,"Colombo, Sri Lanka",A place to see...,4,Missing,A sacred place with a long history. A calm and quite place. i did not find anyone visiting this place but surely it is a place to visit.,"August 7, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,ChenBoa_kh,"Hong Kong, China",Ancient Tank,5,Friends,We visited this place while exploring the ancient city. Amazing irrigation system built during the ancient occupation of this area.,"March 27, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,Prof Thishan Jayasinghe,"Sheffield, United Kingdom",Our visit to Mihinthale and its surrounding ruins and lakes,5,Friends,Mihinthale is a wonderful rock temple that any healthy visitor will enjoy climbing.  There is so much to see and some places you can see ruins of ancient structures remaining without any restorations.  Mihinthale has been a monastry and has been used by the Buddhist monks who used to meditate most of the day and hence engauged in a secular life.  Kalu Diya Pokuna is one of the small lakes used by those monks for fulfilling the water needs and it is a beautiful gift to anybody wanting to have a nice relaxing place to relieve the working stress and fatigue of present day life.,"March 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,SEs,"London, United Kingdom",Ruins,5,Friends,This is nice area to rest.The old pond is called black pond due to the tree cover of the water body.,"November 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,Sunimal R,"Invercargill, New Zealand",Serenity.....,5,Friends,Located near to the famous Mihintale monastery . Some people can say this may be a extension of the same monastery. However according to the Archeological evidences this place was awarded to the Buddhist monks by aa army leader of King Kashyapa the 4th. Some says that the name of this historical place was arrived by the color of the water in this pond which was dark due to the darkness of the underground rock or the shades of trees of near by forest.,"October 15, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d3912163-Reviews-Kalu_Diya_Pokuna_Natural_Black_Water_Pond-Anuradhapura_North_Central_Province.html,Kalu Diya Pokuna Natural Black Water Pond,4.7,43,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/5e/5e/caption.jpg?w=200&h=200&s=1,SunnyandBuster,"Seattle, Washington","Lovely, quiet location",4,Friends,"This is a small but beautiful place. The lake is man made and is surrounded by large boulders and small archaeology sites that while currently occupied date back 1500 years. The monks live up the hill and meditate in the caves. There is no need to disturb their activity. Just have a wander around the small, ancient structures. Keep your eye out for small details carved in the stone.","May 7, 2018",0.0,0.0
