Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,ManiHan,"Colombo, Sri Lanka",Perfect to view the Sunset,3,Friends,"When my friends and visited, it was off season, so the waves were too rough to swim in. However, the one constant is that the Kalutara beach is a wonderful place to watch the sunset.","August 13, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Nilushen,"Colombo, Sri Lanka",Beautiful and rough,5,Friends,We went to see the beautiful beach of Kalutara at the beginning of February. On the day we came to spend a holiday at the tangerine beach Hotel . The Green sea behind the tangerine beach was beautiful but looked very rough.. That area is not suitable for swimming. We spent a lot of time on the beach despite the hot sun. The sea area was splashed with green color and a special number of shells could be seen all over the beach.,"April 8, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,romanshorner,"Munich, Germany","Dirty, Narrow, Pushy Sellers",3,Couples,"Unfortunately, a lot of parts of the Kalutara North Beach were swiped away after a flood a few years ago. The remaining parts are quite narrow and dirty. An other problem were pushy sellers for souvenirs and excursions. So you nearly couldn't find a quiet minute. And after all, the rough sea made swimming impossible. So it was not a good experience and we had to go to other beaches like Bentota.","February 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,PATRICK D,"Marseille, France",Real Caribbean beach,5,Couples,"Superb, very long beach. Very clean sand from coconut trees all along and in abundance. The sea is very beautiful, not clear at all because of fine sand. No algae. Permanently very big waves which remain quite dangerous for those not used to it. Fairly strong currents remind you of your order. We walk quite far but you still have to be a good swimmer to get 100 meters away.","February 22, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Christopher Huby,"Bradford, UK",A rubbish beach,1,Family,"There is no longer a beach here at all. It’s been washed away by the sea. There is only one small section of beach which is accessible via very slippery sandbags that have been made into steps not accessible for people in wheelchairs or with disabilities. Also the sea is extremely rough and has a big undercurrent, so do not go into it at all above the knee as you will be swept out very very quickly indeed.","February 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Алексей Н,"Moscow, Russia",Holidays at Kalutara Beach,5,Family,"We stayed in a hotel on Kalutara Beach. Sunny beach, steep waves. We met a cool local guy, Sampat, on the beach there. He told a lot of interesting things about Sri Lanka, helped on the ground - what, where it’s more profitable to buy, how to get there, helped organize trips. We also ordered huge, delicious, freshly cooked shrimp and langoustines from him. (if you need inst Sampath @mendissampath)","December 14, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Syntos,"Hohenems, Austria",No beach left.,1,Couples,"Unfortunately, there is actually no beach here. It has been washed away. The sea is very rough here. You have to go further south. The photo is definitely older.","November 16, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Dilushrandika H,"Colombo, Sri Lanka","Somewhat OK, nothing more",3,Missing,"Doesn't have official parking spots for vehicles. So parking is at risk of your own. Sand and beaches are mostly with garbage. Not an ideal place for a swim. Even though there are lifeguard stations, only ghosts & ghouls work in them. Kids attractions, such as play areas (although adult couples seem to have to enjoy them rather than children) & objects are available.","December 1, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,redhot-chillis,"Lewes, UK",Public beaches are not maintained.,2,Missing,"As a result, they are polluted with plastics and flotsam. Coarse sand/fine gravel is uncomfortable to walk on. The shoreline often slopes rapidly to the sea, which is prone to large waves and undercurrents. Not recommended for very young and/or weak swimmers.","February 13, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304136-d7009635-Reviews-Kalutara_Beach-Kalutara_Western_Province.html,Kalutara Beach,3.7,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/61/8a/2c/photo2jpg.jpg?w=700&h=400&s=1,Mats S,"Moscow, Russia",Obly clean in front of Royal Palms and Tangerine,1,Family,"In front of the two hotels Royal Palms Beach and Tangerine, the beach is properly clean. North of these hotels, very dirty and no cleaning whatsoever it seems. Kalutara administration has a huge potential for improvement if they are really keen on attracting tourists.","January 27, 2022",0.0,0.0
