Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Peter Daniliuc,"Adelaide, Australia",,5,Couples,"Kandy is well worth setting aside a day to explore.  Apart from the Temple of the Tooth and Kandy Lake, there's lot to explore in the city.  And the best way to explore Kandy is definitely by Tuk Tuk. You not only avoid the traffic jams, but also receive the best local knowledge at a fraction of the cost of organised tours. Our Tuk Tuk driver Saman was brilliant - warm, friendly and very knowledgeable - one the best in Sri Lanka (Whats App +94 72 290 9182).  Saman took us to through the amazing meat, fish and vegetable markets in central Kandy (I think they're the best in Sri Lanka). We also explored the local shopping area, colonial buildings and stunning lookouts of Kandy city.  But the best was yet to come, Saman took us to a local restaurant where we had our best Sri Lankan meal of the trip. The black curry ckicken was amazing.  And to top it off, Saman dropped us off at Kandy station the next day and waited until we boarded, to make sure we on board and no one took our seats !  A truly memorable experience which deserves 6 stars, not 5 !","February 26, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Tom S,"Glasgow, United Kingdom",,5,Couples,Visited the food court on the forth floor. The variety of food was excellent and I'm sure there is something for everyone. The premises are spotless and the staff keen and helpful. The food was exceptionally nice especially the stir fried beef dish from the Chinese section,"January 27, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Marc Ollosson,"Norfolk, United Kingdom",,3,Couples,"It's nice to have a wander around, it's cooler than outside so also provides some respite in that regard Standard fare of mall shops with a few pop up stalls Nice to have a look around but if you don't get time you won't have missed anything","January 23, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Durgadiana,"Borculo, The Netherlands",,4,Missing,"We had diner in the restaurant at the top floor of the Kandy city center. When you enter you get a card to use with your order. The atmosphere was a little boring, but the food was good! You can choose from different meals and drinks, and the system with the tickets works well. You can go here to find a taste for everyone at your party!","January 7, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Nisha A,20 contributions,,3,Friends,"Nice mall. Have to pay rs 30 to use washroom, but the wash rooms were muddy and wet and without soap","December 31, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Giacomo P,"Padua, Italy",,2,Missing,"For us Europeans who are used to very high standards, it is difficult to find this shopping center in the heart of Kandy interesting.","August 27, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Mario De Silva,"Colombo, Sri Lanka",,4,Couples,"Good place to spend some time. Classy shops and ambiance. Live music at the lobby if your lucky. Things are a bit pricy, but quality is high. Bank stalls available","May 27, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Ruwindu,36 contributions,,5,Missing,It cover most of your shopping needs with vast variety of stalls. There is a decent indoor play area for kids at reasonable prices and well trained staff. Play zones issue tickets valid for 30 mins.,"April 1, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Marco,12 contributions,,4,Couples,"Very nice place, compared to the city being simple this a very advanced place. Clean, has few shops and the cloth price is relatively good. The food court is the highlight of the place, nice food and good variety with a good seating partially overseeing Kandy lake","October 10, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,N!li,"Old Peradeniya, Sri Lanka",,4,Friends,Got the chance to visit the cinema for a special screening. It was a good experience. Clean and comfortable. Good sound system too.,"September 28, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,mariechumack,7 contributions,,5,Friends,If you want to have full experience in Kandy you should hire him. He showed us so many beautiful places in just one day. He has a big comfortable van for a group and a Tuk tuk for two Namal  +94 77 661 8292 WhatsApp,"December 24, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Dayan C,"Moratuwa, Sri Lanka",,4,Missing,A lot of various shops having  Sri Lankan and famous international brands. Even the food court has many varieties. It is located at heart of the city and convenient to all. Finding the parking at the car park is bit tiring.,"July 27, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Kai Wah,Malaysia,,3,Couples,"This a shopping mall located in the city centre of Kandy. There is a foodcourt concept eatery place with variety of international cuisine, but we didn’t try the food there because it is rather pricey and we wanted to have local Sri Lankan food. There is a supermarket convenient for us since we are staying nearby. Nothing much for us since we are not the shopping type of tourists.","March 15, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Hisham H,Sri Lanka,,4,Family,"They have a play area and a food court right on top, and have a few Shoping attractions at the next few floors.","March 9, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,MonteBurns,"New York City, New York",,3,Couples,"Kandy doesn’t really have much to offer.  A very congested city center with lots of cars, buses, and tuk tuks vying for the same small road. This shopping mall is par for that course.  Not much on offer.  Some clothes and electronics shops. A few shops selling fragrances.  A floor with a bunch of banks.  A small supermarket in the basement.  And food on the top floor. Not an impressive mall.","January 15, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d4896053-Reviews-Kandy_City_Center-Kandy_Kandy_District_Central_Province.html,Kandy City Center,4.0,295,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/bb/db/a2/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_a521032f34575745171a,Sam Weyman,"Basingstoke, United Kingdom",,4,Couples,Word spice is a great restaurant it's a spacious area and there's tons of options you can choose from. I had a lovely grilled chicken burger which was delicious. The only complaint I have is that the patty was bit under grilled but it was still very good.,"January 10, 2020",0.0,0.0
