Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,antoinee z,4 contributions,A Deeply Moving and Unforgettable Spiritual Experience,5,Family,"Visiting Kataragama Temple was one of the most powerful and memorable parts of my journey through Sri Lanka. This sacred site is unlike any other — a rare place where multiple faiths come together in harmony. Buddhists, Hindus, and even local Muslims and Veddas all revere this place, and you can feel that deep spiritual energy the moment you enter. The daily rituals, rhythmic drumming, incense, and devotion of the pilgrims create a truly immersive experience. Watching devotees carry kavadi offerings or bathe in the Menik Ganga was humbling and beautiful. The temple grounds are expansive yet peaceful, especially early in the morning or just before dusk. Even as a non-religious visitor, I felt welcomed and deeply moved. The blend of nature, tradition, and raw human faith here is hard to put into words — it’s something you feel. Yes, there are vendors and crowds during festivals, but that’s part of the living culture. Come with respect, dress modestly, and don’t rush. Let the place speak to you.","September 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,Deepak,"Suva, Fiji",A bustling temple!,4,Couples,"I guess we visited the place while there was a prayer festival going on. Heaps of pilgrims at different stages of their pilgrimage, camping at the temple grounds. An important temple in Kataragama.","July 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,Bruno0072017,"Hamburg, Germany",A special experience,5,Friends,"A special temple. During our visit, young men danced as if in a trance - to loud music. Purchased fruit was blessed and then eaten by us.","May 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,don2jako,Sri Lanka,"My Ishta Dewathawan :  God Katharagama Deviyo, Goddess Kali Amma, God Hanuman – Gods of War !!!!!",5,Family,"My God, head God Skandh, the god of war and the lovely holy site of Kataragama, my favourite holy site from my birth in Ceylon. The holy site of Kataragama, nestled on the banks of the Menik Ganga, close to the Yala Wildlife Reserve, and in the deep southeast of Sri Lanka, is a site of frequent and popular pilgrimage by Buddhists, Hindus, Muslims, and even Christians. Rich in historical associations and legends, Katargama is tightly woven with its deity, Skandha, the God of War. Kataragama Kiri Vehera is one of the most revered pilgrimage sites and is an important place of worship for Buddhists of Sri Lanka who visit in total devotion and hope for blessings from God Kataragama, who is believed to be the guardian of Buddhism. කතරගම කිරි වෙහෙර Kiri Vehera is an ancient stupa situated in Kataragama, Sri Lanka. This. The  stupa probably dates back to the 3rd century BC.","May 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,PRAKASH,"Salem, India",The holy site of Kataragama Srilankia,5,Friends,"A temple for all faiths The holy site of Kataragama, nestled on the banks of the Menik Ganga, close to the Yala Wildlife Reserve, and in the deep southeast of Sri Lanka, is a site of frequent and popular pilgrimage by Buddhists, Hindus, Muslims, and even Christians. Rich in historical associations and legends, Katargama is tightly woven with its deity – Skandha, the God of War. The worship of God Skandha takes many forms, the culmination of which manifests in the annual Esala Festival and Perahera, itself a spectacle with many rituals. A land where all religions of the country meet, Kataragama contains multiple sites of note, including spiritual sites such as the Kiri Vehera and various temples and kovils dedicated to various deities, as well as natural attractions such as the nearby Yala National Park and Menik Ganga","May 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,Nihar,"Nuwara Eliya, Sri Lanka",Visit Kataragama - Make it safe,4,Family,"Its my visit to Kataragama, with my family visiting religious places in Sri Lanka. Kataragama is a multi religious sacred city for Buddhists, Tamils, and the Muslims. Its a sacred city for anyone to visit, with Buddhist temples, Hindu Temples, and a Mosque. Many pilgrims visit Kataragama to offer their rituals, and grant their gratitude to any gods they promised an offering of flowers, gifts or any other vows they have made to offer the gods. Many pilgrims visit Kataragama around the year, but many visit in July/August. Its in August that the Kataragama Perehera or the festival is a possession of Elephants, Dancers, Whip Crackers and many more attractions are found during this possession. If you want to pay your rituals what you have kept, its better to prepare your flower baskets, fruit tray from home. So that they are fresh and not damaged or crushed. If you want to buy flowers or fruits at the entrance from the stalls outside you will be cheated or you will end up paying more than expected. Not like those days, now its all business, these scammers will scrape all your money with rotten fruits, beautifully arranged, so you need to be careful, and eating around you should find the correct place to eat and drink. As you make get allergies, its better to have mineral water through out the day. If you are to visit the temples, kovils, or the mosque, the best time will  be early morning around 5 am, or in the late evening after 5 pm, as you wont feel the hot climate. If you are looking for a comfortable place to stay, there are many guest houses, hotels, or houses that rent out rooms. If you can find a place close by to the Kataragama sacred area, it will be convenient.  You need not worry looking for parking spaces, just walk it out you will be fresh and comfortable. The room prices are reasonable during the off season, and no need to worry about the crowd. During the months of June and August you will need to book your room in advance. If you re to book online, search and find the correct place, as you will not end up paying extra. Travelling to Kataragama, you can travel by your own car, hired vehicles, or take the local transport (bus). You can take the Colombo - Kataragama route, Nuwara  Eliya - Kataragama route, Badulla - Kataragama - route. If you are planning to take the Buttala road, there are some precautions you need to take. The Tissamaharama road is safe, but the Buttala road you have to drive carefully, on the way you will cross the Yala forest area, and there are elephants on the road in three or four places. They stand by the road side to get fruits from the travelers passing by. So travelers usually take fruits, (bananas, mangos, pineapples to feed them in case they come across one. Usually they can be seen in the morning hours, afternoon, or in the evenings.  They will not attack or disturb you, unless you don't disturb them. But, recently they were some incidents, where the elephants had attacked some vehicles, and damaged. There were some foreign tourists who were attacked by the elephants and damaged the vehicle they had hired. The wild life authorities were at the area to find out the reason for the attack. They found out that some you tubers/ scammers had aroused the elephants to attack the passing vehicles. When the elephants attack we leave out vehicles, valuables and flee for safety. At this moment the scammers/ you tubers take the opportunity to record the incident as a natural attack and post it on their youtube accounts, and the valuable that are left in the cars or left on the road are robbed. (Its was a news flash on the TV channels in SriLanka two weeks back). Now they say the wild life has put a stop and controlled the situation. What ever it is, its better to be cautious and be safe. If you ever see a biker with a phone on the Buttala road, that means there is an elephant ahead on the road, and is on a wage to attack. Don't get closer or pass the biker, just stop for a moment, if the area is clear, then proceed. This is a note for your safety. Drive safe, be cautious and enjoy the trip. Hope you have a safe journey. See you soon. ""Flavorful Destinations"" By:- M N Nizam","February 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,AMsays,"Thornhill, Canada","Co-existence of the Buddhists, Hindus, Muslims and the Vedda",5,Couples,"A religious complex still venerated by the Buddhists, Hindus, Muslims and the Vedda, all who manage their respective shrines amid the legends and myths of a long-held belief in a Sacred City. It lies on a scenic rock overhang above the Tamarind Lake. The complex has many different parts; mosque, temple, shrines, stupas, giant statue, areas of contemplation and gardens. With some of the surrounding history going back to the 1stC. It was a great learning experience to understand how all these different denominations could coexist in such a profound way.","February 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,grazia audano,torino,Nice to visit in the evening,4,Friends,Before the temple there is a river where pilgrims wash and purify themselves. The temples dedicated to the god Kataragama are located in a large park full of peacocks. We have witnessed the evening puja and it is a mystical moment.,"January 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,Jalaja Mani,"Bengaluru, India",Katirgamar Temple,4,Family,"It is a Hindu Temple cum Buddhist shrine. Hindus worship Murugan. There are shrines for Vigneshwara, and Deivayanai the consort of Murugan. Interestingly, unlike other Hindu temples, the statue of Murugan or Dandayuthapani is not displayed but a screen image is displayed.","December 1, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1188994-d2700804-Reviews-Kataragama_Temple-Kataragama_Uva_Province.html,Kataragama Temple,4.4,392,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/de/d7/b9/kataragama-temple.jpg?w=700&h=400&s=1,kpererads,"Kandy, Sri Lanka","If planning to visit Kataragama in peace & quite, visit in June",4,Family,Done some Pilgrimage visits and it was off season. So less crowd including the Hotel that we stayed as well. Weather was pleasant during our stay.,"June 5, 2024",0.0,0.0
