Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",Incredibly bizarre and beautiful location,5,Solo,"Just the location, right on the sea is already captivating. The Fountain of Miracles, as it is also called, is visited almost exclusively by locals, there is a pool for men and one for women. I wasn't in the water, but admired the place dry","October 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,christophemauget,"Moulay, France",Surprising.,4,Friends,Quite surprising this pool of ritual ablutions transformed into a public “pool”. But it’s interesting in the end.,"September 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,peter F,"Drouin, Australia",only in Lanka,3,Solo,a little out of the way in Jaffna. was interesting tho. If you make your way to jaffna then you should visit. Jaffna does not have a lot going for it,"March 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Ille,5 contributions,Not recommendable,1,Couples,"The only good thing was that there was no entry fee. Otherwise, the toilets were in an unacceptable condition, there were no changing rooms, and plastic waste was floating in the pool.","November 16, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Malinda Balakumar,"Ratnapura, Sri Lanka",Discovering the Magic of Keerimalai: An Oasis of Tranquility in the Heart of Sri Lanka,4,Missing,"Keerimalai is a breathtakingly beautiful and serene lagoon located on the northern coast of Sri Lanka. It's a natural swimming pool surrounded by lush green hills, crystal clear waters, and an atmosphere that is both peaceful and energizing. Visitors flock to Keerimalai to take a dip in its healing waters, believed to have curative properties, and to bask in the tranquility of this idyllic spot. With its stunning natural beauty, rich history, and spiritual significance, Keerimalai is truly a hidden gem waiting to be discovered.","February 9, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Sophie L,"Toronto, Canada",Fresh Water by the Sea,5,Missing,Quite interesting to note that this pond was a fresh water and one was very close to the sea. Beautiful of the sea and the ancient temple,"January 27, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Ramal Coorey,"Colombo, Sri Lanka",A mineral water spring  in Jaffna,5,Missing,It is a renowned mineral water spring which is believed to have healing properties.  The spring forms two swimming pools with separate entrances for women and men.,"December 21, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,DarioSaraB,"Rome, Italy",Beautiful,5,Missing,Beautiful place but only for men. The women's tubs are undergoing renovation. It is located inside a Hindu temple. Great atmosphere and great experience. You arrive by local bus from jaffna.,"April 7, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Amalka W,6 contributions,Jaffna Tour,3,Missing,"Historical and Natural water flowing pond. Poorly maintained, may be due to the closure of Covid-19. Not recommended if the place is crowded since you can't bathe.","January 17, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304135-d4546250-Reviews-Keerimalai_Hot_springs-Jaffna_Northern_Province.html,Keerimalai Hot springs,3.6,163,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/55/d6/f7/keeramalai-pond.jpg?w=700&h=400&s=1,Hash - Tourist Guide Sri Lanka,Sri Lanka,Keerimalai freshwater  Spring pond near the beach,5,Missing,this is a mineral water spring pond. The specialty is it’s located near to the Sea and still contains freshwater. The history of the pond is bound with the Hindu mythologies.,"November 4, 2021",0.0,0.0
