Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,HKFooey,"Hong Kong, China",Well worth a visit,5,Couples,We only found out about the temple as we were driving back from Galle to Colombo so a very last minute diversion.  But it was well worth it. It is a beautiful temple inside and out with most of the praying happening outside around the Buddhas under the huge tree. The carvings and paintings were impressive and showcase what the Sri Lankan people are capable of. Remember to take off your shoes as it would be hugely disrespectful not to.  There's no one telling you where to take your shoes off but you'll see sandals and shoes just before you reach the square housing the temple.,"December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Trang Vuong,"Hanoi, Vietnam",One of the nicest Temple,5,Friends,Been there with friend and totally in love with the peaceful and dignified here. I respect the Sri Lankan people' beleif.,"December 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,EmilyFS,"Melbourne, Australia",A stunning Buddhist Temple complex in Colombo.,5,Friends,"Our hotel concierge recommended this stunning temple complex, he usually worships there himself. It was a very busy Saturday full of locals worshipping. The main temple takes your breath away when you walk in and see the carvings and paintings, there is a huge reclined gold Buddha in another room, a smaller Buddha in another part and another room for prayer. There is a huge stupa next to the temple and a smaller temple on the grounds, and two large statues outside. The carvings on the temple are intricate and beautiful . It was a fantastic place to visit","October 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,A Spiritual and Cultural Gem Near Colombo 🌟,4,Couples,"Review: Kelaniya Raja Maha Viharaya is a must-visit destination for anyone traveling to Sri Lanka! Located just a short drive from Colombo, this sacred Buddhist temple is not only a spiritual haven but also a showcase of Sri Lanka’s rich history and artistry. The temple’s intricate murals and carvings are breathtaking, each telling a story steeped in history and tradition. The peaceful atmosphere provides the perfect escape from the city’s hustle and bustle, making it an ideal spot for reflection and serenity. Legend has it that Lord Buddha himself visited this site during his third journey to Sri Lanka, adding to the temple’s profound significance. Whether you’re interested in spirituality, history, or just a beautiful place to unwind, Kelaniya Temple is an unforgettable experience. Tips for Visitors: •	Wear modest clothing as this is a sacred site. •	Visit early morning or late afternoon for a quieter experience. •	Take your time to explore the murals and learn their stories. Highly recommended for cultural travelers and history enthusiasts! 🌸","June 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,S G S,"Bengaluru, India",Beautiful murals,5,Family,"Spectator murals inside. Very beautiful and historic temple. Given it’s not on tourists map, all boards are in Sinhalese.","February 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Travel With Sam (Sampath),"Kandawatha, Sri Lanka",Grate cultural place you should visit,5,Friends,"Kelaniya Raja Maha Viharaya  is one of the iconic places close to  Colombo just 10Km distance and 20 minutes drive.  Lord buddha have visited this place and have preached damma to the Nagas, Who lived  in the kelaniya. King Maniakkitha have made a sthupa enshrining a chair made of gold and gems at the place of buddha have preached damma. The sacred bodhi tree is worshiped by the devotees during the week preaching suthra and you can see people carrying pots filled with water clockwise around the bodhi tree.","December 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Udara - Yala Safari Wonders,"Yala National Park, Sri Lanka",A Serene and Sacred Experience,5,Friends,"Kelaniya Raja Maha Viharaya is a lovely place to visit. The temple is peaceful, with beautiful artwork and carvings. It’s amazing to walk around a site with so much history, dating back over 2,000 years. You can feel the spiritual energy here, especially if you visit early when it’s quieter. A perfect spot for anyone interested in culture and history. Definitely worth a visit!","October 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Tourist Board Western Province,"Battaramulla, Sri Lanka",Kelani Viharaya - Sri Lanka,5,Solo,"One of the most revered historic Buddhist temples of the orient. Located near River Kelani, this presents panoramic views and has a rich history behind it.","August 7, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Let's Go Sightseeing,"Noida, India",Quite Large Premises,5,Solo,"From where I got off my cab, I climbed a flight of stairs to come to the lower terrace. I climbed another short series of steps to come to the upper terrace with the main temple right in front of me, a stupa on my right and a Bodhi tree on my left. I found the main temple of the Kelaniya Raja Maha Vihara to be impressive. The wall paintings illustrate the Jataka tales, stimulating compassion. Stepping out, I walked to the stupa and further to a guardian statue. Then I turned back and walked to the Bodhi Tree. I watched devotees offer lotus flowers and bowls of what I thought was water to the Bo Tree. The Kelaniya Raja Maha Vihara is quite large, and I would have loved to see more of it had it not been for the rain. This was the only place where, when I donated, a prayer was said for my family & my wellbeing.","July 12, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4689644-Reviews-Kelaniya_Raja_Maha_Vihara-Colombo_Western_Province.html,Kelaniya Raja Maha Viharaya,4.6,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/fb/7b/caption.jpg?w=700&h=400&s=1,Devendra G,India,Vibhishana temple,5,Family,"Kelaniya temple is also known as the Vibhishan temple. This is a buddhist temple, and it is believed that Gautam buddha visited the place on his third and final visit to Sri Lanka. On the back of the temple wall, there is a carving of Vibhishana being crowned by Lakshmana Ji. Nice place to visit.","June 24, 2024",0.0,0.0
