Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Charith Madushanka,"Kandy, Sri Lanka",Kirigalpoththa Trail: A Challenging Adventure Through Sri Lanka's Cloud Forest,5,Friends,"The Kirigalpoththa Trail is a rousing journey through Sri Lanka's stunning cloud forest. Starting at the same point as the popular World's End trail in Horton Plains National Park, the Kirigalpoththa Trail diverges to the right, offering an adventure for those seeking a more challenging and less-traveled path. Distance: 14 km round trip Elevation Gain: 250 meters Terrain: The trail passes through plains, bog, cloud forest, and rock, providing a diverse and captivating landscape. The path is not as well marked or visible as some of the other trails in the area. Be prepared with food, water, and first aid. However, there are plenty of very clean water sources along the way where you can refill your bottles. Please note that single-use plastics are not permitted on the trail. Ensure you arrive at the starting point no later than 10:30 AM; otherwise, you may not be permitted to enter the trail. The trail offers sightings of Sambar deer, with the possibility of spotting Wildcats, Leopards, Boars, and a variety of birds. Due to the cloud forest, a clear view from the top is rare, but the joy of this hike is the adventure of getting there. The trail passes across wetlands, grassland, and forest, providing a rich tapestry of biodiversity.","April 23, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Traveltales,"Rajagiriya, Sri Lanka",Once in a lifetime adventure,5,Friends,"It was a once in a lifetime experience with nature. Lovely weather, amazing views with a sprinkling of adventure. Things to note: It starts at the same place as the horton plains trail. You just need to take the path towards the right instead of the horton plains one towards the left. The path is not as well marked or visible as the horton plains one. Hence, download the trail on Google maps before you start. Unless you are an experienced hiker who is used to navigating on your own it is better to travel with a guide or an experienced hiker. (We traveled with a friend who is a well known mountain climber). In certain places you do come across large areas of muddy ground (It had rained the day before our hike) and we had to deviate from the trail in several places. (For context, the sole of one my sneakers came off when I was trying to take my foot off from on one such mud pool). Take food, water and first aid. But there are plenty of very clean water sources which we used to refill our bottles. You will not be allowed to take single - use plastics. But I noticed the authorities were more lenient on the Kirigapotta hikers (than horton plains ones) on enforcing this rule. What to wear: The weather is mild and there are no leeches or other insects. But covered clothing is recommended if you want to avoid getting scratches from tree branches. Time taken: We started at 9.30 am and returned at 5 pm which included lots of snack/ photo breaks and spending one hour at the top. Start at early as possible so you can return before dark. If I remember correctly the forest office will not let you start after 11 am. Difficulty level: It's 14 kms round trip. There is no clear path. But it's mostly flat land. You will have to climb only in the last 1 -2 kms and there is steep ledge right towards the summit. In certain places you have to cut across thick forest cover and cross a few small streams. We are not regular hikers nor are we regular gym - goers. It was mildly tiring but doable. (All the aches and pains came only on the day after;)  For comparison I would say, I found climbing 5000 plus Adam's Peak much more strenuous.","February 6, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,SunnyW358,"Albuquerque, New Mexico",Fantastic view from the top,5,Missing,"We really enjoyed this hike. We were told it would take three and half hours to get to the top, but we made it in two hours and fifteen minutes. We did not take a break except for a very quick pause for a drink of water. We were lucky it was clear on the top to be able to absorb in all the scenic beauty surrounding us and enjoy our well-deserved snacks. It had rained on the previous night(s) and the path was pretty muddy. We were happy we had a local guide (required by law as well) to find the path in knee-deep reeds for the first half an hour. Then we passed through wet pasture trying not to fall into mud puddles. Then there was light climbing at first through wet muggy woods and finally some rocky ground. Then it was all uphill. It was a good climb, but I would not say it is impossible to do for anyone with some level of fitness. If you are not the regular-exercise-type of person, plan to take a lot of breaks before hitting the summit. It is worth all the trouble to get there. Make sure to take plenty of water, a change of shirt. You will be soaking-wet with your own sweat and would not be comfortable when a cold breeze blows by. Yes, a windbreaker or any long-sleeved shirt is also recommended. There are no leeches, so you only have to watch out for not-so-firm ground and slippery rocks and/or wet slopes. If you like mountains, this is a good one to climb in Sri-lanka.","February 3, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,sherry_dissa,"Colombo, Sri Lanka",Mountains,5,Couples,"Hikking,trekking,trail that is the place..green path with very huge nature friendly place for all my lovely travellers arround the world.","July 15, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Anton O Fernando,"Nuwara Eliya, Sri Lanka",Really a good one in morning,5,Business,Very closed forest very cold in the early morning also nice voice of the different kind of birds also feel cool,"March 20, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Muditha J,"Colombo, Sri Lanka",Adventure and Hiking,5,Friends,"Kirigalpoththa is one of famous mountain in Sri Lanka.11 Kilometres hiking from Horton Plains Gate. Poduruthalagala is Highest Peak,  but Kirigalpoththa elevation is more than that from bottom of the mountain. Not easy,  but interesting","January 9, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Nilmini P,Sri Lanka,Kirgalpottha hike,5,Friends,One of the most beautiful mountain range near Hortan plains. It is like entrance to another world. It is a long hike and we need a whole day to climb it. There is plain at tge start and we have to go through wet path with mist. Its better to avoid rainy days if you want to see a clear mountain view .,"October 15, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Berta46Adrienn46,"Shenzhen, China",the worst hike of my life,1,Couples,"this was the worst hike of my life! local people pay 100 rupia, foreign people pay 7000 rupia.... the trail wasn’t marked and no signs at all. in spite of the 23 dollars entry fee, they provide no map and guidance at all.. we couldn’t see any animals.....","October 6, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Dilshan M,"Colombo, Sri Lanka",Best n Long hike,5,Friends,You have to come to hortain plains entrance 1st. Download offline google map before you go there.There is kirigalpoththa trial on the map. And use  GPS always to follow the trail on the map. It will definitely make your hike very easy. It's a 14km round walk and hike. You need some strength to accomplish this hike.  Though it is a very nice and scenic hike a lot of people turn back in the middle of their trail. If you are lucky enough you can see the view. Unfortunately most of the days the view is not visible due to the mist. It will take around 6hours to complete this hike. You need to start the hike before 11 am. Otherwise they will not allow you to go there.,"August 13, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2562188-d3726130-Reviews-Kirigalpoththa_Hike-Ohiya_Uva_Province.html,Kirigalpoththa Hike,4.6,39,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/20/3e/eb/summit-of-kirigalpoththa.jpg?w=700&h=-1&s=1,Rivon R,"Colombo, Sri Lanka",Craziest hike !!,4,Friends,"First of all, do not attempt if you haven't done any hike before. And if you're not a fit person you will certainly have a tough time completing it..... We went as a group of 13 and half of them were unfit, therefore it took way more than 6 hours to complete. At the entrance we were warned to stay as group throughout the journey. Most parts of the trial were filled with mud and out of 13 almost everyone slipped at least once during the hike. Within the first 15 minutes we spotted a wild dog which was running around the plains. Sambar deer were all over the place. And we were lucky enough to spot the elusive purple faced leaf monkey just outside the entrance. Occasionally you might come across leopard footprints especially on sandy track. After completing the hike I had mixed feelings whether was it worth the risk & time because the views from the top of Ella Rock and World's End were much better and the hikes were easy comparing to this.......","May 4, 2018",0.0,0.0
