Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,nir0sh,"Colombo, Sri Lanka",Knuckles Deanstone is a best place for a day out,5,Missing,"Knuckles forest reserve is a vast area with beautiful mountain peaks, waterfall chains and trekking pathways. Knuckles Deanstone is a best place to enjoy the beauty of this forest reserve. There are established forest tracks at Deanstone: One goes to Dothalugala  observation point and other one leads to Mini World's End. Dothalugala observation point trek is a moderate strenuous trek. We got a ticket from Deanstone forest office and entered the forest path. As usual the path is infested with leeches but we applied ALUM on shoes.  Weather in Knuckles is unpredictable. The mist was around when we reached Dothalugala Observation Point. You don't need a guide in trekking to Dothalugala trail. Deanstone Mini World's end is situated other side of the road and it also need entrance ticket. This is fairly flat terrain compared to Dothalugala trail. The Mini World's end trail is a circular trail and you will come across two view points. Deanstone forest office has different accommodation options but need to book in advance.","November 10, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Janette P,"Perth, Australia",Fabulous Conservation Park,5,Missing,We drove from Polonnaruwa across the Knuckles Ranges driving our very own little Tuk Tuk. This was an amazing an exhilarating experience. We just seemed to climb and climb and climb higher and higher. The views were to die for.,"September 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Dmmcwillie,77 contributions,"Fantastic Motorcycle Riding area,",4,Friends,"We Rode Royal Enfields through the Knuckle Mountains, rugged roads,steep and wild country with fantastic scenery great fun.","August 29, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,wkhasintha,"Colombo, Sri Lanka",A Bio-diversity hotspot,4,Solo,A nature lover's paradise. This has been declared a UNESCO heritage site. There are many hiking trails and mountains to climb. Many waterfalls adorn this lofty jungle.,"July 28, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,SkylarTours,"Kandy District, Sri Lanka",there is super place for relaxation,4,Missing,I have my own tour company called skylar tours. those days cloudy climate. But its really awesome. I travel with two tourist people from Finland. actually there newly married couples. They really enjoy that place.,"June 23, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Patti B,Texas,Gorgeous,5,Couples,"We met up with our guide who was contracted through, Come Visit Sri Lanka.  The trek was strenuous, in fact too strenuous for me, but my husband thoroughly enjoyed the day out.","June 18, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,rvpmumbai,"Mumbai, India",Trekked here !,5,Missing,We spent 5 hours trekking in this range with our local guide and ecotrekker. Beautiful evergreen forests.Lot of Leech due to the monsoon - but such a virgin and pretty area - Clean and green all year round.,"June 7, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Shafeer Z,"Mawanella, Sri Lanka",Wonderful Landscape of Hunnasgiriya,5,Friends,"Deanston Bungalow is a best place to spend your vacation with family or friends. Located    approximately 7Km from Hunnasgiriya town. We have to pre-book the bungalow at the Forest Department battaramulla. Road condition is not that much good all the way up.  Better to bring a vehicle with good ground clearance. 2 Bedrooms with washrooms and a hall with a care taker and a cook. We can book the facility only for the consecutive 3 days. There are several attractions. Mini world's end is beautiful place with breathtaking panoramic views, specially the views of east Sri Lanka . Just 1.5Km form the bungalow. Better to avoid July to August season because of the heavy wind in this area. It is very risky to visit Mini world end and other attractions during windy season. As it gives panoramic view of the east Sri Lanka, best place to watch sun rise. Dothalugala Nature trail and Birds Deck are some other attractions which are very near to the bungalow. It was about 12Km trail which brought us through a peak of a Dothalugala. Trail become very misty when it goes up and up. Went to the Birds Deck with lot of hopes. But We could only witness the 2 or 3 birds. But near this birds deck there is a waterfall and natural pool. Nice place with cool weather.","February 16, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Dasun,"Matale, Sri Lanka",Unforgettable adventure,5,Business,Most people travel with different purposes.if you want to recreate you mind the best place for that in sri lanka is meemure.,"October 9, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,yotam shalev,13 contributions,Beautiful Adventure,5,Solo,"I got to spend 5 days in this beautiful hidden paradise. Nipuna, a local hiking guide showed me the amazing landscape and diverse wildlife of the region (Nipuna trekking on Google). I can really recommend checking out this area if you are near Kandy.","June 30, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Christine Joy E,"Dubai, United Arab Emirates",,5,Friends,i love nature and i would give 2 thumbs up for this i sawwd raspberries water is pristine its misty mountains its an amzing trip and i would love to ho back again. a definitely must see when u visit Srilanka its just a couple of hour away from Kandy,"December 29, 2016",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Harsha P,"Colombo, Sri Lanka",,5,Missing,"The Knuckles conservation forest contributes 35% of the water to the Victoria reservoir. The species of incests & plants yet to discovered outnumbers the ones known to us. This is place that must be visited by all as it gives an insight in to living organisms & teaches people how to appreciate nature. The waterfalls, rivulets, Jungle paths crisscrossed by vines & fallen trees with living organisms offer some of the most spectacular & fascinating studies for young students. One never gets tired while trekking at knuckles as it is covered in mist & keeps you cold. Be mindful of the leaches. Carry a cloth bag of salt dampened in water. This will help to take off the leaches. I suggest at least 4-7 days in this area should satisfy a person.","December 28, 2015",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,RosaHills,"Colombo, Sri Lanka",,5,Solo,"An indelible experience to find your way through the misty cold mountains off Riverston range. It was a walk to rediscover yourself with nature and to stop and listen.....to the gentle sound of the chirping birds, cascading waterfalls and the howling winds. The mountains would soon make you weary of the colombo hustle, inviting you to bask in the serenity of the hills. Not forgetting the warm hospitality of the village folks, who would have a warm candid and an innocent smile to greet you and make yourself home.","December 25, 2015",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Jimmy S,"Colombo, Sri Lanka",,5,Friends,This is an unheard of gem that all must see.  Breathtaking views and great place to take lots of pictures. It is a good easy hike..,"May 9, 2015",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,lakshmanisaac,"Kandy District, Sri Lanka",,5,Friends,"Mini world's end is close to the forest office in deanstone it's really beautiful overlooking the dumbara valley if it's a very clear day you are very lucky , distance from kandy is about 50 km","May 2, 2015",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,Wizak,"Paris, France",,4,Missing,This area is relatively unknown and there are few tourists here.  It is very pretty with some excellent hiking.  We had some hiking organised by Ecoteam and we ate in the village with the guide at the end of the walk- delicious freshly cooked.,"November 6, 2014",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g12289092-d1889410-Reviews-Knuckles_Conservation_Forest-Kandy_District_Central_Province.html,Knuckles Conservation Forest,4.7,29,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e8/91/4b/if-you-want-to-recreate.jpg?w=700&h=400&s=1,soalma,4 contributions,,5,Missing,"Cool, beautiful easy to reach by three-wheeler from Hunasgiriya Spend some days here hiking, relaxing and cooling down from the heat, stress and traffic.  Book entrance and staying possibilities in Colombo or Kandy office. Great views and finally undisturbed walking paths.","August 8, 2014",0.0,0.0
