Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,Nimmi Gunasekera,"Colombo, Sri Lanka",A great place,5,Missing,"Kudumbigala is a beautiful place,  and the climb to the top is highly recommended. The walk through the forest and huge rocks is peaceful and serene and contact with nature could not be better. Its altogether a unique and soul satisfying experience. Be quiet and respectful of the surroundings when you walk, so that neither nature nor the resident monks are disturbed. The place is a gem","May 18, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,thierrybonnet,"Argeles-sur-Mer, France","Extraordinary, thank you for respecting!",5,Couples,"Extraordinary site! You don't have to just climb to the top of the rock. Follow the path that goes to the left of the temple under the cave and you will discover a treasure! Too bad some idiots didn't understand anything and took the liberty of engraving the rock with their initials! Revolting, stupid, as useless as those who committed this act! Let's respect this historic site! THANKS","May 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,clair01,"Blyth, United Kingdom",Worth a visit,5,Missing,Great place to visit. Interesting place lovely walks in area. Recommend walk up to viewing point where the 360 degree views are stunning.,"May 29, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,Akm A,12 contributions,Super place,5,Solo,really enjoyed place arugambay Such a nature place best Great place definitely recommend arugam bay any body go there super place,"May 12, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,LocalMachang,"Colombo, Sri Lanka",Absolute must do,5,Missing,What an amazing hike. Fabulous views. Spend as much time as possible at the top. take water and snack but do not litter please,"February 26, 2021",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,_embe,"Perth, Australia",Sacred place,5,Missing,"In 2016 , this placw as sacred and unknown for tourist world. We have gained so many beautiful moments and wisdom from this place so please even today, when its open to public, be kind and silence in your presence. How I miss this magical energy!!","December 18, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,Jude S,"Colombo, Sri Lanka",Do not disturb the nature,5,Missing,Its a nice place those who seeks quite calm Buddhist temple. jungle with wild creatures. no halm so far to any one go there or who do meditation .do not go to enjoy. just go to learn something.,"January 22, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,Nataly L,25 contributions,Rock climbing off the beaten route,5,Solo,"No entrance fee! and it's a beautiful place, nature walk , with lots of wildlife and special atmosphere. it;s an holy place so the atmosphere is quite spiritual.","January 15, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,hayat tours and taxi service arugambay,"Arugam Bay, Sri Lanka",about kudumbigala monastery,5,Missing,"Kudumbigala Monastery lies eleven miles from Panama and seventeen miles away from the Kumana Village. Kudumbigala monastic complex was built in 246 BC, during the time of King Devanampiyatissa. It was first established as a refuge for the Buddhist monks who wanted to get away from the busy Cities. Archaeologists had recovered over 200 rock caves belonging to this forgotten monastery.","December 20, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g3348959-d5995999-Reviews-Kudumbigala_Monastery-Arugam_Bay_Eastern_Province.html,Kudumbigala Monastery,4.7,86,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a5/e6/b2/kudumbigala-monastery.jpg?w=700&h=400&s=1,asankai83,"Awasa, Ethiopia",Kudumbigala cave temple,5,Solo,This is one of most ancient cave temple in east cost sri lanka.. middle of the kumana national park..lot to see wildlife and nature ..,"July 23, 2018",0.0,0.0
