Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",My favorite national park in Sri Lanka (and I was in all),5,Solo,"Kumana NP is one of the most beautiful parks in the world, especially when the many lakes within are filled with water. You will then see countless birds, from the ibis to 5 diverse stork species, but also many Crocs, occasionally an elephant, wild boar and Axish - and, yes, leopards. Their density is said to be highest here in the world, not in Yala, for example. Kumana is never as crowded as neighbouring Yala, probably because most of Arugam are just for surfing or bathing...the drive here alone takes around an hour, but is scenically really super nice. Of course, good luck is always part of an animal observation, of course, sighting a leopard is never guaranteed. Beautiful places to get out and legs represented on the Kumbuk-lined shore of an inlet in the park","September 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,OnAir24785605555,"Kundasale, Sri Lanka",Kumana: Where Nature Whispers and History Waits,5,Missing,"his is a park bird lovers should not miss. Located in the southeastern corner of Sri Lanka, Kumana has preserved its pristine natural beauty. The drive from Arugam Bay is among the finest—evoking memories of colonial-era roadworks. With untouched jungle on one side and the shimmering sea on the other, the journey infuses an energetic sense of wonder. For those interested in Buddhist culture, Kudumbigala Monastery is another must-visit on this trip. With a history spanning over 2,000 years, its serene isolation has helped preserve the site's authenticity and spiritual charm.","July 14, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Susan G,"Wellington, United Kingdom",Only ok,3,Couples,"Great safari if you like birds. Lots of different birds. Very very bad roads so your back in peril constantly. You don't expect a smooth ride on most safaris but this was exceptionally rough.We saw no elephants, no leopards and no bears. A few distant crocodiles and lots of peacocks. The scenery was pretty  but would  not go again or recommend.","June 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Lucky J,"Digana, Sri Lanka",Half day jeep safari of Kumana national park,5,Friends,"Four of us did a half day jeep safari at Kumana national park from 5 A.M. to 11 AM. with Mr. Shantha in his jeep. He is an expert on the Kumana and nearby areas such as Kudumbigala. He took us on the trail very safely till the boundary of Yala along the coast and sometimes in the interior. We met a few other similar jerps with local and foreign tourists. We saw all the animals and birds at the park except for bear and leopard. Leopards and bear had been seen the previous day but we were not lucky on this day. We saw herds of elephants with young ones, a lot of deer, not so usual types of colourful birds, huge crocodiles and a lot of peacocks too. We witnessed at least 3 great peacock dances with full blown feather presentation. We can highly recommend Mr. Shantha (+94 77 662 5337) for leafing a half or full day safari jeep tour of Kumana and adjacent areas. By Lucky Jayaratne","May 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,GrandTour35200263948,2 contributions,Kumana fauna and excellent scenery,5,Friends,"They came to pick us up at the hotel at the right time. During the journey to the park, the driver has already indicated animals. During the safari, the driver showed us fauna and different areas with different vegetation. We saw quite a lot of local fauna... and even one of us spotted a leopard. All very well. Recommended experience for fauna and landscape. We'd be back.","March 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Amendra,United Kingdom,Biodiverse paradise,5,Friends,"I am absolutely thrilled to talk about Kumana National Park, located on the southeastern coast of Sri Lanka, bordering the Indian Ocean. This biodiverse paradise is a haven for wildlife enthusiasts, boasting an incredible array of fauna and flora that are unique to this region. What makes Kumana stand out is its status as an important bird sanctuary, with over 200 species of birds including rare and endangered species like the black-necked stork and greater flamingo. In addition to birdwatching opportunities, visitors can also spot elephants, leopards, sloth bears, and many other animals in their natural habitat. The park's mix of wetlands, forests, and grasslands create a stunning landscape that offers a different kind of safari experience compared to other national parks in Sri Lanka. Truly a must-visit destination for any nature lover!","December 2, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Wiraen,72 contributions,Smaller but just as beautiful,5,Missing,There were less than 10 vehicles when we arrived in the morning.  The trip was pleasant after the crowd at Yala even though there seemed to be less animals and birds.    Kumana is swampier than Yala but beautiful in its own way.  And we saw a leopard too!  We also saw more elephants around Kumana compared to Yala.,"August 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Phileas Fogg,"Paris, France",Beautiful!,5,Solo,An excellent reserve for the Watching edge but also for leopards and bears. The diversity and beauty of the landscapes as well as its Buddhist ruins make it the favorite playground of photographers. To visit!,"July 15, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,john t,"Stourbridge, United Kingdom",Remote quiet interesting park.,4,Couples,"This National park which I think was called Yala East is a beautiful park with a good mixture of open park, large lakes/tanks and dense jungle. Very few jeeps enter the park so it is very relaxed and the animal/ bird life seems to completely oblivious to those. Similarly the jeep drivers are very relaxed and take plenty of time. Few vehicle tracks. Main problem is that the park entrance is 15-20 kilometres from Panama along a very rough dirt track. But well worth the effort. The local guides say the afternoon safaris are best for animals and the morning safaris for birds. We did one of each and didn’t notice a difference.","January 24, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1815618-d3477464-Reviews-Kumana_National_Park-Ampara_Eastern_Province.html,Kumana National Park,4.4,129,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/3a/2e/birds-at-kumana.jpg?w=700&h=400&s=1,Kitta2,"Gold Coast, Australia",Great Safari !,4,Couples,"Being to Kumana National Park many times and this time we did an afternoon private safari. Located in the south coast of Sri Lanka and is the eastern sector of Yala. Less crowded. More famous for bird watching. Even though it was from far, we saw a leopard. So lucky to witness a sloth bear walking down the bridge. Unable to attach the video. Definitely the highlight of our safari.","November 27, 2023",0.0,0.0
