Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Lou. A,"London, UK",Great views over tea plantations too.,4,Couples,You can get tuk tuk here but we cycled. Quite a lot of off road cycling and walking. Last 15 mins climbing up and over foliage. Very pretty waterfall with great views over tea plantatitions on the way up. Worth a look.,"November 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",Very nice and very exhausting,4,Solo,"Beautiful waterfall, but very steep and difficult climb over stick and stone, only for sure-footed people with good basic condition Not for young children","November 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,A Scenic Waterfall with a Touch of Legend 🌿💦,4,Couples,"Lover’s Leap Waterfall is a beautiful and peaceful spot just a short drive from Nuwara Eliya town. The walk to the falls takes you through lush tea plantations, making the journey just as scenic as the destination. The waterfall itself is stunning, cascading from around 30 meters high into a quiet, green setting. The site is tied to a local legend about two lovers who leapt to their fate from this very spot, adding a sense of history and mystery to the visit. The path is relatively easy to access, but wearing comfortable shoes is recommended as it can be slightly uneven. This is a great stop if you want to enjoy nature, take in the views, and capture some beautiful photos away from the busy town. It’s not a large waterfall, but the charm of the area and the surrounding tea estates make it well worth a visit.","September 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,martijn,17 contributions,Nice spot to go quickly,5,Couples,Nice short walk to the waterfall. If you walk up and stand at the bottom of the waterfall you can climb down a bit. You will then come to a large flat rock. From here you can take a nice picture,"January 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,stmichel25,"Bengaluru, India",Avoid,3,Couples,The tuk tuk driver we took was unscrupulous and dropped us where you have to climb through the tea plantation which was not easy. There’s no clear path. And then he charged us more than double to take us back as he knew we wouldn’t get anyone to take us back from there. The falls in itself were nothing spectacular.,"January 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Traveltales,"Rajagiriya, Sri Lanka",A tale of star crossed lovers,4,Couples,"Lovers leap is a waterfall situated a couple of kms away from the Nuwara Eliya town.... it's not the most breathtaking and during dry seasons it would hardly have any water but it does have its own charm and it's own (rather sorrowful) tale... Backstory - According folklore a prince who lived in the area during ancient times fell in love with a village girl and when his parents opposed match, the ill fated lovers chose to jump to their death from the top of this waterfall on a full moon day rather than be seperated. Hence the name.... ""Lover's leap""....... How to get there - There were so many conflicting reviews on how to get there and the level of difficulty in getting there.... This was our experience.. After reading many reviews we took the longer route (second option) shown on Google maps and that was to get to the Pedro tea factory. Just as you see the factory (coming from NE side) there is a left turn (carpeted road) to the estate managers bungalow ,as indicated on the turnoff. After about 200 meters down this road you get two left turns (at the same point). Our tuk driver took the upper left turn which was in terrible conditon with large pot holes. There are more turnoffs down this road but you always take the turnoff going up.... after about 10-15 mts you will get to a large tree from where the path turns into a footpath... from there it's only about 250 meters to the waterfall. Halfway through path you come to a gate and fence seeming fencing off a makeshift kovil. You take the right turn next to the gate and after about 50 meters the road again forks into two from which you take the lower route to the left. ( I read on reviews that the locals will offer to take you to the top of the waterfall. So I assume the right turn off would lead to the top of the waterfall. But there were no locals in sight on the day we visited, so we didn't explore any further.) The walking part was pretty easy. It wasn't flat land but nothing particularly strenuous. We also noticed that there was a concrete paved road down below coming almost upto the waterfall. This may have been the lower road in the first turnoff, but then again non of the tuk drivers coming to falls seemed to take this route. There was enough water flow to make it worthwhile when we visited, but it may not warrant a visit during dry season.","December 30, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Dasun,"Matale, Sri Lanka",Scenic views,5,Business,Stunning panoramas of Nuwara eliya and surrounding hills from the top of the water falls .best time to visit morning or early afternoon for clear weather and less crowding .,"December 27, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Aabith Daz,"Homagama, Sri Lanka",A hidden gem in NuwaraEliya,5,Friends,"Lover's Leap Waterfall is a hidden gem in Nuwara Eliya that offers a rewarding experience for nature lovers. I recently visited with a friend and enjoyed a refreshing 30-minute walk through the village, guided by Google Maps. The hike to the waterfall can be a bit challenging, with slippery paths, so it's essential to wear appropriate clothing and trekking shoes. There's no entry fee, making it an affordable adventure. Once you reach the waterfall, you'll be rewarded with breathtaking views of the entire Nuwara Eliya city. It's a must-visit for anyone seeking a peaceful escape and stunning scenery.","August 24, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,traveller4576,Dublin,"Not awe-inspiring, but still very nice.",4,Family,"Not awe-inspiring, but still very nice.  You can get a tuk-tuk to within a 15 min walk to it.   Can also add on to a visit to the Pedro Tea Factory (same area).","August 15, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d4106831-Reviews-Lover_s_Leap_Falls-Nuwara_Eliya_Central_Province.html,Lover's Leap Falls,4.2,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/46/a4/29/one-of-piduruthalagala.jpg?w=700&h=400&s=1,Megan and Mohammed,"Dubai, United Arab Emirates",Stunning waterfall - definitely worth it!,5,Couples,This was a beautiful walk and the views at the top are stunning. You could get dropped off by a Tuk Tuk at the bottom of the waterfall and complete a short hike (about 20 minutes) to the top or complete a longer walk if you prefer. We walked from our accommodation which took about 1.5 hours and was a mostly flat walk. Highly recommend.,"August 7, 2024",0.0,0.0
