Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,mattm,"Carmarthenshire, United Kingdom",If you like folk museums you will like this place,4,Couples,Interesting exhibits this local museum - the masks are particularly good. Mannequins would benefit from an update though.,"December 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,Gillian F,86 contributions,Fantastic Museum,5,Friends,Wonderful introduction to folk culture in Sri Lanka. Display explanation in English. Well signed for the way through the museum so you do not miss out. Well worth a visit.,"October 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,Sakthi,"Batticaloa, Sri Lanka",Learning History of Sri lanka,5,Business,"Nice place to learn  Sri Lankan culture Here many types of sri lankan culture were explained through properties . Can learn, feel and understand","May 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,aidharvey,11 contributions,January 2025 visit,4,Couples,"When we first saw this was on our route, we assumed was a museum about folk history in the English sense, and then read a little about Martin Wickramasinghe and his body of works, and sounded really interesting and different to all our other stops. The folk part basically means the history of the Sri Lankan people with particular relevance to the countryside traditions and agriculture - and that was even better as a rounded view of the pre-industrial era in Sri Lanka. A great collection of traditional dress, tools, vehicles and more. And then there is the buildings devoted to the life of the author also. We took a guide who was super informative and had a great two-way conversation about so much about Sri Lankan life and the context of the author's life. Very happy we went, beautiful calm place. I think we sent somewhere between an hour and an hour and a half, but could of stayed longer time permitting, but also you could easily cut it down to a 45 mins or less visit if so minded. Great experience, good value.","February 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,Pubudu Attygalla,"Nainamadama, Sri Lanka",Place of Educational Value !,4,Missing,"Very educational place for all the people. It is very helpful for kids who are doing Sri Lankan education. Most of the required historical items are there. This is also a wonderful place to study the life of late Mr.Martin Wickramasinghe who is a popular author. Main place in the museum is the  house where he was born. Facilities and some renovations, improvements can be made to the place ,so it can attract more visitors. It's a place you should visit when you're in Galle.","April 13, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,BobWE,"Manhattan Beach, California",Folk Museum,3,Missing,"Located in Koggala, Sri Lanka, is a large museum complex that dipicts the culture and life of rural Sri Lanka.  The artifacts exhibited related o the arts and crafts, folk art and folk life of locals.  Clothing, jewelry, folk games, medical devices, transport (wagons, canoes and carts) religious artifacts and education tools are displayed in the many different buildings.  The house where Martin Wickramasinghe was born is an important part of the complex and is a home typical of the headman, teacher, and the native physician during the 19th century. A library containing the works of the writer is located at the entrance.  Plan on 1-2 hours if you slowly browse--1 hours if you hurry through.  Not much of interest for children in my opinion.","March 19, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,Kanishka Herath,"Kurunegala, Sri Lanka",Place to experience Sri Lankan culture / traditions in low country,5,Missing,Place was the home of greatest author of Sri Lanka Martin Wickramasinghe. Further there is a museum relating to his life and traditional culture of Sri Lanka. Specialy foreigners must visit this place if you want to enjoy the culture of Sri Lankans.,"March 8, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,NickyU,"Dorset, United Kingdom",Lacks details,3,Missing,"We stopped here for an hour on our way to Galle, and it was OK, but lacked specific details regarding most of the items, like the dates.","January 29, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,Rienzzie,"Saint Louis, Missouri",Inspirational experience,5,Missing,"If you want to get a glimpse into Sri Lankan literature and charm of life in Sri Lanka, this is a place to visit.","January 28, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297896-d2513418-Reviews-Martin_Wickramasinghe_Folk_Museum_Complex-Galle_Galle_District_Southern_Province.html,Martin Wickramasinghe Folk Museum Complex,4.5,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8f/ab/50/martin-wickramasinghe.jpg?w=700&h=400&s=1,SuVi,"Colombo, Sri Lanka","Very interesting Museum, with Southern province history and culture",4,Missing,"Excellent location to learn about Martin Wickremesinghe, the culture of Koggala and history of the Southern province. Houses all his family heirlooms and information is very clear and educational.","January 28, 2022",0.0,0.0
