Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,301lisa33,"Coventry, United Kingdom",Reconstructed but elegant,4,Friends,"This stupa was a mound until rebuilt in the 1980's... so not remotely original.  Having said  that, this is a popular site with many buddhist pilgrims.  It is large and elegant with all the usual temple elements","May 1, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Kevin S,"Pontypridd, United Kingdom",A lovely large stupa but perhaps not as featured as it is smaller than others nearby,4,Couples,"A lovely large stupa but perhaps not as featured as it is smaller than another white stupa, Ruwanwelisaya, and considerably smaller than the red brick Jethawanaramaya but nevertheless a significant attractive structure.","January 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",BUDDHIST,4,Friends,This is very old beautiful Buddhist temple. Now it looks like as if rebuilt. Lots of local Buddhist pilgrims in white.,"November 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Nilusha Alahakoon,"Colombo, Sri Lanka",One of Atamasthanaya,5,Friends,This is also built by King Dutugemunu after beating battle with Tamil King Elara. One if Buddha's relics kept inside this.,"August 14, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Alex W,"Singapore, Singapore",Stop by here for 15 - 30 minutes on your way back to town,3,Solo,"Although located close to the “Sacred City” Archaeological Park north of Anuradhapura, Mirissawatiya Dagoba is not actually inside the paid area. In other words, it’s free entry to this one. I guess it’s largely because it remains a practising place of worship. This means (a) much has been restored and (b) you have to take off your shoes and headwear. Good for a 20-minute walk-around. Despite recent restorations, there are stone fragments from long ago. These are worth a closer look. There's also a colourful myth attached to the founding of this place; read it up. General info about places in the “Sacred City/Ancient Ruins” park: The sights are quite spread out such that while walking from one sight to the second may be possible, covering many more on foot is impractical. You’ll need a bicycle or a tuktuk hired for the day. Also, there’s little shade from the sun, few places to buy water and even fewer toilets. Be prepared.","May 27, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Titus D,Sri Lanka,192 meter Glorious  Mirisaveti Stupa Having a Lovely landscape with Rock Caves .,4,Friends,"This site is a little off the standard route through the historic site but worth a visit.  It is somewhat hidden in the forest there but ask your guide for directions. This is stupa is the first stupa built by King Dutugemunu (161-137 BC). The present height is 192 m. This has been restored recently, it was in ruins, but restored to its original state. It has many legends & something to do with a Chilli curry, hence the name ""Mirisavetiya"" Miris means chilli in Sinhala.  This temple is full of history. Be dressed appropriately as a mark of respect for Buddhism. It has a lovely landscape with rock caves and superb views from the platform. It's not as huge and as ancient-looking as the Jethawanaramaya but it's still glorious to behold and worth a visit and take pictures. This is a  large and very nice looking white stupa. It helps to wear socks as walking up to the site on the very hot stones and sand pathways can be very difficult in bare feet This is ignored by most pilgrims but you will find peace and serenity on your walk around the place which is composed of the stupa, the Bo Tree and the Buddha image. All of this embedded in This is a small Stupa Compared to others you can see in Anuradhapura. But the Stone Pillars left off the outer dome which may have covered the ""Stupa"" originally is indeed something that you cannot see at other places too. It is a holy place. Buy flowers to place them in offering stand. It is well worth visiting this place, but make sure it is not in the afternoon as the sun makes the place hot.  You are not allowed to cover our heads & feet (except wearing of socks as a mark of respect) . it is better to visit this place, early morning, mid-morning or late evening Do not miss! The walk is easy on your feet as the grounds are mainly grass.","April 13, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Prasunmed,193 contributions,One of the must visit place in Anuradapura,5,Friends,"This Mirisaweti Sthupa is one of the 8 sacred places in Anuradapura. If you travel by train very short distance from railway station. You can get taxi infront of Anuradapura railway station. They have some packages too. Short dresses are not allowed to this place. If you go at day time it is very difficult to go around sthupa. Because of heavy sunlight floor is so hot. Evening or early morning is the best time. I went on evening 5.30 p.m . Very calm place at that time. On poya days and sundays big rush there. This is one of the pagoda which made by king Dutugamunu. He also made Ruwanweliseya which is largest pagoda. Clean place. Parking space available. If you are buddhist, this is one of the must visit place in Sri Lanka.","March 12, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,exploreslk,"Colombo, Sri Lanka",Ancient Stupa and Archeological Remains,5,Friends,"Mirisawetiya is one of very first stupas in Sri Lanka which is built by the great King Dutugemunu. The stupa was a part of the Mirisawetiya Monastery. The remains of the buildings of the monastery still can be seen around the stupa. The 'Vahalkada' (frontispiece) is fine example of the height of artistic ability of the people of that era. The sight of the stupa is really beautiful. It is better if you can avoid noon to visit the place. It will be kind of hard for your feet, you know why.","February 2, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,mrdom,"9,414 contributions",Nice white stupa,4,Solo,"Like a smaller, quieter version of Ruwanwelisaya.  Not part of the main ticket scheme but the donations seemed optional, so I gave 100.  Take a look at the two indents, where you can the see the details of the brick construction.","January 21, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d4031972-Reviews-Mirisaveti_Stupa-Anuradhapura_North_Central_Province.html,Mirisaveti Stupa,4.2,57,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/21/54/69/entrance.jpg?w=700&h=400&s=1,Hans d,"Bordeaux, France",Impressive,5,Couples,"It is a big stupa, impressive to see and hear the story about the stupa. We went there in the weekend and it is nice to see what this place means for the people of Sri Lanka.","August 27, 2017",0.0,0.0
