Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Gareth C,4 contributions,Moon Plains Nuwara Eliya,5,Friends,Definitely worth the visit. Magnificent scenery and a fun jeep ride. A lovely experience. Inexpensive and good local drivers,"December 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Aslam Najath,"Kalmunai, Sri Lanka",Best place to see sunrise,5,Couples,"Moon Plains is just 4 km from Nuwara Eliya Town and 3 km from Gregory Park, The best time to visit is early morning to enjoy the sunrise and the stunning 360° mountain view. Entrance is LKR 100 for adults and LKR 50 for children. A safari jeep is required to reach the viewpoint and costs LKR 3,000 for a 30-minute ride -totally worth it. Private cars, vans, and buses are not allowed. Motorbikes are permitted but not recommended because the road is currently damaged and slippery due to rain.","November 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,SriLanka Bliss Holidays,"Galle, Sri Lanka",Breathtaking Views at Moon Plains – A Must-Visit in Nuwara Eliya!,5,Couples,"I visited The Moon Plains in Nuwara Eliya and it was an unforgettable experience. The view from the top is absolutely stunning—you can see mountains all around, and the fresh air feels amazing. It’s a peaceful and quiet place, perfect for nature lovers. The drive up was beautiful too. I took many photos and enjoyed every moment. If you visit Nuwara Eliya, don’t miss this hidden gem!","May 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,RST A,1 contribution,For the attention of Moon Place authorities,1,Friends,"Due to the undisciplined drivers, the tourists face many difficulties. This person named Kumara bearing the number PT-9315 takes more money as a bribe than the jeep fare.And when we went there, he also tried to drive drunk, he covered his face with a piece of cloth to prevent the stench from coming out.","January 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Salah,"Muscat, Oman",Visit to moon plains hills on a jeeb car ride,4,Missing,"Very beutiful land scape reminds me with Salalah-Oman during khareef season.  This place i visited today has a jeeb car ride it took us to highest spot , a perfect place for taking photoes. Our driver Doome made our trip safe and enjoyable","November 14, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Sri Lanka Traveling,"Kandy, Sri Lanka",Moon planes,5,Missing,It's beautiful place n cool. The environment is really enjoyble. Tour driver were excellent and safely drove the vehicle,"September 21, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Benomark2000,"Rabat, Morocco",Excellent,5,Missing,"Not bad and very nice view. Accessible with children. Admission costs Rs 600 per adult and Rs 5,000 for the one-hour jeep ride for up to 6 people.","July 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Shafras A,3 contributions,Bad experience at moon plains,1,Missing,The staff here is very arrogant and they keep the locals waiting and give priority for foreigners.. simply they get paid a little higher,"May 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,Monica J,"Chartres, France",Avoid at all costs - Tourist rip-off,1,Solo,The place is a rip-off.  They only allow you on the grounds if you purchase the Jeep tour from them which is an exorbitant 6000 lkr - a price that seems to increase monthly (see previous reviews) There is a separate entrance fee which would suggest that walking the grounds was originally an option. The company managing the property is awful. They are using Moon Plains to fleece unsuspecting tourists.  Avoid at all costs!!,"March 15, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d9455355-Reviews-Moon_Plains-Nuwara_Eliya_Central_Province.html,Moon Plains,4.0,178,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/47/81/61/img-20170514-115515-hdr.jpg?w=700&h=400&s=1,1LifeStand,"Colombo, Sri Lanka",Lovely early morning excursion,5,Friends,Lovely place to visit early morning. We got there by car at 7am and got a jeep. The driver was Jayantha who was eager to show and explain the area. There is a vegetable Agro Garden if kids want to learn more. We were done in 60min and came back to the hotel for breakfast,"February 11, 2024",0.0,0.0
