Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Hepatacyte,"Northallerton, United Kingdom",A bit hard to find,3,Couples,Slightly underwhelming really. A 5 minute visit after a bit of a wander trying to find it on a hot day. The carving is very intricate and well preserved.,"October 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,フレクエンとトラベラー,649 contributions,The most beautiful moonstone,5,Couples,"I found Buddiga, the driver introduced on the Jasmine Tour, completely unreliable, so I showed aruco the three featured with pictures and visited. I was also on a school trip to elementary school, so there are definitely things to see. Because it is fenced off, it is easier to see from the temple side, not the entrance side. Beautiful moonstone. Many old stone pillars stand between the accesses, but there is no explanation and I don't know what they mean.","August 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Sabrina Gabriel Honest Views,Seychelles,A Sacred Symbol Carved in Stone,4,Couples,"The Moonstone in Anuradhapura is one of the most fascinating and spiritual details I encountered during my trip through Sri Lanka’s ancient cities. At first glance, it’s a beautifully carved semicircle at the entrance of a temple — but once you understand its meaning, it becomes truly powerful. Each ring of the Moonstone represents a stage in the Buddhist cycle of life: birth, aging, death, and rebirth. It’s a symbolic reminder that every step toward the temple is a step toward spiritual enlightenment. What makes it even more special is that Moonstones are unique to Sri Lanka — you won’t find them anywhere else in the world. The craftsmanship is incredible, and even after centuries, the carvings are still so detailed and elegant. Tip: Take a moment to stand before it and just observe. Learning about its meaning beforehand makes the experience even more meaningful.","June 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Helly,"Western Australia, Australia",Best preserved,4,Friends,"Another quick stop on our tour, this is the best preserved moonstone. Incredible history. You can wander the other ruins, this area wasn’t too busy. We did a bit of haggling at the stores set up.","January 24, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Lieuwe R,"Groningen Province, The Netherlands",Moonstone to long for,5,Missing,"Basically, with every staircase to a temple finds such a moonstone. However, this one is very well preserved. The animals in the outer circle represent birth, life, disease and death. By making connections with others you learn what suffering and desire is. By being able to distinguish good and evil from each other and doing good, you eventually enter the nirvana, represented by the circle, with the lotus as a symbol.","July 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Moonstone-Sandakada Pahana,5,Friends,This is a semi-circular stone slab usually seen at the bottom of staircasesof ancient religious places as well as some ancient royal palaces in Sri Lanka. The Moonstone located at Mahasen's Palace is the best-preserved Moonstone found in Sri Lanka,"November 17, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Albia-Newton,"Evanton, United Kingdom",Nice carvings,4,Couples,Nice stone. Beautiful carvings. Good to see it in its context To think that this stone was the entrance to the chapter house being just a small part of the ancient monastery. Gives an understanding of the scale of the ancient city,"February 6, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Film G,New England,Ancient Carving. A 5 Minute Visit.,3,Couples,"Maybe two meters in diameter, this ancient entry to a central worship point still has symbolic carvings that can be identified. They demonstrate the stages in life. Hey, it’s worth a visit, but don’t get upset if you miss it. It’s also near the world’s largest swimming pool. Really: You can fit 6 Olympic-size pools in it.","February 3, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,Terry M,"Hamilton, Canada",A RANGE OF EXPLANATIONS,4,Missing,"Our guide followed one Sri Lankan authority who associated the moonstone with the cycle of rebirth in Buddhism. Whoever might be right, the semi-circular stone is delicately carved. A surrounding railing is a necessary evil but you can stand close to it to appreciate the fine piece of craftsmanship.","January 22, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d10132976-Reviews-Moonstone_or_Sandakada_pahana-Anuradhapura_North_Central_Province.html,Moonstone or Sandakada pahana,4.2,118,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/13/8e/38/caption.jpg?w=200&h=200&s=1,DipuKV,"Pune, India",Nice,5,Missing,"A common motif, you see it all across the ancient temples. It is the stepping stone (literally as well as figuratively)!","January 12, 2020",0.0,0.0
