Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Kumar E,"Melbourne, Australia",,5,Couples,"Lovely clean sandy beach, great for long walks and to watch the sunset. Barberyn Reef is just near by for a relaxing swim. You will find many great fresh seafood restaurants along the way and they are cheap.","March 25, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,SamWorld,"Kolkata (Calcutta), India",,4,Business,Nice beach. Mostly empty not much crowd unless its a holiday. Good place to relax or go swimming. Close to many hotels,"March 11, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Random R,2 contributions,,5,Couples,"The beach was relaxed, not too crowded, spacious and the views and sunset were nice. It was pretty wavey but fun to swim in, also saw many beginner surfers there. During our 7 day stay the water was clean except from one day. There were a few surf schools, couple of restaurants and bars and overall relaxed feeling. For fun and nightlife it doesn't have too many options.","February 28, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,mikekaren1982,"Cornwall, United Kingdom",,5,Couples,"We did the river tour from the end of Moragalla Beach with Susith, he was very knowledgable and did a hassle free tour.  He showed us crocodile’s, water monitors, white frog, bats, kingfisher and much more.  He took us down the small river and the large river, nothing was too much trouble.  I would recommend his tour, if you require a tour WhatsApp him on 0774421411 or ask for him at the Bentota River end of the beach.","February 1, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Turtle5954,"Warrington, United Kingdom",,4,Friends,"Enjoyed a good walk here in the early evening sunset. Very busy as a natonal holiday, but full of life so good to see","January 21, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,SILBERSTEINSKY,278 contributions,,3,Couples,"The beach is flat and nice. However, it is close to the river which brings substantial waste water. Much prefer Bentota one.","November 12, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,wkhasintha,"Colombo, Sri Lanka",,3,Solo,Moragalla beach is located just opposite the Bentota panhandle at the estuary of Bentota River. A picturesque and relatively secluded beach. Can get here from Aluthgama or Beruwala. Recommended. Protect and conserve.,"September 4, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,thush,"Beruwala, Sri Lanka",,5,Friends,We like this beach. very nice wew.safety swiming. Good sea food restaurant. Have good fun with your family.....,"July 24, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,30Stella,"St Johann im Pongau, Austria",,3,Solo,"This beach is good for walking if staying nearby - if they clean it up. Not good for swimming, rough sea. There is a pool like place at the far end, but water is murky. Go elsewhere for the beach experience, if you can.","May 8, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Carol B,"Yorkshire, United Kingdom",,5,Couples,A lovely quiet beach with plenty of sun beds and perfect for relaxing. There is a good choice of restaurants serving excellent food.  This was the most relaxing beach area we visited during our stay in Sri Lanka.,"April 4, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Diane R,"Huntingdon, United Kingdom",,4,Friends,"The beach only has small areas from which it is safe to swim and the sand gets very hot so best to have flip flops on. There are some shops with items on sale that are good value for money. The beach bars are definitely worth a visit whatever your favourite tipple is. Generally, it is a clean beach although there a few dogs wandering around.","March 26, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,MariuCh007,"Ozarow Mazowiecki, Poland",,4,Couples,"Clean, like most places in Sri Lanka, it is not. But there is quite a lot of space and it's worth spending a few hours here :)","March 25, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g4366271-d10387604-Reviews-Moragalla_Beach-Moragalla_Beruwala_Western_Province.html,Moragalla Beach,4.0,56,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/85/ab/10/bed-linen-towles-a-a.jpg?w=700&h=400&s=1,Sigrid L,"Oslo, Norway",,5,Couples,"Moragalla beach is a beautiful place on earth! It is clean, so is the water. When the waves are huge, you can take a bath in a small lagoon in the corner of the beach. I`m a little walking disabeled and just love this lagoon. And the beach is not over crowded, Only a few local traders and not too many tourists. So you can have a walk and a bath in peace and harmony.","March 12, 2018",0.0,0.0
