Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Sri Lanka Travel Host,"Colombo, Sri Lanka",Hindu temple,5,Business,"Munneswaram Kovil, Chilaw – A historic Hindu temple complex dedicated to Lord Shiva, set near the coast. Known for its vibrant festivals, colorful architecture, and peaceful atmosphere, it’s a fascinating spot to experience local culture and devotion.","August 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Deepak,"Suva, Fiji",Significant in Ramayan trails,5,Couples,One of the first of our stops in the question of the Ramayan trails and the history of the temple was greatly explained to us by the priest. Would be nice to see it restored to it full glory!,"July 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Akella Chendrasekhar,"Lake Hopatcong, New Jersey",Munneswaram kovil visit,5,Friends,I didnt realize this was one of the first temples consecrated by lord ram after defeating ravan. Amazing temple. Even older than rameshwaram,"December 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Krishna1970,"Hyderabad, India",Sacred Hindu Temple where Sri Rama prayed Lord Shiva and requested for a remedy to get rid of Brahmahasthi Dosham.,5,Couples,"Muneshwaram Temple  is a sacred Hindu pilgrimage site dedicated to Lord Shiva, located approximately 2 kms east of Chilaw, a town situated about 82 kms north of Colombo. The temple is a historical and believed to date back over 2000 years. This temple complex comprises several shrines dedicated to various Hindu deities, including Shiva, Vishnu, Ganesh and goddess Vativampika Devi. Visitors can explore the ancient ruins, marvel at the intricate stone carvings. According to Ramayana Yatra Sri Lanka, this temple is historical site where Lord Rama offered prayers to Lord Shiva. Lord Rama, having defeated King Ravana, flew back to Ayodhya in a vimana with Sitha Mata,  He felt that he was being followed by “Brahmahasthi Dosham” as he killed Ravana, who was a Brahmin, to rescue Sitha mata. Sri Rama  stopped his Vimana vehicle at this place Munneswaram as he felt that Brahmahasthi Dosham was not following him at this place. So he ascended from vimana and prayed to Lord Shiva asking for a remedy to get rid from his Brahmahasthi Dosham. As per legend, Lord Shiva instructed Rama to install and worship four lingams at Manavari, Thiru Koneshwaram, Thiru Ketheshwaram and Rameshwaram in India. He, along with Sita Devi, installed four Lingams and performed sacred rituals and pujas. Thus, Munneswaram Kovil has become a prominent site on Sri Lanka's Ramayana circuit.","October 22, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Vvsmurthy K,"Mumbai, India",A memorable 6 day pilgrimage to Sri Lanka with everything arranged by Olanka Travels to a T!,5,Couples,It was a moment of happiness. Lord Shiva is simply inviting. Feel refreshed and blessed . Great memory. Not to miss this place on your route.,"May 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,NirmalaSivasanthar,"London, United Kingdom",Temple Of Faith,4,Missing,There were less people as we went on an off peak time. The temple has a history and it has beautiful sculptures around it. Its well worth a visit and perform a ritual .,"March 27, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,PrashantAU,"Bengaluru, India",Nice ancient Hindu temple,3,Solo,Must visit if interested in Ramayana trail. The shivlingam is said to have been installed by Ravana himself.,"February 27, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,Dream498751,1 contribution,strong and colourful tradition .one must visit while they are visiting srilanka.they have  temple stay and veg.food.,3,Missing,food is really taste...vegiteriyan...one can enjoy strong rituals and faith healing seasons.region is populated by mix ethnic crowd.,"December 31, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,133Ceylon Tour Advisor,"Wattala, Sri Lanka",Must Visit because its Your Plase,5,Missing,"Lord Rama after his victorious battle left for Ayodhya in one of King Ravana's vimana's. He felt he was being followed by “Brahmahasthi Dosham” as he had killed King Ravana who was a Brahmin. He stopped the vimana at this juncture because he felt at this place the 11`Brahma hasthi Dosham"" was not following him. He ascended from the vimana and asked God Shiva for a remedy. God Shiva blessed Lord Rama and advised him to install four lingams at Manavari, Thiru Koneshwaram, Thiru Ketheshwaram and Rameshwaram in India and pray, as the only remedy to get rid of the “Brahmahasthi Dosham”.","October 18, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2550424-d7289563-Reviews-Munneswaram_Kovil_Temple-Chilaw_North_Western_Province.html,Munneswaram Kovil Temple,4.2,38,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2d/67/a4/munneswaram-kovil-temple.jpg?w=700&h=-1&s=1,David F,"Sydney, Australia",Bit confusing,4,Missing,"Munneswaram Temple complex is a collection of five temples, including a Buddhist temple. The central temple dedicated to Shiva is the most prestigious and biggest, and is popular amongst Hindus. The other temples are dedicated to Ganesha, Ayyanayake and Kali. The Kali temple is popular with Buddhists and Roman Catholics. Seems to be a bitthere for everyone.  Dont understand why the need to buy fruit get a blessing and then give away the fruit.","September 25, 2019",0.0,0.0
