Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,Trip62003595045,4 contributions,Great trip on winding mangrove paths,5,Family,Super trip yesterday in an indescribably beautiful lagoon landscape with rare birds and monkeys who have also come to us briefly. Great mangrove water trails. The tour guide was super nice. We were there about 16:00 and experienced a great sunset. Highly recommended 👍👍💪💪,"December 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,centralvic,"Ballarat, Australia",Lovely morning canal cruise.,4,Friends,"We went with Muthurajawela Visitor Centre- our local friend booked it for us. There were 9 of us altogether, so we had a boat to ourselves. Everyone enjoyed the tour! We left around 8am on a Sunday, and cruising along the canals was such a pleasant experience. Then we were out onto the Negombo Lagoon, which is so big after the canal! We saw lots of birds- including a kite dive down and scoop up a fish on the lagoon. We saw monkeys, some of which were swimming across the canal as we slowly approached. We saw quite a few monitors sunning themselves on the bank. The whole trip was very enjoyable, and one of our friends booked a second trip to take students on. Definitely recommended.","December 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,Ciarán O,2 contributions,Great place to visit and take a boat ride,5,Family,"A lovely relaxing boat ride packed with interesting wildlife. The tour guide was knowledgeable, friendly and extremely helpful when we needed help arranging transport back to Nehombo!","November 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,simon87_11,"London, UK",Superb Experience,5,Friends,"A wonderful experience during which we saw birds, monkey, crocodiles and fish during a well conducted and gentle tour of the marsh. Our boatman was helpful and in no hurry. An excellent tour.","February 22, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,Sheila W,"Chester, UK",An excellent experience,5,Couples,"We were staying in Negombo We rang the visitor centre first to check there was a boat trip available at a time to suit us, then got tuk tuk It was an excellent 2 hr trip along the canal and then into the lagoon The guide and boat  driver ensured we saw a huge variety of birds, monitor lizards and monkeys We learnt about the way of life of the fishing community Highly recommended","January 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,Portia R,3 contributions,Safe and relaxing tour for family,4,Family,Safe and relaxing tour. We went at 7:30am so there weren't as many birds to spot but the ride was safe and relaxing for pregnant me and my 93yr old grandmother and my two kids. The boatsman was very kind and polite and willing. Loved it overall.,"December 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,Lieuwe R,"Groningen Province, The Netherlands","Fruit, monkeys and an iguana",4,Family,Fun boat trip through the Negombo lagoon. We ate fruit on a mini island flooded with tide. Feed the rest of the fruit to the monkeys that live in the mangroves. They also really like bananas. Saw another resting iguana. All in all a nice trip of about 1.5 hours. Count on 15-20 euros per person. Although I think there's still some haggling to be done.,"July 18, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,trapisonda1,18 contributions,To flee the city,3,Friends,"The ride we hired lasted approximately 1 hour and cost us $35. First we went under a bridge, and saw many fishing boats docked. When passing near the fish markets, the smell is unbearable and difficult to get rid of. The water in the lagoon is not very clean, there are all kinds of things floating, but they took us to a place to walk on the water that was quite clear. Afterwards they took us to a small island covered in mangroves to see monkeys that jumped into the boat to collect their cookies. Returning to the point of origin we sailed seeing some pelicans, herons, ibis and cormorants. The ride would have been more pleasant if the boat made less noise and less smell of fuel.","March 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,dave c,"Warrington, UK",Birds galore,5,Couples,Early morning start  7am -  30 minute tuk tuk from Negombo -well worth it to catch the wildlife . Very well informed guide and boatman - who were happy to point out all the birds and reptiles on show and give us a history of the area. 2 Hour trip - plenty of opportunities for plenty of photos and a coconut break half way.,"March 2, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g297897-d2236748-Reviews-Muthurajawela_Marsh-Negombo_Western_Province.html,Muthurajawela Marsh,4.2,321,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4a/dc/43/caption.jpg?w=200&h=200&s=1&cx=800&cy=597&chk=v1_178cb1ed0a33b21f8300,jeff1955malaysia,"Kuala Lumpur, Malaysia",Boat ride,3,Friends,You can hire a boat to take you around on a boat ride. You see alot of birds and simply enjoy the natural nature of this place.,"October 11, 2023",0.0,0.0
