Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Spirit Of R,13 contributions,"Absolutely mind blowing , highly recommend most unique feature of sri lanka that we had",5,Couples,"It was absolutely mind blowing , so beautiful,  everything was incredible, don't listen to any negative reviews , especially nicolletes (incredibly written lies), there wasn't a single spider like she said, there's not bat poop everywhere it's pretty much just a little dirt and not really muddy either ,  I have to emphasize this as it may deter people like myself who read the worst reviews and I almost let this prevent myself and my wife from having one of the most incredible experiences of our life's and we have done alot of amazing things ( we live in hawaii). This is the perfect adventure and isn't too long either all whilst being one of the most unique experiences you can have on earth and the pool at the end was spectacular.  We had it all to ourselves as well. Overall highly recommend to anyone . Maybe not if you're into adventures or are not able to climb a ladder for 30 seconds lol.","December 5, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Sarah H,4 contributions,Must do while in Ella,5,Couples,"One of the coolest experiences. You climb down the cave approx. 80 meters deep and on the bottom there is a pool you can swim in. If you're afraid of small spaces, bats or the dark, better don't go.","November 25, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Lank Sheldrake,"Ella, Sri Lanka",Adventurous Adrenaline Expedition,5,Friends,"Awesome end of the hero's journey to the Blue Water Pond. The heroes were reluctant at the beginning, with sufficient lighting & flashlights we slid down wooden staircases with ropes to hold down over 150 meters into the tunnel, it would've been more exciting if there was a drizzle or rain. Fully worth , Highly Recommended for young 'uns. Blue H²O was so cooooool ! Enjoy Sri Lanka in this non Touristy exercise ...","November 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,emmaontour11,4 contributions,One of my highlights in Sri Lanka,5,Friends,"An extraordinary & super nice experience. If you have no problem with tightness and effort, and are good on foot and adventurous, then this is just the thing for you. The mistake on our part was that we were wearing partly light clothing, which was somewhat doomed to us. The crystal clear and blue lake at the end of the trail, where you can even swim in, was definitely worth it!","November 4, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Ellia C,5 contributions,We regret going,1,Couples,"Our guide was awful. He moved so quickly we couldn’t keep up and showed no consideration.  We got the sense he was annoyed he had to take us. At one point when I fell he didn’t even pause to check if I was ok. The cave might have been beautiful, I’m not sure, the walk/climb in and out were so rushed I didn’t have a chance to look up. The path is a bit of a scramble in places and quite slippery, but manageable. The pool at the end is nice, and they hold up a light so you can swim. We also found out after the fact that they charged us almost double the actual price. If you do go, make sure you haggle hard.","August 22, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,David S,"Bella Vista, Australia",Something different but very worthwhile,5,Missing,Something different from the usual Sri Lanka tour.  Our driver mentioned this cave 30 min out of Ella and we decided to give it a go. Bring shoes and costumes and be prepared to get a little dirty but experience well worth it.,"August 17, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Branavee,"Colombo, Sri Lanka",Crystal Clear Blue Water 💧,5,Friends,"We visited Nil Diya Pokuna in Ella on June 17, 2024—a must-see destination for any traveler 😎. If you’re planning a trip, this place should definitely be on your list. Our guide, Harshana, was exceptionally friendly and thorough. The tour costs 1500 Rs per person, which is a great value for a lifetime experience. If you’re visiting with a group, the price per person decreases. The best time to visit is in the morning. After a 500-meter walk through a forest reserve, we reached what seemed like a rabbit hole—the entrance to the cave. Headlamps are provided. From the entrance, we descended 10 meters via ladders. Initially, we encountered a large cave that led us to the Nil Diya Pokuna (Blue Water Pond). The water in the pond is refreshingly cool and its level rises on rainy days. The cave tour lasts about 1.5 hours. Facilities include a small public washroom and a dress-changing area near to the ticketing office. We also discovered silver dust and shimmering graphite deposits in some rocks. Be prepared for sharp rocks and note that the cave can be muddy and slippery.","August 12, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Eliott,"Orleans, France",Unmissable,5,Couples,"Are you in Ella? This is the activity to do in my opinion. 3000 rupees/person, this is one of the first times in Sri Lanka where I get value for money. Upon arrival, the instructions are explained and we receive the appropriate equipment for our descent into the heart of the mountain. After a short walk in the forest of 5 minutes, we left for a descent of 35-50 minutes with an exceptional Guide who knows the cave for 25 years: Weerqsingq. For us it is the unmissable on Ella! TO DO IN THE MORNING: we were alone in the bottom of the cave to enjoy!","August 4, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Redouan,17 contributions,Visited this cave in july 2024 with children 9-12 years old.,4,Missing,"It's worth the visit. Things you must take with you: swimming clothes, towel, proper set of clothes for after and extra good battery Light. You can change clothes and wash at place after the visit","July 22, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g616035-d17812884-Reviews-Nil_Diya_Pokuna-Ella_Uva_Province.html,Nil Diya Pokuna,4.3,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/b1/d7/31/kings-canyon.jpg?w=200&h=200&s=1,Daniel Sondhauss,"Ponta Delgada, Portugal",Great Experience :),5,Solo,"Great Cave experience, I highly recommend it if you visit Ella. The hike down the cave can be a little challenging, make sure you're having good hiking boots on you.","May 30, 2024",0.0,0.0
