Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,Twisted Pillars and Hidden Beauty,4,Couples,"Nissanka Latha Mandapaya was one of the most unique places I visited in Polonnaruwa. It’s small compared to other ruins, but the details are incredible. The pillars are carved to look like lotus stems, each one slightly twisting as it rises. It’s amazing how delicate and artistic the stonework is, considering it’s over 800 years old. It’s a quiet spot, and many people skip it, so you might even have it to yourself. I loved standing there imagining the ceremonies and gatherings that happened inside. If you love discovering hidden details and beautiful architecture, don’t miss this gem while exploring Polonnaruwa.","July 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,Terry M,"Hamilton, Canada",UNCERTAIN USE,4,Missing,"The darkened pillars highlight this structure, also known as the Lotus Mandapa. Its precise use is subject to conjecture [held holy relics or a seat for Nissankamalla during religious ceremonies]. This uncertainty adds to its alllure.","February 6, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Nice,5,Missing,"As you move through the place, the nuances strike you...cultural icons, religious artefacts, the passion of those times.","January 13, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,JOANNE99JAYAMAHA,"Colombo, Sri Lanka",Nisanka Latha Mandapaya,4,Friends,"Built by King Nissanka Malla and named after him, it is located near the western entrance of the Dalada Maluva, the area that contains the oldest and most sacred monuments in the city. A nearby stone inscription identifies this as the building used by Nissanka Malla to listen to pirith (chanting of Buddhist scriptures) currently the entrance into the maluva is covered by a wire mesh. The pillars are a resemblance to a lotus stem with a blossom carved on top. This unique shape is not found anywhere else.","August 29, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,kelum,"Kandy District, Sri Lanka",weaved in history..,5,Missing,this is one place which has no other parallel. The king who was behind this masterpiece has been a unique ruler in our annals as well. The effort put in to the granite makes one wonder about the look of the place in all its regalia during the time it worked its magic.,"May 7, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,Cristina2014CI,"Bucharest, Romania",Amazing Nissanka Latha Mandapaya!...,5,Couples,Nissanka Latha Mandapaya is also a part of Polonnaruwa ancient kingdom. The most important feature of this building is the shape and the carvings of the stone pillars.,"January 19, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,worldnomad_01,"Los Angeles, California","A stone platform with some nicely carved, curvy stone pillars",4,Missing,"Nowadays Nissanka Latha Mandapaya is just an elevated stone platform with eight nicely decorated, curvy stone pillars, surrounded by a three levels stone fence. The structure was built during the reign of King Nissanka Malla in the 12th century AD and it was purportedly used by the king to listed to Buddhist chanting. The unique feature of the structure is the curvy stone pillars, supposed to represent a lotus flower, with the crown of each pillar carved in the shape of a blossoming lotus bud and the rest of the curvy column (three curves) carved to resemble the stem of the flower. Eye pleasing and interesting structure, worth your time...","December 13, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,ShvRm_Traveller,"Goa, India",Pavilion for the King,3,Missing,"What remains of this Mandapaya is a platform and pillars without any roof. The landmark is located adjacent to Polonnaruwa Watadage. The Mandapaya is believed to be in 2nd half of 12th Century by King Nissanka Malla, which gives the pavilion its name. The unique feature of this structure is the shape of the pillars.","November 25, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,Janaka P,"Colombo, Sri Lanka",Nissanka Latha Mandapa - The ancient amphitheater,5,Missing,Nissanka Latha Mandapa is one of the ancient ruins at the Mahamewna Park in Polonnaruwa which will take you back centuries. A must see. Pls include this to your bucket list...,"May 10, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600973-Reviews-Nissanka_Latha_Mandapaya-Polonnaruwa_North_Central_Province.html,Nissanka Latha Mandapaya,4.1,66,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e9/78/0b/de-sierlijke-lotusstengels.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",Lotus,4,Friends,This Lotus shaped pld pillars are worth seeing.The pillars only remaining rest is damaged.You need about ten minutes here.,"November 27, 2017",0.0,0.0
