Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,TAMAN1951,"Liberty Lake, Washington",Classic,4,Couples,Old parliament building from the British colonial period. Easy to access but lots of security. Nice place to walk about and take photos.,"December 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,mark7242,"Leeds, United Kingdom",Great building 👏🏼,5,Couples,"Very iconic building within the town centre of Colombo, Sri Lanka. Great for a picture and speak to the staff, overall would recommend a picture.","October 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Viv Vivekananda,"2,062 contributions",Old Parliament building is now the Presidential Secretariat,4,Missing,"This old Parliament building is now the Presidential Secretariat since 1983. It's a neo Baroque style building constructed during the British colonial era and opened in 1930.  It is in the city area and can accessed from the street. Heavy security presence. You can walk around the building area to have an idea of the scale of the complex. Need comfy walking shoes, hat, water and sunscreen","August 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,LolaGo1,"Washington DC, District of Columbia","Looks like our government building in Washington, DC",4,Solo,"While in the Old Fort Area, my Tuktuk Driver pointed out this building to me. He said that this was where the members of the parliament meet or the equivalent of Congress in Washington, DC. Noted some statues of prominent perons in front of this building.  Was told not open to tourists.","March 9, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Caroline P,6 contributions,"Great experience, allow 1.5 hours",5,Missing,"Amazing!  Great history and excellent learning for teens on Parliament, Government and referendums.  The highlight was the Prime Minister Hawkes offices, felt like I was viewing a day in the life.","September 22, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Peter M,"Melbourne, Australia",Old Parliament Building  Colombo,5,Solo,This is in the Colombo Fort area facing the sea and close to the president's  House. It is built in ne-baroque style and opened on January 29 1930.,"August 23, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,olivehoover,"Treviso, Italy",Old Parliament Building,3,Missing,"Walking on my own in Colombo, I saw the Old Parliament Building. It is a huge building with a numerous statues showing the history of Sri Lanka's politics. I appreciated the old architecture. Very nice.","April 6, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Jiffy004,61 contributions,No photos,3,Missing,This is a lovely building that was situated next to our hotel. But you could not go inside the gates and are not permitted to take photos. Luckily I took some nice pictures from our hotel window.,"November 23, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Daryl P,43 contributions,Presidential staff office with photo ban,3,Missing,"Nice to look at as you stroll by but we were accosted by armed police when we took a photo. No need to single it out, you will simply see it facing the beach as you head north to Fort or south to Galle Rd shops.","November 19, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d3682845-Reviews-Old_Parliament_Building-Colombo_Western_Province.html,Old Parliament Building Colombo,3.9,322,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/9e/79/tiwi-islands.jpg?w=200&h=-1&s=1,Wayne M,"Durban, South Africa",Local politics,4,Couples,A very beautiful building with a number of statues showing the history of local politics as we walked past and admired it.,"October 16, 2019",0.0,0.0
