Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Healing with Ar... M,2 contributions,Great adventure,5,Missing,Had a great experience . Wonderful day and great fun. A wide variety of items. Good explanation of all the different types of items,"November 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Teagan I,Tanzania,Don’t bother,1,Couples,"Poor service, we waited 20 min at the door for someone to even speak to us about a tour. The “tour” we did was tea plucking, she told us what leaves were picked in less than 1 minute and then we plucked a few and left. It was not at all a good experience. Yesterday we went to labookalie and it was a MUCH better experience.","November 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,TheGrebes,74 contributions,"Nice tour, ,lovely staff",4,Couples,"Did both factory and picking tour (1000 rp each). Factory not working Sunday and no pickers because of wind, however an excellent tour ... very good English. Tea tasting was a single cup, but very nice. Picking was fun and got some good photos. Very close to Nuwara Eliya and lovers leap waterfall","August 24, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,sierrab,"1,151 contributions",Ok if you never visited a tea factory but staff would have finished work so machineries will be silent and place empty .,3,Couples,"Having visited a working factory previously , I was disappointed to pay 1000 Rupees each person to wait for a group to form then start the visit. No photos allowed inside the factory.The girl gave good explanation but at times it was difficult to hear what she said. Only the fanning was working when the tea leaves separated debris thus dusts on the floor and staff cleaning machines. Only worth buying Pedro tea as nowhere else sells it ! 95 % for export and only 5 % probably in the shop . It’s the tea brits drink under different names!","August 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,sparkylond,"London, United Kingdom",Well worth a visit,5,Missing,"We really enjoyed the tour, the lady gave us lots of information as we went around the factory. You get a cup of tea afterwards, which was enjoyed looking out from their terrace across the tea estate, which was stunning. Recommended.","July 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Karen L,107 contributions,Go early to see the factory working,4,Couples,"We were recommended to visit early as the tea processing happens overnight. The visitor centre opens at 8 am. We had an excellent tour at 8.30am with Kaushi. The cutting machines and sorting machines were still working. Sadly no photos are allowed inside the factory which is such a shame. The tour took about 20 mins and was really informative. Then we were given a cup of tea on the balcony overlooking the plantation. We also paid another 1000 rupees for the plucking tour. This was very disappointing and not worth the money. Kaushi gave us bags to wear and took us out to the tea plantation. She explained how the pluckers work, selecting one bud and two leaves and then said we had 20 minutes to pick tea ourselves. We decided against that, instead walking to photograph some of the tea pluckers. Of course they wanted to be reimbursed for having their photos taken, so have plenty of small notes and wear sturdy shoes!","July 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,jen b,4 contributions,Great tour of a Tea Factory,5,Solo,Great factory to visit. Set in a very scenic location. The lady giving the tour was excellent - she answered all my questions and provided us with plenty of information. Highly recommended,"April 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Tiran kavindu,"Kalutara, Sri Lanka",Not worth the money at all,1,Business,"Extremely Disappointed – Not Worth the Money! Pedro Tea Factory is an absolute rip-off! They charge 1000 rupees just for a basic factory visit – no complimentary tea, no plantation walk, nothing extra. That price is outrageous considering other tea factories in the area offer much better service and a more immersive experience for half the price or even free. On top of that, the staff were shockingly rude and unwelcoming. They clearly don’t care about tourists or customer service. It felt like we were an inconvenience to them. There are plenty of other tea factories in Nuwara Eliya that are far more worth your time and money. Don’t waste either of those at Pedro. Highly disappointing.","April 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Emma S,"Dubai, United Arab Emirates",Not worth the time and money,1,Friends,"Dreadful tour. Charged 1k rupees to be show around the factory by someone that couldn’t be bothered. The staff were less than impressed that we had chosen their tour above all others. Don’t waste your time, here are many tours to go on and I wish we had picked a different one.","April 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Daljit C,"Mumbai, India",Better to go to DAMRO,1,Missing,Over priced and completely commercial. Moreover there is nothing to see in the factory or the lounge. Over hyped. Arrogant staff.,"March 31, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Brandylady,"Aberdeen, United Kingdom",,3,Couples,The factory tour is actually much shorter than I expected. I had difficulty hearing what the tour guide was saying as a lot of background noise . Given a cup of tea to sample at end of tour. Teas in the shop are very expensive. Please note lots of steps up and down during the factory tour  - not the easiest.,"February 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Steven Riley,38 contributions,,5,Couples,"We had an excellent walk up to this place from our hotel at the quiet end of the lake. It's a peaceful walk (more interesting than tuktuk) We didn't do the tea factory tour but enjoyed a free cuppa overlooking the beautiful tea gardens and bought tea that was surprisingly well priced compared to the previous tea factory we visited. We then took a gorgeous walk up to lovers leap waterfall. Highly recommended. NB get the bus back into town from here,it's cheap as chips and do walk up to the waterfall the views are stunning","January 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Traveltales,"Rajagiriya, Sri Lanka",,5,Couples,"This wasn't a planned visit...on our way back from Lover's Leap our tuk driver suggested a visit to take part in their factory tour.... even though we've done this a couple of times before we thought why not and proceeded.... And it turned out be the best tea factory tour we've had so far! It was a precise and concise tour of 20 mts where they take you through each division of the factory while explaining the tea making process from end to end. And it was also the most informative of all the tea factory tours we've had so far. The lady who did the tour did an excellent job. She was very knowledgeable and answered many questions. We went there around 10.30 am and immediately joined a tour that was just about to start. After the tour you get a nice cup of tea. (I think there are tours every half an hour.) If you arrive while a tour is ongoing they will serve you tea first which you can enjoy in their tea lounge while enjoying the lovely view. We paid LKR 500 each and I think it was the same for locals and foreigners. No photos or videos are allowed inside the factory. [If I am nitpicking, the aprons they provide visitors to wear during the tour can do with a makeover.] We Also learnt that the name of the Estate is pronounced as ""Peedro"" (not ""Pedro"")  same as how the British colonists called ""Piduruthalaga"" the highest mountained ""Mount Pedro"", pronounced as ""Mount Peedro"". The factory is quite close to Nuwara Eliya town. Road conditions are good. It's on the side of the Udupussellawa road and there is ample parking inside the property. They also have a collection of single estate tea for sale. If you are interested in touring a tea factory and learning about the tea making process I would highly recommend this tour.","December 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Linda,"Wurzburg, Germany",,1,Couples,"We had a four-person lead with another couple. The employee guided us in the fast-track max. 15 minutes through the factory. She spoke very good English, but she rattled down the information as if memorized, so you could hardly follow. In the end, there was no tea tasting, the real reason we had visited the factory in the first place. On request, it was said that there were currently no more samples. Milk was also no longer in stock. Too bad!","October 28, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Elsa,2 contributions,,1,Couples,"Entrance costs 1,000 rupees per person, the tour is very short, about 15 minutes, and you can only see the machines themselves but you can't see the creature itself because it only happens at night. There's a feeling that the tour was done in an area only for tours and that they don't show the factory itself. The machines they look very dusty and outdated, really feel like a fake representative.","September 23, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d6599638-Reviews-Pedro_Tea_Factory-Nuwara_Eliya_Central_Province.html,Pedro Tea Factory,3.8,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/da/e2/b5/caption.jpg?w=200&h=-1&s=1,Travel13391892138,16 contributions,,3,Missing,"We loved the explanation as part of the tea factory visit, they charged us 500LKR per person for the tour however we weren’t told the factory is under renovation. There was construction and civil work happening inside the factory and we couldn’t see the entire process. When I made the suggestion to the front desk staff  that they could have told us about the work happening inside, they said yes reluctantly! Cup of tea served after the tour was delicious.","July 26, 2024",0.0,0.0
