Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,SEs,"London, United Kingdom",Cricket,4,Friends,This is an international Cricket grounds. On the main road to Trincomalee by the road side. You can stop if you like Cricket.,"December 1, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,gaya,"London, United Kingdom",Unique beauty,4,Friends,"A cricket ground in Dambulla. With agreat view overlooking ibbangamuwa reservoir. Could be quite warm depending on most of the year. Sun screen, shades, suitable clothes for warm weather and plenty of liquids recommended.","December 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,thelfm,79 contributions,Not sure the expensive seats are worth it,3,Missing,Went to an ODI  SL V SA.  We paid about £15 per ticket which gave us nice views but it was lacking in atmosphere.  Didn't help it was a 'dry' ground that day.  Might be tempted to go for a cheaper seat where there were other people nearby as a number of seats near us were empty so it was a bit meh from a 'watching SL play cricket in SL' perspective.  The areas with cheaper seats were full which is how I wanted to watch the game.,"August 23, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,Titus D,Sri Lanka,Rangiri Dambulla International Cricket Stadium located in Dry Zone & is Beautiful with Natural Lake Near-by Goes Lively.,4,Missing,"This is one of most fascinating cricket stadium in the country but not a historic place as it was built about 15 years ago. You have to buy a ticket to watch matches being played on schedules. Rangiri Dambulla Cricket Stadium is located not far away from the city centre. It is located in a really beautiful place, adjacent to a tank (lake) and surrounded by the wonderful natural countryside of this famous town with its Golden Temple. The plan when building it, was for it to stage cricket matches at times of the year when the south of the country is experiencing monsoon rains and therefore it is located in the dry zone of Sri Lanka where rainfall is less. It seems that there are not a lot of matches played there but the place is fascinating for its purpose and beautiful location. A guard let us go to the right to the top where cameramen are stationed to have a most beautiful sight of the stadium and the surrounding lake and hills. There was cool breeze and we were made comfortable. The road which leads to the ground from Kurunugala is completed its widening and well attended which would make it easier to travel to this place. This is an international stadium well maintained and very nice to see. It is a beautiful Cricket Ground and near a natural lake which is also refreshing. Unfortunately not many matches are played here. The grandstand gives a great view of the game. If possible must go only when there is a match and I witnessed a match and what an atmosphere. The whole ground is full of noisy supporters with bands playing some songs interludes and even people sing too. Go and enjoy a match when it is played and you can check the schedules when a foreign cricket team tours Sri Lanka.","June 27, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,tejasparekh3,"Mumbai, India",an absolute jewel,5,Friends,the security guard let us in once he knew we were foreigners. after parking another guard took us right to the top where cameramen are stationed to have a most beautiful sight of the stadium and the surrounding lake and hills. the cool breeze made me vow that I shall revisit this stadium when india plays here next,"April 4, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,Old_Fotofart,"Chandler’s Ford, United Kingdom","Poor facilities, poor restaurants and a super rip off in the snack bar",2,Missing,"Poor facilities, poor restaurants and a super rip off in the snack bar. Overcrowded, inefficient flow through the airport and over zelous officials","February 24, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,profjoypc,"Alnwick, United Kingdom",First stadium in the dry zone,5,Couples,"Rangiri International Stadium is located in a really beautiful place, adjacent to a tank (lake) and surrounded by the wonderful natural countryside of this famous town with its Golden Temple. The plan when building it was for it to stage cricket matches at times of the year when the south of the country is inundated with monsoon rains. It seems that there are not a lot of matches played there but the place is fascinating for its purpose and beautiful location,","February 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,Lakpriya K,"Colombo, Sri Lanka",Nice cricket ground,4,Friends,nice cricket stadium built in the dry zone. now the road which leads to the ground from Kurunugala is completed which would make it easier to travel to this place.,"May 22, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,mythili_rm19,"Bengaluru, India",Famous Stadium.,4,Missing,We got to see this place on the way itself. This is an international stadium well maintained and very nice to see.,"May 3, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,syd-waj,"Sydney, Australia",Beautiful Cricket Ground,5,Friends,Beautiful Cricket Ground and near a lake. Unfortunately not many matches played. Must go only when there is a match,"October 19, 2016",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,Paul B,"Chesterfield, United Kingdom",,4,Couples,Went to this match & what an atmosphere. Sold out ground full of noisy supporters . The grandstand gives a gret view of the game.  Major downside was the policing which was terrible. Awful crush to get in which was very dangerous . Inside the ground plenty of police who seemed to have no authority & were only interested in watching the match,"August 29, 2016",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304133-d7168297-Reviews-Rangiri_Dambulla_International_Stadium-Dambulla_Central_Province.html,Rangiri Dambulla International Stadium,3.9,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/0f/87/b1/caption.jpg?w=200&h=200&s=1,Malith De Silva,"Moratuwa, Sri Lanka",,4,Friends,One of most facinating cricket stadium in the country...not a historic place but it just a stadium..nothing much to see here and you can buy a ticket and watch matches if scheduled..generally famous to crowded whenever match played...,"August 13, 2016",0.0,0.0
