Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Aravinda J,"Kandy, Sri Lanka",,5,Missing,This is a very nice place with a nice atmosphere and very nice view. In a nice sunny day you can see vast areas of knuckles mountain range and east plains of Sri Lanka,"October 3, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Muditha J,"Colombo, Sri Lanka",,5,Solo,"Road is little bit difficult , if you have a good vehicle it will be useful. The roads are narrow , but you will get stunning views once you reach to the location , I think this place something like Ella area , very nice , weather conditions will change frequently , don't visit there in the rainy season.","September 23, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Keshan A,Sri Lanka,,5,Friends,One of the most beautiful place in Sri Lanka. The reason is wonderful nature with amazing views that you can see in this area. Don't forget to get relax with swim in Thelgamu Oya and Sera Ella. Safety is in your hand. Fresh air and calm environment will bring you the most unforgettable memories with this breathtaking place.,"August 20, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Kapil,"Colombo, Sri Lanka",,4,Missing,Good for a walk and a nice drive amidst the green forest. Make sure u carry some refreshments or food as there are no shops or hotels on ur way. U will find sign boards directing to some breathtaking waterfalls which will make upto another 10kms extra of ur journey. Enjoy the scenery all along.,"July 21, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,NishD,"Kandy, Sri Lanka",,5,Friends,"If you are vising this place these days ,make sure you get rain coats and additional food (less food available there) It's very windy here ,Please check before you go there .Also very good lighting after a shower for photos","June 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Chryshantha R,"Colombo, Sri Lanka",,5,Missing,Very interested place... all must get this experience with the natural wind. We got good fun with that.,"June 20, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,JayGoSee,"Edmonton, Canada",,4,Missing,"Nice hike with beautiful scenery.  About a 5.2 KM hike with a mountain to climb at the end. Path is paved until the end, after which you can climb up a short mountain. View is nice. Few concerns with increased local tourism, looks like need for some crowd control is there – saw plastic bottles thrown all over the place even on some tree tops. Started to the hike around 11:45 AM and came back around 2 PM. Coming down met lot of unruly visitors under the influence of liquor, playing drums and singing. Some of them looked like too drunk to climb. Sorry to see nature getting destroyed by “monkeys” who do not know how to behave and where they are. No government or authorities seen – and I can see this natural wonder in knuckles getting split very soon. I would suggest avoiding weekends if you really want to enjoy the nature.","April 22, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Sudesh Wijesinghe,"Colombo, Sri Lanka",,4,Missing,About 5 hrs drive from Colombo and 1 and half hrs walk with the nature. Best time is to go is early in the morning. If you are lucky you can see some wild birds. Even young children can walk.,"April 8, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,bhashi022,"Embilipitiya, Sri Lanka",,5,Friends,Had a wonderful ride with friends from Embilipitiya to Riverstone. Fantastic view of the knuckles after rattota town.superb location and climate.can get fantastic 4tos in nice location.go and get a feeling with funny. --------Crazy Gang society adventure trip--------,"March 30, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d7610327-Reviews-Riverstone_Gap-Matale_Central_Province.html,Riverstone Gap,4.7,40,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/72/f6/9a/riverstone-matale-sri.jpg?w=700&h=400&s=1,Pasan M,Sri Lanka,,5,Friends,"Situated in the Central province, Matale city. Here you can witness great scenarios . Top landscape photos.","March 11, 2018",0.0,0.0
