Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Shash Pathiraja,"Kurunegala, Sri Lanka",Breathtaking and Peaceful,5,Missing,"Ruwanweliseya is breathtaking and peaceful, with stunning white architecture and a powerful spiritual atmosphere every visitor will feel.","December 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Wilma G,"Nijmegen, The Netherlands",A must visit,5,Missing,"It's so beautiful here. For Buddhist Sri Lankans, this is the most sacred place on the island and it was amazing to see. Not only this beautiful Stupa but the whole was beautiful and impressive. We made a tour with our own driver / guide who knew a lot about this complex and it is certainly nice if you also know a bit more about the complex and its history","December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Seevali D,"Colombo, Sri Lanka",Experience the Timeless Grandeur,5,Friends,"On November 21st 2025, thirteen of us travelling with Flamingo Lanka visited the sacred Ruwanweliseya stupa.  This remarkable hemispherical monument, originally constructed in 140 BC by king Dutugemunu, stands as one of the tallest ancient structures in the world at a height of 103 metres, with a circumference of 290 metres and housing and enshrines a large amount of Buddha’s relics within.  Although king Dutugemunu commenced its construction, it was completed after he passed away. The Ruwanweliseya, constructed primarily of brick, is a marvel of ancient engineering.  The sheer volume of bricks required for its construction is staggering.  Its iconic white appearance is maintained by periodic painting of the outer plaster.  It is a living shrine that had been drawing pilgrims and awe-struck visitors for centuries! During our visit there, we joined the many devotees venerating and worshipping the stupa.  As is customary at religious sites, visitors are required to dress modestly and remove their footwear before entry. Ruwanweliseya is open to pilgrims and visitors throughout the day.","December 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,KiriBanjo,26 contributions,Amazing visit with amazing TukTuk Guide !,5,Friends,"Amazing visit of the Stupa and surroundings with our TukTuk guide and driver. He made is visit the archeological site and showed us many spots without the need of paying any entrance. He was funny and speak very good English, we ended booking him for 2 days ! He helped us a lot so to help him back, I’m sharing his contact ! If you want a great driver AND guide : Anura Nishantha +94 71 636 3490","November 12, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Vadim,"Murmansk, Russia",One of the tallest and oldest stupas.,5,Missing,"In the name of the stupa you hear something almost native-Georgian: yes-go-ba. However, it is a phonetic illusion. It means ""stupa."" The later name is Mahatstupa- Great Stupa. This is despite the fact that it is only the third tallest in Anuradhapura... But in the list of tallest buildings and structures in the world built before the 20th century, Ruwanvelisseya, with its height of 101 meters by meters, is ahead of Notre Dame in Paris. And yet being very scary - it was built in the 2nd century B.C.! Like any stupa Ruvanvelisseya Dagoba consists of 3 embankments- terraces, a hemispherical dome Garbaya, a cube inside with Buddhist relics. The dome is crowned by a conical spire of Kot Kerella, between which is the cylindrical neck of Devata Kotuva. Ruwanvelisseya Dagoba is highly valued by Sri Lankan Buddhists because of the precious relics in the stupa. It's like Catholics with Orthodox Christians, whose status depends on the status of relics and other relics. Unlike other stupas, this one has an exterior decor. It is surrounded by a wall of elephants - Hasti-prakara. It's just under 400. There's not much where you see... If you want to go inside, you should take off your shoes and go around the stupa clockwise when visiting.","November 4, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Hepatacyte,"Northallerton, United Kingdom",Fascinating in the early evening,5,Couples,We visited Ruwanwelisaya in the late afternoon/early evening when it was lit up and there were many people around. This made it come alive and make it a fascinating place to visit,"October 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,selvakumar2015,"Chennai (Madras), India","Quiet and clean Buddhist Stupa in the heart of the holy city of Anuradhapura, Sri Lanka.",4,Solo,"A sacred Buddhist Stupa believed to contain the collar bone of Buddha. A well maintained , clean and quiet place of worship in Anuradhapura, Sri Lanka.","September 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,"Damian ""Senior Restaurant Tester""",290 contributions,Temple,5,Missing,"The Ruwanweli Maha Seya, also known as the Maha Thupa (lit. 'the Great Thupa'), is a stupa (a hemispherical structure containing relics) in Anuradhapura, Sri Lanka. Two quarts or one Dona of the Buddha's relics are enshrined in the stupa, making it the largest collection of his relics anywhere.[1] It was built by Sinhalese King Dutugemunu in c. 140 B.C., who became king of Sri Lanka after a war in which the Chola King Elāra (Ellalan) was defeated. It is also known as Swarnamali Seya, Svaṇṇamāli Mahaceti (in Pali) and Rathnamali Seya. The Ruwanweli Maha Seya, also known as Maha Thupa (literally: ""the Great Thupa""), is a stupa (a hemispherical structure with relics) in Anuradhapura, Sri Lanka. Two quarts or a dona of Buddha relics are preserved in the stupa, making it the largest collection of his relics ever.[1] It was built around 140 BC. It was built by Sinhalese king Dutugemunu, who became king of Sri Lanka after a war in which Chola king Elāra (Ellalan) was defeated. He is also known as Swarnamali Seya, Svaṇṇamāli Mahaceti (in Pali) and Rathnamali Seya.","August 1, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Peparo,77 contributions,,4,Missing,"Sri Lanka is generally an insider tip. The visit of this stupa is an absolute MUST. For the locals, this is a very important, spiritual place. Since we were there for the full moon festival it had quite a lot of believers, a bit fuzzy but very interesting. Nearby stands the tree, which comes from a branch of that tree under which Siddhartha had his enlightenment and thus became the Buddha.","July 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Deepak,"Suva, Fiji",Magnificent Stupa!,5,Couples,Very peaceful place to visit. A magnificent stupa and you can walk around and admire it. There is also a garden with statues of several Buddhas as well to visit.,"July 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Sanketh,3 contributions,,5,Missing,"Ruwanweli Maha Seya is truly one of the most spiritual places in the world. Sitting quietly on the Ruwanweli Saa Maluwa brings a deep sense of calm and mindfulness like nowhere else. It’s very peaceful, very sacred, and one of the most important places for Buddhists. A visit here touches the soul.","June 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,,4,Couples,"Visiting Ruwanwelisaya was one of the most moving moments of my journey through Sri Lanka. This ancient stupa, built more than 2,000 years ago, stands tall and powerful — a symbol of timeless faith and devotion. The energy of the place is peaceful yet profound. As I stood before it, surrounded by prayer flags gently waving in the breeze, I felt a deep sense of stillness and spiritual connection. It’s not just a historical site; it’s a place that speaks to the soul. The grounds are beautifully maintained, and there’s a sacred atmosphere that invites you to pause and reflect. Whether you’re a history lover, a spiritual traveler, or just someone who appreciates beauty and calm, Ruwanwelisaya is a must-visit. Tip: Visit around sunset or early morning for the most magical light and quiet moments.","June 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Busker999,"Tonbridge, United Kingdom",,5,Couples,"Although I'm reviewing just the stupa, this is for most of anuradpura. The stupas are amazing as are all the grounds ariynd the area inc the pools. Good to cycle to each as some are far apart. Very worth it","May 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Melisa Travels,"Colombo, Sri Lanka",,5,Missing,"Ruwanwelisaya – A Majestic Symbol of Sri Lanka’s Buddhist Heritage Visiting Ruwanwelisaya, one of the most revered and breathtaking stupas in Sri Lanka, was a truly awe-inspiring experience. Located in the sacred city of Anuradhapura, this magnificent white dagoba stands as a testament to the island’s deep Buddhist heritage and architectural brilliance. Historical & Spiritual Significance Built by King Dutugemunu in the 2nd century BCE, Ruwanwelisaya is one of the most important Buddhist monuments in Sri Lanka. It enshrines sacred relics of Lord Buddha and is considered a place of great spiritual power. Pilgrims from across the country visit to pay homage, offering flowers and chanting prayers in deep devotion. Architecture & Ambiance The sheer size and grandeur of Ruwanwelisaya are breathtaking. The towering 103-meter-high stupa with its pristine white dome glows beautifully, especially during sunrise and sunset. The intricate carvings, the famous elephant wall surrounding the stupa, and the peaceful courtyard create a serene and sacred atmosphere. Best Time to Visit Sunrise or Sunset – The soft golden hues create a magical backdrop, making it a perfect time for reflection and photography. Poya Days (Full Moon Days) – Witness thousands of devotees in traditional white attire, engaging in religious rituals, making the experience even more profound. Tips for Visitors Dress respectfully, covering shoulders and knees, as it is a sacred site. Walk clockwise around the stupa as part of Buddhist tradition. Bring offerings such as flowers and incense if you wish to participate in rituals. Be mindful of the peaceful atmosphere – avoid loud conversations and respect the devotion of pilgrims. Overall Experience ⭐ 5/5 – Ruwanwelisaya is a must-visit landmark in Sri Lanka, not only for its religious significance but also for its architectural beauty and serene surroundings. Whether you seek spiritual fulfillment or a glimpse into Sri Lanka’s ancient history, this stupa is a truly remarkable destination.","April 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Nihar,"Nuwara Eliya, Sri Lanka",,4,Missing,"This is our historical site visit in Anuradhapura. the Ruwanweli Maha Seya, also known as the Maha Seya (Great Thupa). Ruwanweliseya is one the tallest Stupas in Anuradhapura, with more Stupas around the sacred area. It was a master piece built by King Dutugemunu. There are other names given to this Stupa, such as Swarnamali Seya, and Rathnamali Seya, as written in historical books. Ruwanweliseya is one the tallest Stupas in the world, standing at 103m, with a circumference of 290m. It is a sacred area, for Buddhists in Sri Lanka, as well as Buddhists around the world. A historical site for locals and foreign visitors. There are visitors throughput the day, weekends, or on special government holidays. On Poya days there are religious activities in the sacred area. Lighting of oil lamps, offering flowers, and offering gifts to the temple. etc. Usually people wear white clothes, and clothes which cover the whole body, shorts, sleeve less blouses, and any wear that exposes the body is not allowed. Before entering  the sacred area, we need to take off the footwear, there is a place where we could leave our footwear, and get a token. It is preferable to wear light color clothes, white is most appropriate. There is a stall to buy your incense sticks, flowers, oil and other needs, so that you wont get into wrong hands by paying more money for your items. It is not a must to buy these items, and no one is forced to do so. There is counter for donations, if you wish to give a donation, which goes to the building fund. There is no problem looking for parking, as there is ample parking space. There is a stall with refreshments. The best time to visit is early morning when the sun rises, or in the late evening when the sun starts to set, as the atmosphere is cooler than the day.  If you are a person of interest in religious places, Anuradhapura is a city explore. There are plenty of historical places and lots to learn. Anyone is welcome to visit Anuradhapura. During peak days or long holidays, the charges at the hotels are expensive, and most of the hotels are booked in advance. You need to think of that too. Off season days the prices go down, and the crowd is also normal than a rush. Plan your trip in advance so that you wont be disappointed. See  you soon. ""Flavorful Destinations"" By:- M N Nizam","February 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Dilina Gune,"Sri Jayawardenepura, Sri Lanka",,5,Missing,We love visiting Ruwaweliseya and try to do it once during every 6 months (or sooner if possible). Try to go in the mornings if possible to avoid massive crowds during school holidays,"January 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Dinna-D,"Auckland, New Zealand",,5,Friends,"As the oldest stupa in Sri Lanka, Ruwanwelisaya stands as a magnificent symbol of architectural greatness from ancient times. Also known as the Great Stupa, this incredible structure was constructed by the victorious King Dutugemunu in 140 BC. It was his grand vision to revive Buddhism in the country, and this stupa stands as a testament to his dedication and ambition. The compound of Ruwanwelisaya is adorned with a stunning parade of elephants carved around its base, adding to its majestic beauty. The design of this site was inspired by the teachings of the Buddha, with each element holding deep significance. The dome represents the vastness of Buddhist doctrine, the four facets symbolize the Four Noble Truths, the concentric rings signify the Noble Eightfold Middle Path, and the large crystal at the pinnacle represents the ultimate goal of enlightenment. Located near the Jaya Maha Bodhi Tree in Anuradhapura, Ruwanwelisaya is a sacred site that holds relics of the Buddha, attracting worshippers from all over the world. Standing at an impressive height of 388 feet with a base diameter of 90 meters and a circumference of 950 feet, this stupa is recognized as one of the tallest monuments globally. Ruwanwelisaya is one of the eight revered places in Anuradhapura believed to have been visited by Buddha during his three trips to Sri Lanka. As a place of worship, visitors are required to remove their shoes before entering the area, adding to the sacred atmosphere. While Ruwanwelisaya is often included in the sights of the 'Sacred City' Archaeological Park, entry to this magnificent site is free as it lies outside the paid area. Visitors can also explore nearby attractions such as the ruins of Lovamahapaya Brazen Palace and Sri Maha Bodhi, the primary Buddhist site in the region.","November 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Jalaja Mani,"Bengaluru, India",,3,Missing,This is one of the most sacred shrines for SriLankan buddhists. It is one of 8 Atamasthanas. This shrine has 8 stupas of which one is of large size. Adjoining this shrine is the sacred Bodhi Tree.The details of the shrines are displayed only in Sinhala language. It would be desirable to display the details in English for foregin visitors,"November 28, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,shanaka,"Colombo, Sri Lanka",,5,Missing,This is the icon place that make your hart pece so relax even my eyes cannot belive this effect .but im lucky to part of this buddism where shows peaceful love this place histry of kings made this unbeliveble ..respect,"September 14, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Alissa1727,"Bergamo, Italy",,4,Missing,"If you want to fully experience the place and feel the spirit of devotion we recommend going on a Sunday, as local people come here to attend services. Obviously there is more confusion, but it is worth it. To enter you must remove your shoes and have your shoulders and legs covered.","August 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Silvia C,"Turin, Italy",,4,Friends,Stupa really wonderful and very large. It is a religious site to visit to understand the spirituality of Sri Lanka. Don't miss it,"August 28, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600739-Reviews-Ruwanwelisaya-Anuradhapura_North_Central_Province.html,Ruwanwelisaya,4.5,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/e6/2e/96/ruwanweliseya-anuradhapura.jpg?w=700&h=400&s=1,Exigentus,Spain,,4,Missing,"Endless ruins in a very wide area. There are stupas of various sizes, finishes, colors... impressing the remarkable fervor of the faithful. Impressive sizes and variety of constructions, including swimming pools, refectories, etc.","August 27, 2024",0.0,0.0
