Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Kai Wah,Malaysia,Intricate Rock Carvings,5,Couples,Buddhist religious site with influence of Hinduism culture. The significant sights at this site are the impressive rock carvings which include the famous moonstone of semicircular shape carvings at the foot of first flight of step at the staircase and the guarding gods carvings at the entrance. It is included in the entrance fee of USD25 for the Polonnaruwa Ancient site. Well worth the value as part of the UNESCO World Heritage.,"March 12, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,dianedinky,"Dunfermline, United Kingdom",Amazing Moonstones,5,Missing,I hadn't heard about this place before I went but so glad it was part of the escorted tour.  Fascinating place to visit.,"February 13, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Terry M,"Hamilton, Canada",ARTISTRY UNDER FOOT,5,Missing,"Sinhalese architecture was known for its moonstones, semi-circular stone slabs often found at the bottom of staircases and entrances. Those at Polonnawura were a bit different. One band of animals became three [lion, elephant and horse]. They were not only placed at the entrances of Buddhist temples. That at the northern entrance of the Vatadage is the best surviving specimen at this site.","February 7, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Enlightening,5,Missing,"The architectural constructs, and the debriefs, are enlightening - you get to understand the deeper meaning of rituals","January 13, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Passion Travel Sri Lanka,"Colombo, Sri Lanka",Sign of Indian Influence,5,Missing,"Moon stone is one of the greatest creations of ancient Sri Lanka. The images indicate the very truth of life. From birth till death , the difference stages of life has been depicted. The most obvious difference you can identify between the Moonstone of ANuradhapura Era & Polonnaruwa is the image of cow. In Anuradhapura Era , the moonstone has the image of cow. However with the Hindu influence during the time of Polonnaruwa, it was thought to be a disrespect to have the image of the cow on a place where people will shrug their legs. Cow was considered a holistic animal in India & that influenced the Art & craft of Polonnaruwa.","December 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Dan L,"Bunbury, Australia",Moonstones of Sri Lanka,5,Missing,"It's easy to ignore history at ground level  when confronted with a variety of structures, temples, stupas, etc. These moonstones are a unique feature of the Sinhalese architecture of ancient Sri Lanka. They are elaborately carved semi-circular stone slabs that are placed at the bottom of staircases and entrances. The challenge is now preservation and protection from the tourist hordes that walk on them.","November 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Umesha,"Colombo, Sri Lanka",nice stone creation,5,Missing,"while we are doing Polonnaruwa ancient city tour,we saw this stone creation,worth to know about history,there was one reduction when considering with Anuradhapura kingdom moonstone,because hinduism affected during the Polonnaruwa kingdom,so the pic of  bull has been removed in this moonstone,very old creation,but still can see the animals created in the stone,really very nice history,very interesting","April 18, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,JnVSydney,"Greater Sydney, Australia",Moon stone slab,5,Couples,"This intricately carved stone can be found sitting at the entrance of the temples within Polonnaruwa, complex. the carvings symbolise the cycle of Saṃsāra (the never ending cycle of repeated birth) in Buddhism.","April 16, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,mouseHerts,"1,448 contributions",Clear carvings,5,Couples,The stone is well preserved with relatively clear carvings considering its age and treatment it received over the past few centuries.,"March 28, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,Eva J,"Moscow, Russia",moonstone,5,Solo,At the bottom of steps to religious areas you'll find a moonstone. Some of them have been smoothed by time and the passing of many feet. Some of them are still very intricately carved. Beautiful,"January 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,worldnomad_01,"Los Angeles, California",,3,Missing,"Sandakada Pahana roughly translates as ""moonstone"" and it actually is a half-circle shaped stone, covered with eight bands of delicate animal (elephant, bull, lion and horse) and floral carvings. You can find great examples of it in both Annuradhapura and Polonnaruwa. It seems to be a very popular architectural motif and you will find it in front of many old and new buildings, all over the island.","December 14, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,ShvRm_Traveller,"Goa, India",,4,Missing,"Sandakada Pahana are the Moon stones, which are invariably found on the floor, at the entrance of important Buddhist structure from the ancient kingdom's time. The Moon stones are beautifully carved depicting various designs, which has a uniqueness to it. Looking at Moon stones, experts can interpret, to which kingdom and era they as well as the structure, belongs to.","November 21, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600915-Reviews-Sandakada_Pahana-Polonnaruwa_North_Central_Province.html,Sandakada Pahana Polonnaruwa,4.4,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/80/e3/19/sandakada-pahana.jpg?w=700&h=400&s=1,AwaWilliams,"Ottawa, Canada",,5,Missing,"These hand carved, Moonstones feature at the base of steps on many of various attractions all around Polonnaruwa .so make sure to keep you head down and keep an eye for them. the one in Polonnaruwa is the most famous and the most frequented.. It would be better if you have a travel guide so you could learn this in details .","September 9, 2018",0.0,0.0
