Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,galadiel67,"Chiavari, Italy",a fairly original stepped pyramid,3,Missing,"The Satmahal Prasada, the ""seven-story tower"" (but the top floor is only guessable) is a 12th century step pyramid. It is made of brick with square plan a side staircase.","November 24, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,Terry M,"Hamilton, Canada",STRIKINGLY DIFFERENT,5,Missing,"The least understood structure at Polonnuwara, it is pyramid in shape, each level a square. Every side of every square had a deity in a niche. Resembling a ziggurat, it is unique in Sri Lanka. It may have been a less refined, early version of a stupa.","February 6, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Unique,5,Missing,The structure give you a glimpse into the influences from other countries in the region on Sri Lanka...,"January 13, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,JnVSydney,"Greater Sydney, Australia",Pyramid-esque structure,5,Couples,"In its time it would have been a very impressive structure with its 7 layers, (with figurines on the walls) now just 6 layers are showing (being ravaged by time), some figurines still visible. Not bad considering it is hundreds of years old.","April 16, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,DW@Ballarat,"Ballarat, Australia",Pyramid shaped temple,4,Friends,This seven storied stepped temple is located in a corner of the Polonnaruwa ruins. It has entrances on all four sides and some liken it to a stupa where sacred relics related to a Buddha are housed. It does resemble temple structures found in Cambodia.,"April 9, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,301lisa33,"Coventry, United Kingdom",A curiosity,4,Friends,"This unusual temple is located in the main Quadrangle.  It is a curiosity, feeling out of style with the adjacent temples","April 8, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,K.A.S. Menaka Meththananda,"Hingurakgoda, Sri Lanka",Sathmahal Prasada,5,Missing,This is a 32 feet high stupa of unusual stepped pyramidal form. This structure built in the 12th century is said to resemble the type of stupa found in countries like Cambodia.,"March 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,Perry H,"San Diego, California",Vacation,5,Friends,A very different style Stupa in the Polonnaruwn complex of Temples and buildings. This site is a must see for this and other amazing buildings on this site.,"February 24, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,708Robin,"West Sussex, United Kingdom",One of the stops around Polonnaruwa,3,Couples,This pyramid shaped ruin might have been an ancient form of stupa. You will see this on your way round the ruins.,"February 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600970-Reviews-Sathmahal_Prasada-Polonnaruwa_North_Central_Province.html,Sathmahal Prasada,4.2,105,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/88/fc/7a/sathmahal-prasada.jpg?w=700&h=400&s=1,Eva J,"Moscow, Russia",still standing,5,Solo,"For me this was one of the best ruins I saw, because most of it is still standing. The entries are closed.","January 17, 2019",0.0,0.0
