Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,www.srilankatuktuk.com,"Wadduwa, Sri Lanka",Cool and relax place to spend without any noice or disturbances for your real vacation,5,Missing,Beautiful nature scenes could find Adventures riding with tuktuk or jeeps Separate culture and different climate among others,"October 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,SalimM,"London, United Kingdom",Not worth the effort,3,Couples,"Our tour guide suggested we go to this place. He kept on praising how good the place was. The drive from Kandy was long and the dirt road not comfortable. The last couple of miles we had to get on tuk tuks for which we had to pay. All I can say the ride was adventurous and the drivers kept stopping and picking plants and grass and telling us what they were - black pepper, lemon grass and lots of herbs and spices. Entrance as always was higher for foreigners. There was clean toilet which was welcome. The tuk tuk driver dropped us at the lake.  We walked round which took about 30  minutes but we did  not go all round.  Lots of opportunity to take nice photos with tea plants all along the path. I believe there is tea plantation here as you can see the plantations all round. There was a group of school kids on a day trip. There was an option of a zip line though did not see anyone using it. Boats could be hired on the lake. Overall,  not sure it was worth the detour.","October 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,SammyK,"Ballarat, Australia",Not worth the trip,1,Missing,"We went there 11/12/25 and didn’t impressed at all. Initially road condition to get there was terrible?, if you travelling with a smaller car you won’t get there. Once we get to the tea factory had to leave our car and walk another 700m to get to the top. Otherwise need to hire a tuk tuk which would cost more. Ticket price was too high compared to other places in Sri Lanka yet no proper facilities were established and this place just a tea plantation with a lake in the top of hill, IMO. Once you get to the lake you have to pay more for subsequent activities like Kayak rides or boat rides, not sure why buying a ticket at the counter. You could visit many other places in Sri Lanka which easily accessible with and better facilities and more unique natural beauty.","October 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Bawanthi P,2 contributions,Wow,5,Couples,"Such a serene view. We enjoyed the tour so much. Special thanks to Mr Yoga, the three wheel driver who guided us to sembuwatta. Simply wow","August 14, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,FAA N,"Colombo, Sri Lanka","Wonderful place for  nature's lovers,",5,Missing,"It is very important to renovate the Road, very difficult to reach the location. Tuk tuk is available even though they finds difficult to drive. If expecting more visitors, Road should renovated.","April 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Connector720200,1 contribution,Beautiful,5,Solo,"Absolutely beautiful! The setting is very beautiful, it is quiet. There is a small restaurant, a ""natural"" swimming pool Be careful though, the road is chaotic for the last 4 kilometers. Take half an hour to make this 4 km. You have to be careful for those who ride in tuktuk! Price of 1500 rupees for tourists","April 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Maps55642685044,1 contribution,Access Road and the Tuk Drivers,3,Missing,"Sembuwatta Lake is so beautiful and it was more than we expected. This is not about the destination but about the ride from the main road to the lake. There are tuk drivers on the main road and they stopped us and convinced us and our driver saying that the road is so damaged that our vehicle (KDH high roof) can not go. They forced us to hire their tuks to go the lake which they asked 2,500 LKR per one for a distance of 5km. This is so unfair. Our drivers also was frightened after listening to them and we had to accept that tuk drivers and go with them. Also there were some good conditioned vehicles who had parked the vehicles on the main road and took tuks to go up. But I recommend future travellers to not to hire the tuks there because the road was reasonably okay to travel by your bike, car, van at least 4km. If you cant go beyond that you can easily park your vehicle and walk rather than giving 2,500 LKR for those robbers. We met many vehicles while we are travelling by the tuk including toyota vitz, Noah van, nissan FB 15, nissan caravan. Please share this news with the future travellers. Thanks","January 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Traveltales,"Rajagiriya, Sri Lanka",Picnic by the lake,5,Couples,"Sembuwatte is a man made lake situated in the middle of a tea plantation in the up country. The location reminds you fo European mountain towns and on clear sunny days offers a breathtaking views. Google maps directions are accurate. We took the Wattegama - Elkaduwa road which is  narrow and slightly bumpy buy manageable. The turn off from this road to Sembuwatte Lake is not in good condition. We did see vans at the location but if you do care for your vehicle, we would recommend taking a tuk ;) It cost us LKR 2500 for the return journey. You can park your vehicle on the side of the road near the tuk park. We didn't encounter any harassment from tuk fellows (as mentioned in some reviews) but then again we said yes to first tuk fellow who asked 🤣 There is a ticket counter halfway through the route. Locals have to pay a nominal amount. There was a nice looking restaurant at the site, but they were selling only a few items like roti and plain tea. There were washrooms, but not sure what the conditon was as we didn't use them. The place also had a couple of summer huts where people could have a picnic. The day we went there was a heavy mist and we could barely see the lake..... but still loved the experience. You cannot bath or swim in the lake, but you can take a paddle boat. We also read in reviews that there are other activities like archery and zip lining. Either those items were suspended due to the mist or we simply couldn't see them due to poor visibility. There were couple of leeches, again it may have be due the wet weather on the day we visited. Considering the very bumpy ride upto the lake and the semi bumpy ride from Wattegama, the place is best enjoyed if you spend some considerable time there.....","July 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Ivana G,18 contributions,An incredible place despite the poor road conditions,5,Missing,"Sembuwatta Lake is a mesmerizing destination with stunning views. To reach the lake, you'll need to arrange a tuk tuk, but be aware that the road is in poor condition and requires urgent repairs. Despite this, the lake is breathtaking, surrounded by tea gardens all the way to the top. The tuk tuk ride costs $30. The lake itself is beautiful, nestled amidst trees and tea farms, yet it would benefit from more attention and road maintenance.","July 10, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Susanna G,Iraq,Sembuwatta Lake Adventure,4,Missing,"Sembuwatta Lake in Kandy is a magical destination with breathtaking views and exciting activities like ziplining, paddle boats, and rowboats for two. The only way to get there is by tuk-tuk, and the roads leading to the lake are in need of repair. The tuk-tuk ride costs $30, and the entrance fee is $5.","June 25, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,charmi_13,"Brisbane, Australia",,4,Missing,Visited this beautiful place in May 2024. Unfortunately the day we visited was rainy. Still enjoyed the view. Yhe road to get there needs upgrade. The toilets were in poor condition too.,"May 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Sanduni U,3 contributions,,1,Missing,WHAT A SCAM no signs no info about prices! We arrived at the road to the lake and where stopped by the tuk tuk drivers CLAIMING FALSE things such as the road being to damaged even for a 4 wheel drive Ute!! WE KNEW the scamming had began from the start!! The road to the lake was partly paved and a little bumpy only! When we arrived to the top near the lake WE WHERE STOPPED AGAIN!! This time asking for ungodly amounts of money for a ticket!! 1500 LKR for foreigners and even worse you had to pay extra for photos and videos!! NO WONDER SRI LANKA IS A POOR STRUGGLING ECONOMY!! DO NOT WASTE YOUR TIME ON THIS LAKE!! HORRIBLE PEOPLE AND PRICES ALL WANT TO SCAM YOU!! DONT PAY FOR NATURALLY OCCURRING THINGS!!,"January 30, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Mustafa Al Odaili,"Manama, Bahrain",,2,Missing,"Arab brothers, beware of scammers in this place This place, as some Ceylonese swindlers claim, is the paradise of the world and that the Prophet Muhammad, peace and blessings be upon him, came to this land. This is empty talk. It was just a person who spread this rumor and declared the paradise of the world and it was circulated by the Ceylonese. The place is beautiful but ultimately artificial When you go to the place, they will tell you that the delivery price is 7,000 rupees per person (approximately 90 Saudi riyals), knowing that a tuk ride for a third of an hour does not cost 2,000 rupees. The way up is very rugged and takes approximately 45 minutes and the same time to get down. In addition to the 1500 rupees you will pay to enter This means that you will pay 8,500 rupees (100 riyals) and you have not entered yet, and this is a large amount on an artificial lake, and they all agree with each other to take advantage of tourists, especially the Gulf ones (note, they charge you a commission when you come from the driver). Secondly, riding in the sea is written 1000 rupees on the sign from the government, and they tell you that it is 5000 rupees, and more than once we have exposed their exploitation, lies and fraud, and if you expose them they mock you in front of the locals, and if you ask the locals they silence them in any way. Therefore, please be careful before going because they are exploitative and consider the Gulf a treasure that came to them There is also a waterfall in the same place and a very cool swimming place The place is nice but it is not worth the amount you pay","August 6, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Realm Tours,"Kandy, Sri Lanka",,5,Missing,"Artificial lake with nice scenery and adventure activities. It has a nice foot path around the lake for easy walking. Access road is very narrow and on busy days there definitely will be some non moving traffic jams. also the road is potholed badly, a large sedan wont be able to go without a scratch in the bottom. Best way is to take a tuk. But make sure to negotiate a price before setting a foot in a tuk.","February 14, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1865780-d6417888-Reviews-Sembuwaththa_Lake-Matale_Central_Province.html,Sembuwaththa Lake,4.2,141,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/de/82/a-place-to-get-some-rest.jpg?w=700&h=-1&s=1,Rajika H,1 contribution,,5,Couples,very beautifull and a nice place good for family outs and day trips very recomonded and a must visit place,"March 14, 2022",0.0,0.0
