Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Shiv Vinay P,1 contribution,Place beyond 3rd dimension,5,Missing,"This is not a place for those merely seeking sightseeing, to come, take pictures, and leave. Belief in God is not required; what matters is the openness of your heart. If you are truly receptive, you can feel the profound, sacred energy that fills this place. Sitting in meditation here is like being lifted into the sky, where the soul feels limitless and free....","October 5, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Deepak,"Suva, Fiji",Mesmerizing experience!,5,Couples,One of the highlights on thr Ramayan trails. Getting blessed at this temple is a feeling on another level... total spiritual bliss especially of you follow Hinduism and the Ramayan.,"July 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Sharan0206,"Chennai (Madras), India",For the lovers of mythology and Ramayana!,5,Missing,"This was probably the top most item in our bucket list when we visited Lanka as I was really fascinated looking at the place and the idols of Rama, Sita and Lakshmana in the advertisement of Srilankan Airlines. The temple has swayambu (natural and not man made) moorthis of Ram, Lakshman and Sita- the main sannadhi as described by the priest. The other idols are gifted by India if I remember it right. The best part was visiting the Ashok Vatika next to the temple. The huge pits there are believed to be the foot marks of Hanuman. The entire atmosphere is a proof of the fact that nature is so beautiful. We also saw a lot of monkeys there which made us sail into the Ramayana world for few minutes. Pls do not miss this place if you visit Nuwara Eliya.","June 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,PRAKASH,"Salem, India","Seetha Amman Temple, also known as Ashok Vatika Sita Temple,Srilanka",5,Friends,"Seetha Amman Temple, or Seetha Eliya Seethai Amman Thirukkovil, also known as Ashok Vatika Sita Temple, is an ancient Vaishnavite Hindu temple located in the Nuwara Eliya District of Central Sri Lanka. The temple's folklore is deeply connected to the Hindu epic, the Ramayana. According to the epic, after Sita was abducted by King Ravana of Lanka, she was brought to this location. Ravana sought vengeance against Rama and Lakshmana to avenge the disrespect shown to his sister, Shurpanakha","May 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Adventure00172995956,17 contributions,Ramayana connect,4,Couples,A must visit place if you like heritage and history . Its a place with emotional connect . Should reach there before 6 pm. Temple closest by 6.,"March 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,neel sunder d,3 contributions,Ashok Vatika Nuwara Ellie,5,Solo,It's great place. Very well managed. Truly transparent feelings. Ma Sita temple is also near by.  I will visit again with my parents.,"March 2, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Rachit Garg,"Bengaluru, India",Must-visit for anyone who believes in the Ramayana and Hindu mythology.,4,Missing,"This temple was one of the main reasons for my visit to Nuwara Eliya, as it holds a special place in Hindu mythology. The temple was not very far from the main part of Nuwara Eliya; approximately a 15-20 minute drive. Conveniently, it is situated on the way to Ella, which is perfect if you are traveling in that direction. The temple itself was small, but it was still a great experience to witness a part of mythology. There was a small entry fee to the temple; I believe it was 200 for 2 people. As is customary, visitors are required to leave their footwear outside. The temple has a designated area for this. Inside, there was a lunch service taking place, and visitors can donate to support this service. Various idols of Ram, Hanuman, and Seetha were present inside. The main attraction was the Hanuman Ji footprint, which is located in an area outside the temple. There is a river stream beside it, and it was a pleasant experience to be in that location.","February 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Marin,18 contributions,Cosy and peaceful religious temple for SIta,5,Missing,"The Sita temple in Batu Caves is a small cozy temple dedicated to Sita, where you can also see Hanuman's footsteps. The peaceful atmosphere of the temple and beautiful architecture make it a lovely place to visit and reflect.","February 11, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,Shyam Mishra,"Kolkata (Calcutta), India",Wonderful,5,Missing,This is the place is where Sita was kept by Ravana ie Ashoka Vatika. Now there is temple well maintained and very beautiful.,"January 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g608524-d2255791-Reviews-Sita_Temple-Nuwara_Eliya_Central_Province.html,"Sita TempleUnclaimedIf you own this business, claim it for free now to update business info, respond to reviews, and more.Claim this listing",4.1,500,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d4/d5/1e/seetha-matha-temple.jpg?w=700&h=400&s=1,ATUL S,"Lucknow District, India",Excellent place to visit.,5,Missing,Religiously important site. Peaceful and divine. One feels positive vibes of the place. Beautiful river adjacent to the temple makes it charming.,"December 29, 2024",0.0,0.0
