Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany","Scenic highlight, zero tourists, insider tip from Tissa",5,Solo,"My highlight in Tissa, but you need a jeep there, as elephant encounters occur on the gravel road. Go down into the valley behind the white stupa and then up the small path to the second on the rock opposite...a real Indiana Joes feeling. You climb up through rock gates, narrow paths and up from the stupa a sensational view into the bizarre landscape, speckled with large grant rocks. There is no human here, the few locals only go up to the 1. Stupa.","October 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Thomas Family,22 contributions,Beautiful views,5,Family,"We visited the rock temple late afternoon/evening with a guide. It is a fantastic place, particularly if it is not busy, we pretty much had the place to ourselves apart from the dogs. monkeys and elephant that wandered in. Beautiful views and fascinating history.","August 6, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,yns_10,"Sydney, Australia",Great experience,5,Missing,"We had a ranger from the Hilton escort us to these wonderful temple.  As the drive is along the edge of Yala National Park, we saw almost as much game (elephant, spotted deer, water buffalo, warthog, deer, jungle fowl, peacock and aligator) has we had on a four hour safari in Yala block 1!  The temple was deserted when we arrived, so were able to spend time with the ranger discussing the history and significance of the site.  One climbs to both temple in sock, so be prepared for this.  The main temple only requires doing stairs, so if you have reasonable mobility it should be doable.  The higher temple involves stairs and also climbing the rock face with a handrail but only thin ""steps"" cut into the rock.  We were fascinated to hear that elephant walk up and down the stairs: on the last night hike our guide took guests, they came across an elephant making its way down the stairs and they were delayed by over 1 1/2 hours!  The dirt/brown stains on the top of some of the rock overhangs is from elephants making their way under the rock.  A great visit that I recommend.","September 5, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Katy M,"London, United Kingdom",Temple visit,5,Missing,"Loved visiting this, wild baby boar came running up in the car park, no other tourists as quite hard to access   (probably need a jeep or tuk run that you don't mind being slightly bounced around in), bit of a climb so not suited for those who aren't steady on their feet.","July 31, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Winrose Y,13 contributions,you must visit this wonderful rock temple.,5,Solo,"beautiful temple inside of the jungle at tissamaharama. you must go with a good guide, because there have lot of wild elephants on the way. this temple has steps to go up in the mountain. the view of the temple is very beautiful. you get a feel its like you staying in a big rock middle of the jungle. i think you must travel for this ancient temple if you staying at tissamaharama.","July 27, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Ishara p,"Kandy, Sri Lanka",good place,5,Missing,"we have been there after 20 years. still same greenery and really clean temple . i believe who ever visiting kataragama, yala national  park and  kirinda,   those people must visit this place as well","September 30, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Jayantha W,"Colombo, Sri Lanka",Nice quiet temple in the National Park.,4,Missing,"On the way you will see Peacocks, Deers  wild pigs.  Temple parking lot has some pigs waiting for food and Elephants!  We found the worst toilets in this temple ground.  20 Rupees, no tap water at the moment, but very dirty.  Need a good washroom complex.  Rocky Temple area can be hot during day time.  Free entrance for tourists!","January 5, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Sanjeewa P,"Weligama, Sri Lanka",Mental health,5,Missing,"You have to climb a very steep stairway which is cut through a rock. When you go up you will be able to see a Dagoba which is said to have been built by King Kawantissa. In addition to this, there are more other small stupas. There is a specific cave temple that consists of beautiful ancient paintings that are believed to belong to the 3rd century BC. The drawings are done on a thin layer of plaster and have used red and yellow colors. It is stated that the rock temple which is a very sophisticated cave consisted of 12000 monks who attained the highest level in mind according to Buddhism.","December 9, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Vachintha Piyadasa,"Colombo, Sri Lanka",Calm and Picturesque,5,Missing,"This ancient Buddhist monastery is said to have been built in the 2nd century BC by King Kavanthissa. Throughout its history of over 2000 years, it has been a key place of worship for Buddhists in the country as well as a point of attraction for tourists. Its recommended to use a SUV drive towards the base of the hill as the road is uneven. The climb is not too hard as there is support built throughout. However due to the weather conditions in the area its recommended to climb during early morning hours or evenings.","March 15, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,edit71,185 contributions,A great & unique Experience,5,Friends,"My guide and driver took me on part Safari then up to the wonderful Rock Temple. Although it’s basically a dirt track used by the odd bus and local it’s less busy then the main payable Safari park. It’s basically one road that is in a different zone of the park and there is forest for quite a bit of the trip to the temple. Managed to see a leopard and many birds, monkeys, wild pigs and even a crocodile on a large lake. It would be worth visiting the Temple even if there wasn’t the bonus of the journey to it. The views are wonderful from the Temple of the forest and even Ella in the distance and it’s very well looked after. A beautiful place in the middle of the trees. Go.","March 2, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,MDV,2 contributions,,5,Friends,"We couldn't afford a tour. But we read everything and took a tuktuk for 1600Rs and went from Katharagama to sithulpawwa through a cool old road among the jungle with much flora and fauna. If you need a ride call this driver 0776387229 He is an honest one, didn't raise the amount seeing foreigners. No other public transportation. Sithulpawwa is a beautiful place and it is calm and neat thanks to the chief Monk. He is an animal lover. So no NON-VEG is allowed. And if you harm his wild animals you'll have to pay severe consequences. Even fish must be left in peace. I think animal feel this so even they are at peace.","February 21, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Marie B,"Chiang Mai, Thailand",,5,Friends,"The journey skirts through an untouristed area of Yala on the way to this rock temple.  Views from here are magnificent and the climb through rocky forest is exhilarating.  If you are lucky you may also spot wild animals along the road: elephants, bears, deer; perhaps even a leopard.  Best attempted in the cool of early morning or late afternoon.","February 3, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Companion530104,76 contributions,,4,Missing,This holy place is easily accessible though the dirt road is a very long and bumpy 14 kilometers. The natural cave is centuries old and now houses an 80-foot reclining buddha statue. The peak temple provides landscape vistas of vast Yala Forest Preserve.,"December 25, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Santa B,"Riga, Latvia",,5,Couples,"We arranged a safari car from our hotel. The cost was 69 USD. With a TukTuk or snother vehicle if would have been difficult to get there since were driving after heavy rain. On our way we saw lizards, spot deers, different birds including lots of peackocks. When arrived st the temple there were wild boars and an elephant, who were approching the visitors for food. So, we had a mini safari and a visit to the Temple. It has amazing views to explore from the top of the rocks. The climb is difficult, especially, if you go in midday like we did. It's better to choose early morning or a cloudy day.","December 21, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g1102395-d3895239-Reviews-Sithulpawwa_Rock_Temple-Tissamaharama_Southern_Province.html,Sithulpawwa Rock Temple,4.5,95,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/99/bd/6b/view-from-top.jpg?w=700&h=400&s=1,Ladja,66 contributions,,5,Missing,"A sanctuary complex located between two hills in the middle of the wild, overlooked by tourists. In the middle is a small lake full of crocodiles. There is a chance to meet wild elephants during the journey. Incredible experiance.","July 3, 2019",0.0,0.0
