Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,TAMAN1951,"Liberty Lake, Washington",Nice,3,Couples,Building was nice and well maintained but appears more commercial than religious. Still very active so be respectful if services are in progress when visiting.,"December 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,PBPG,"Yorkshire, United Kingdom","Good building, great service underway",4,Couples,"St Lucia’s Cathedral is a large building, still in use.  A service was underway when we got there.  It was a blessing of the school children, looked really good.  There is also a shrine to Mary in the car park.","April 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,Glenda,"Mumbai, India",a very beautiful architecture cathedral.,5,Couples,the road going up to the cathedral is a one way and we had reached probably during the school end time so it got a little crowded. but the cathedral exudes beauty and peace once you are inside it. a lovely place to visit.,"November 1, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,LolaGo1,"Washington DC, District of Columbia","Beautiful Cathedral, Friendly Staff",5,Solo,"From the outside, this cathedral looks more like an office building than a cathedral.  Went inside, said my prayers and took some pictures. Outside there were young boys playing some games. The Security Guard pointed to us the statue of Mary at the front area of this Cathedral. The pink building is the school and residence of the nuns according to this Security Guard.","March 9, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,ashishdeora123,"Jodhpur, India",ok,3,Missing,"Out of the fifteen cathedrals that make up one of the main parishes of Sri Lanka, St. Lucia’s Cathedral is named after Saint Lucy. Located in the north-eastern part of Colombo","October 14, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,rjpriyanka,316 contributions,Church,3,Friends,One of the oldest church in the town but still beautifully maintained. Millitary band performace here is very good.,"April 29, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,Umang A,"Mumbai, India",Church,3,Friends,This is one of the oldest church and Sri Lanka and beautifully maintained. Recently renovated as well.,"April 29, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,Ralph T,"Fort Pierce, Florida",Nice Cathedral,5,Solo,"This is definitely not - seen one cathedral seen them all. The place is bustling with worshipers, lighting candles, hanging flowers. The entire area is unique and walking distance is a huge Hindu Kovil.","January 20, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,Umang A,"Mumbai, India",Church,2,Couples,One of the oldest Catholic Church in Sri Lanka. Great to experience military band performance here..,"August 27, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g293962-d4091814-Reviews-St_Lucia_s_Cathedral-Colombo_Western_Province.html,St Lucia's Cathedral colombo,4.3,60,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/cb/51/d9/st-lucia-s-cathedral.jpg?w=700&h=400&s=1,Linda A,"Scunthorpe, United Kingdom",Catholic Cathedral,4,Couples,We visited St Lucia's cathedral on a recent cruise call to Colombo. It was very similar to other Catholic churches throughout the world.,"June 24, 2018",0.0,0.0
