Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Suranjani W,2 contributions,Majestic Church Radiating Peace,5,Missing,"Visiting this stunning church was a truly uplifting experience. The architectural beauty with its unique structure plays with light in the most enchanting way. Every detail seems to whisper the stories of devotion and artistry that have stood the test of time. The atmosphere inside is serene, offering a sanctuary of peace and reflection. Whether you're drawn to its spiritual significance or simply marvel at its design, the church radiates a quiet elegance that leaves a lasting impression. Don't miss exploring the grounds or any unique features. This magnificent church is more than just a place of worship—it's a treasure for the soul and a feast for the eyes.","April 14, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Kanishka Herath,"Kurunegala, Sri Lanka",Historical Catholic Church,5,Missing,St. Anne's Church is a blend of local and European culture and a place which is worth to visit. The church is located not too far from Indian ocean from one end and the Puttalam lagoon from the other end. Catholics believe the church has magical ability to make their wishes in to true.,"March 14, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",Popular,5,Friends,This is a popular church in Srilanka. The church services are crowded. The church complex is big and beautiful. Srilankans from all over the island come here on pilgrimage.,"January 7, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Darrshan M,16 contributions,"St Annes church , Thalawila",4,Friends,A must visit place of worshiop near Kalpitiya. It is situated few kilometers off from Colombo - Puttlam road. You can visit the place anytime.,"December 22, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,TTP,"Calgary, Canada",Palce for worship,5,Missing,This is one of the popular churches in Sri Lanka. This i believed to be miraculous . Worshippers from all parts of the country visit this church . The holy mass on Sunday is at 11 a.m the morning mass not sure of the time. This church ia surrounded by many trees. Yet is very hot. Thereare places for pilgrims to stay over night. There are no much places to buy food during normal days (except feast) so suggest traveller to be prepared,"October 8, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,kaykay98,"Colombo, Sri Lanka",Peace & Prayers,4,Missing,Simple church by the sea attracts many pilgrims who flock there for miracles/divine favors. Wish they had better facilities for pilgrims who travel a long distance to get there. (eg; washrooms with attendants to make sure they are always clean. Recommend they charge a fee).,"July 28, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,adventuresUs,34 contributions,Thalawila St Anne’s church,4,Friends,I have been to this Church sometime back during the feast season. A very holy place and was very crowded at that time with lots of devotees. Very close to the beach and on the way to Kalpitiya  town.  This town is very famous for seasonal whale watching and dolphin watching.,"February 24, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,K N A,24 contributions,Oldest Chatholic Church in Sri Lanka - a must go place,5,Missing,"This Catholic shrine open to none Catholics as well is situated on the beach approximately 5km off main Kalpitiya Puttalam Road. Nicely maintained with lot of trees and open spaces and gardens. Can be very crowded on holidays, poya and and weekends as it is attracting over 1000 visitors per day.","November 27, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",Church,4,Friends,This is a very popular church not only here but whole of Srilanka. Christians come here from all over Srilanka on pilgrimage .This is pretty church inside and outside. This church is well maintained.,"November 5, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Anton O Fernando,"Nuwara Eliya, Sri Lanka",Miracle church with lots of blessings,5,Missing,We went a pilgrimage to the church with our family it’s a wonderful place with many prayers and a part time blessing with a bath in the sea. Also went to forest church st. Anthony’s. Lovely church rooms and houses with all the facilities for a pilgrimage.,"September 13, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,NishD,"Kandy, Sri Lanka",,5,Missing,This is a religious place and please behave well here .use relevant dress codes and respect the place religious things .Be quite also.One of the best places to be,"July 2, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Amila F,26 contributions,,5,Missing,This is a church that is dedicated to Mother of Mother Mary. During last week of the year this place is calm and quite. With few people visiting the place. Take the Talawila Road to reach this place even though it is little bit far away from the other road Jubile Mawatha which is very difficult to travel. Holy mass is at morning 0730hrs and 1130hrs on weekends and holidays. There are very little hotels around this place so if you are comming to visit it is advisable to bring your own food.,"December 28, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,dilunzone,"Colombo, Sri Lanka",,5,Missing,"One of the most blessed churches in sri lanka and the only church i have faith in! I am not much of a religious person at any point in my life, but this is one of the very few religious places I honestly feels something different and peaceful. This is actually my 4th time at St. Anne's. I was first introduced to this church when i was just 14yrs old by my father. Ever since then, i always felt some unspoken connection with this place. This church believed to have it's own set of miracles and not just catholics but all christian community and non-christians do believe in this blessed church and it's miracles. This is definitely one of the religious grounds a person MUST visit, when they come to sri lanka. In my personal opinion, next to church of Mother of Madu & colombo kochchikade church, this is the next most blessed church in sri lanka.","October 27, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,nir0sh,"Colombo, Sri Lanka",,4,Friends,This is one of the oldest churches in Sri Lanka and attracted by catholic as well as non catholic devotees. Annual festival held on August. We visited there during the night following enjoying the sun set at Thalawila beach. History goes back to 17th century. Sun set was superb from the beach adjacent to the church. Annual festival season comes on August and if you are not comfortable with crowd please avoid that time.,"August 26, 2017",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467850-d3996659-Reviews-St_Anne_s_National_Shrine-Puttalam_North_Western_Province.html,St. Anne's National Shrine,4.5,36,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/2b/06/66/church.jpg?w=700&h=400&s=1,Demion T,6 contributions,,5,Missing,A must visit place to all Catholics. Even non Catholics are welcome. Religious place. Great Church near the beach. A must go place if you are in Sri Lanka,"August 23, 2017",0.0,0.0
