Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",Hidden gem right at Kandy's,5,Solo,"A real insider tip when you are in Kandy: this temple and those of Lankathilaka and Embekka are called the ""3 temple loop"" and can be easily driven together. There are hardly any tourists here, and GAdeladheniya seems almost enchanted.","October 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Ride the Tuk-Tuk Vibes kandy,"Kandy, Sri Lanka","""Tranquility and History at Its Best – A Must-Visit for Couples""",5,Couples,"Our visit to the Temple of Gadaladeniya was nothing short of magical. Tucked away in a peaceful corner of Kandy, this historic temple provided a serene escape from the hustle and bustle of daily life.","January 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,galadiel67,"Chiavari, Italy",The brick temple (and Mr Rathnajake): third stage of the trek of the three temples.,5,Missing,"Third and last stop of our trek of the three temples, the granite and brick temple of Gadaladeniya, also from the mid-1300s, built in a South Indian style on a less high black rock but similar to Lakathilake, with the access steps cut into the rock itself, with a long inscription. In the hall of the shrine there is an original statue of a Buddha sitting in meditation. At the entrance, however, there are also Hindu deities. There is then a secondary shrine consisting of a covered stupa with a roof and four other small stupas on the sides, where 4 Buddha statues are housed. We found it full of schoolchildren and were greeted by the caretaker-artist, Mr Rathnajake. He will tell you the story of the temple and much more with the love he employs in his designs. We bought them with great satisfaction :-). The temple is located near the bus stop to Kandy.","December 7, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,LolaGo1,"Washington DC, District of Columbia",One of the 3 Temples Visited Outside of Kandy,4,Solo,"It was long tuktuk drive from one  Ambakka Temple to this one, passing by village roads, such of which have pot holes. Entrance fee is 500 LHR. Took off my shoes in the area where entrance fee was paid. The barefoot walk from the Payement Office was on hot, black rocks. Exhibits noted are mostly statues of Buddhas in various conditions and positions. Someone was drumming as I walked from one building to another. Note that there is also a huge Stupa here.","March 10, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Kanishka Herath,"Kurunegala, Sri Lanka",Experience of a magnificient historical site,5,Missing,Temple of the Gadaladenia locates around 10 km away from Kandy city. It is a place in Sri Lanka with rich tradition. Temple was built nearly 700 years ago at the time of Polonnaruwa Kingdom. Gadaladeniya ancient temple contains Hinduism influence but with Sinhalese architecture and it was built under patronage of King Bhuvanekabahu V.,"February 28, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Lasith Imarshana,"Ingiriya, Sri Lanka",The Temple of Gadaladeniya,5,Missing,This temple is located near to kandy. It is beautiful temple. It is buddhist temple. The stone carvings here are very unique.,"August 7, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Fabien F,"Dubai, United Arab Emirates",Monks businessmen,1,Friends,"On our visit plan near Kandy , we decided to visit this temple me and my two Sri Lankan friends . They got stopped asked to pay entrance fee since I was foreigner , nothing unique in Sri Lanka but really unusual for a place dedicated to spirituality. I cannot imagine having foreigner asked to pay to enter a church back home in France . The worse think was the aggressive attitude of one of the monk which was verbally insulting my friends , both of my friends are Buddhist and were really disgusted by the whole situation. Small message for the monk business oriented be more kind and both local and foreigner will be more than happy to donate money for your temple , like it’s done everywhere else.","March 13, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Kai Wah,Malaysia,Small but interesting ...,4,Couples,"This temple was built in 14th century with Hinduism influence with Sinhalese architecture from Polonnaruwa era and Indochina architectural style, under patronage of King Bhuvanekabahu V. Some interesting facts about this temple is that it was built on top of the rock outcrop; there are interesting sculptures with figures of elephant head with lion body; and a few nice lily ponds. Many scaffolding’s are the temple for restoration works. Worth a short visit of 30 mins visit with entrance fee of LKR300 per person.","March 16, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Tour De Ceylan,"Kandy, Sri Lanka",Galdaladeniya temple is sri lanka is an old monastery build over a rock in district of kandy.j,5,Solo,According to an inscription carved into wall the temple was built in1344 AD by king Buwanakabahu the forth.the temple was desing by the south indian architect.,"March 14, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d1594553-Reviews-Temple_of_the_Gadaladenia-Kandy_Kandy_District_Central_Province.html,Temple of the Gadaladenia,4.0,192,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/83/21/18/gadaladeniya.jpg?w=700&h=400&s=1,Jehan P,"Colombo, Sri Lanka",A 14th century Buddhist temple strongly influenced by Hindu architecture,4,Missing,"This is not one of the big sites for either local or foreign tourists, but is worth going to.  It is a one hour visit and you can take cameras and walk in shoes except when entering the temple itself.","September 21, 2019",0.0,0.0
