Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Nugadhenitours,"Düsseldorf, Germany",A hidden gem near Anuradhapura - absolutely worth seeing,5,Solo,"A beautifully situated temple near A.pura, where, according to legend, the sangamita, which brought the branch of the Holy Bodhi tree from Inden to A.pura, stopped and left here a sister shoot of that tree under which the Buddha found enlightenment. Hence a very special place for Buddhists. It is located on large Granti blocks, by a lake, ie just the landscape is a dream. You don't meet tourists here, just faithful locals. A real highlight is a large lying Buddha and a sitting one carved into the rocks. A true hidden champion when UNESCO highlights are nearby","September 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Sudesh,"Matara, Sri Lanka",Historical,5,Friends,"Great place to visit. If you need to cover all, probably a day requir. At least half a needs. Avoid mid day as it get more hot 🔥. Beware while walking as rocks may slippery. Don't throw garbage around as wild animals can affected.","May 19, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,sshardha,"Kandy, Sri Lanka",A Hidden Gem near Anuradhapura.,5,Couples,"If you're visiting Anuradhapura, make sure to check out this must-visit location about 35-40 km away, rich with both historical and archaeological significance. It's best to go either early in the morning (around 7:00 AM) or late in the afternoon (after 4:00 PM) to avoid the intense heat that can make exploring difficult between 9:00 AM and 4:00 PM. Allocate about 1 to 2 hours for your visit, as there's plenty to see. Be sure to study the site map (found in one of my uploaded photos) and plan your visit accordingly. Leave the museum and the ""Budhu Madura"" for last, as these shaded areas can be enjoyed regardless of the heat.","February 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Ravi Fernando,"Negombo, Sri Lanka",An Ancient Monastic Settlement going back to pre - historic time,5,Missing,"The Tanthirimale Raja Maha Viharaya is located in Anuradhapura District and boarder of Mannar District.Granite Rock,Nelum pokuna,Caves and monastic Library is the most attract things here.","April 4, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,The Travel Couple - Chathu & Ishanka,"Kalutara, Sri Lanka",A sacred Buddhist temple with historical importance,5,Friends,A Sacred Buddhist temple located bit away from Anuradhapura. The Bo tree here is said to be one of the first 8 saplings of Jaya Sri maha bo tree in Anuradhapura. Temple spans across a large area and almost all is covered with rock. Views are amazing. You have to walk some good distance to cover all the important places here. Visit in early morning or evening as walking on rock when sun is up would be very difficult to do. A large car park is there inside the temple. A museum also located inside.,"November 28, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Dileepa M,"Colombo, Sri Lanka",Must visit place,5,Missing,"1 hour drive from Anuradhapura, road condition is good. Best time is early in the morning until 10am to avoid heat. This has a Little Rock climbing to do so avoid heat yet elderly people too can reach. Exploration time is 1.5hours. Scenario ancient temple with ample parking. No entrance fee, guide is not required.","November 10, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Ruwan W,"Ratmalana, Sri Lanka","Visit to ancient temple of ""Thanthirimale”",5,Missing,"It was the first visit to this temple for my wife and the two children. I visited after about 8years. Thanthirimale Raja Maha Vihara  is in the Anuradhapura District. It is located approximately 40 km north west of the Anuradhapura city. Once upon a time this area was fully covered with jungle and an elephant country. Untill recently this temple was rarely visited due to the 30 years of civil war, difficult roads and elephants. This place was unidentified till the beginning of the 19th century, and in the 1960s the temple was re-established by Buddhist monks. The temple and surrounding area are full of ruins, including two stone statues and several stone ponds. There is an archaeological museum at Thanthirimale. This temple, which was built in the third century BC has a historical value. When the Jaya Sri Maha Bodhi was brought from India to Sri Lanka, one night along the way to Anuradhapura, the pot containing the sapling was kept at Thanthirimale. It is believed that there was one branch separately grew from the pot, was planted at that village to remember the incident. Hence, some believe that this may be the first Sri Maha Bhodi plant in Sri Lanka. The Bo Tree is placed on top of large stony layer which has protected the tree up to now.","October 11, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Silver Wings Tours,"Wattala, Sri Lanka",Ancient temple in Anuradhapura,5,Couples,"Historical temple with amazing carvings. It is said that this place was used as one day stop to Arahath Their Sangamitta on her way to Anuradhapura, while she was bringing the ‘Holy Bo Tree & the Tooth Relic of the Buddha’ from India.","April 15, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,Prof Thishan Jayasinghe,"Sheffield, United Kingdom",Our visit to ancient temple of Thanthirimale,5,Friends,"Thanthirimale is an ancient temple of Sri Lanka that should not be missed by any tourist who wishes to get some idea about the ancient history of Sri Lanka.  It is a rock temple and anybody keen on meditation, this rock temple provides a very calm and relaxing atmosphere.  There are so much to see at this site and you can certainly spend 2-3 hours without being getting tired.  The road to the Thanthirimale temple is well maintained and it is a carpeted road.  Please be aware that the maximum speed limit is 70 km per hour when you drive on that road since the road is excellent and empty and you may feel like driving much faster.  There are so many ancient artifacts and you can learn about the history dating back to nearly 2300 years or about 300 BC.","March 4, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d12239469-Reviews-Thanthirimale_Rajamaha_Viharaya-Anuradhapura_North_Central_Province.html,Thanthirimale Rajamaha Viharaya,4.8,19,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/8f/65/ea/stupa-from-top-of-the.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",BUDDHIST,4,Friends,This old Buddhist temple is about an hours drive from Anuradhapura .A good Buddhist temple to spend about an hour to see.,"November 4, 2018",0.0,0.0
