Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,Sabrina Gabriel Honest Views,Seychelles,A Hidden Gem of Ancient Art,4,Couples,"Thivanka Image House was one of the highlights of my visit to Polonnaruwa and feels like a true hidden gem. Many people skip it, but it’s absolutely worth seeing if you love history and art. Inside the building, you’ll find a huge standing Buddha statue that’s incredibly impressive. But what really amazed me were the ancient wall paintings still visible in parts of the interior. Even though some of the paint has faded over the centuries, you can still see beautiful details and colors that have survived for over 800 years. It’s incredible how talented the artists were back then. The atmosphere inside feels peaceful and a bit mysterious, as if you’re stepping back into another time. It’s not as crowded as other sites, which makes it even more special to explore. Tip: You can’t wear shoes inside, so bring a pair of socks, especially if you visit during the heat of the day because the stones can get warm! If you’re visiting Polonnaruwa, don’t miss Thivanka Image House. It’s perfect for anyone who loves hidden places, ancient art, and discovering the best places to travel.","July 16, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,Peter M,"Melbourne, Australia",Thivanka Image House,5,Friends,This in in Polonnaruva Sri Lanka. It was constructed by King Parakamabahu 1 (1153-1188). It is famous for its 100 paintings. It was covered by jungle for 500 years and rediscovered in 1855 by SM Burrows,"November 14, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,Janka K,"Brno, Czech Republic",Pay attention to the details - the mini statues on the facade of the building are nice,3,Couples,"At the time that I visited the place, ti seems that the place was undergoing some reconstruction, or that it needed to start to be permanently protected from rain, as it was completely covered under scaffold tin roof. I liked the ornaments on the outside part of the building - some statues were really preserved and very detailed. It must had been a lot of work to create them.","April 2, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,Kai Wah,Malaysia,Mind blowing details...,5,Couples,"This is one of my favourite parts of the ruins at Polonnaruwa Ancient Site. Another awe-inspiring architecture built by the King Parakramabahu, The Great since 12th century. Intricate details of carvings of the exterior complex with amazing murals/ wall paintings at the interior of the structure with three massive Buddha statues housed here, hence the given name as Thivanka which literally means three curves. No photo-takings allowed inside the complex in order to protect the murals. Must-visit as part of the sites at Polonnaruwa Ancient Site with entrance fee of USD25. Well worth the penny especially for history buff!","March 12, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,DipuKV,"Pune, India",Nice,5,Missing,"Buddha statues, image houses, stupas galore! The Thivanka image house gives you a good glimpse of the beauty of the place!","January 13, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,zaawaaz,"Singapore, Singapore",Inside you can see some beautiful paintings,5,Missing,"A clean place, and really hope when the visitors are inside the main area that they do not speak loudly as it is quite not so good ettiquette. Otherwise it is quite a spruced up building and the carvings are quite visible. Inside you can see some beautiful paintings. 15-minute visit.","December 14, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,jitub77,"Singapore, Singapore",Beautiful. Right at the very end but do make it a point to see,5,Missing,"This place was beautiful but we had to rush through to it because it was at the fag end and we were very short of time. The only reason we did go was because i had read reviews mentioning this as a must-see site and it did turn out to be one. Suggest planning ahead by making a list of such must-see places, the optimal route to cover these and the starting your visit. Hiring a local guide here will help.","October 23, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,ShvRm_Traveller,"Goa, India",Art in stone,4,Missing,"It is located towards the end of tour to Polonnaruwa Archaeological Sites and is one of the important place, which is a must visit. The place had served as a temple to Lord Buddha, having been built in 12th Century. The Temple is in ruined state, however, whatever remains, given an indication of past magnificence. The site is also import, from the point of view of ancient art and has frescoes on the interiors. The whole site is covered by a huge metal roof, to preserve, whatever is left. No photography is allowed inside the temple. The visitor going inside, have to follow a demarcated passage.","November 24, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,Rob,"Dublin, Ireland",End of the line,5,Solo,This is the most northerly point in Polonnaruwa but it's worth making the journey up no matter what form of transport you are using. It's a fairly crumbling building but they built a canopy over it to help preserve it. Some parts are fairly intact and others well less so. you can go inside but you are lot allowed take any pictures so if you just have to visit yourself to see what it's like. Trust me it's worth it!,"February 4, 2018",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304140-d3600936-Reviews-Thivanka_Image_House-Polonnaruwa_North_Central_Province.html,Thivanka Image House,4.4,89,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/24/83/6d/photo2jpg.jpg?w=700&h=400&s=1,mrdom,"9,414 contributions",Very interesting building at the end of the road,5,Solo,"Up the dirt road near Gal Vihara and the exit, this is a good option for cyclists because not many people come up here.  The building is quite detailed and looks great from the outside and then the inside has remains of interesting frescoes and a quite unusual buddha statue.  No photography is allowed and the staff peer down the hallway to enforce it.","January 26, 2018",0.0,0.0
