Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,LondonWelshboyo,"Edgware, United Kingdom",We will remember them,5,Couples,A real credit to the Commonwealth war graves commission whose staff maintain this place beautifully. Contains French and Italian graves as well as Commonwealth service people. Also members of the Indian labour battalions often only known by their English nickname. Was particularly struck by one joint headstone for three young aviators killed on landing who are interred together. A place for quiet reflection for those mostly young people who gave their lives for our freedom,"February 28, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,richard v,4 contributions,Nice cemetery of honor.,5,Couples,Well maintained! Grass cut and flowers at the graves. Located sweeping up nice place just outside the city. Can be visited at any time of day!,"January 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Kev W,"Marrakech, Morocco",Read up about the Japanese air raid during WW2 to get some context before visiting,5,Couples,"Having read about the Japanese raid on Trincomolee and Colombo during WW2 and the loss of over  600 men, 20 ships and one of our aircraft carriers, I really wanted to come and pay my respects at the War Grave Memorial and really enjoyed the experience. The staff that tender the graves are a compliment to the War Grave Commission and do a fantastic job remembering those who gave their lives","February 8, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Alex W,3 contributions,Peace and reflection in away from the chaotic roadside,4,Solo,"This is a really peaceful place to disappear to and escape the hussle and bussle of Trincomalee roads. Very tranquil setting, which encourages quiet reflection. I went twice. It was fascinating to learn about the different nationalities of those who gave so much, and of how the conflict affected Sri Lanka. A groundskeeper approached me and gave me a little more background info on my second visit. Very knowledgeable and approachable chap. And the place is immaculate, with good bird life. A must visit if you have a spare 30 minutes.","February 5, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,john t,"Stourbridge, United Kingdom",A typical well kept war cemetry.,5,Missing,"A tranquil slope leading up from the main road. Very well maintained, I believe by the botanical gardens. Rest room on site. Caretaker/guardian knowledgeable. Numbers of graves date to either the end of the war or just after, so bodies presumably brought back here having been interred elsewhere.","January 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Sakthi,"Batticaloa, Sri Lanka",nice place to feel the war,5,Missing,"Go Peacefully, stay with respect, and feel the peacefulness. I was able to relate our feelings as Sri Lankans in this place","July 16, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Paul W,8 contributions,A must visit,5,Missing,"A touching and very respectful place, which absolutely honours those who gave their lives in this part of the world in WWII. Massive praise goes to the gardeners and caretakers employed indirectly by the CWGC, who do a fantastic job maintaining the plots and headstones, and are also very informative about the people of the various allied-countries, who are buried in the cemetery. Remember to give them a little tip.","March 22, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,George Fernando,"Matale, Sri Lanka",Really worth a visit!,5,Missing,today we visited the Cemetery and were really impressed with the way the place was so beautifully kept. We were given an overview of the history of the Cemetery one of the lads who worked there. It is quite a small place and we spent about 45 minutes looking around.A place for quite reflection.,"June 17, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,broggo14,"Victoria, Australia",Lest we forget,4,Missing,Very well maintained and a tribute to those who made the ultimate sacrifice. A place for quiet reflection.,"April 28, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,2onholiday,"Galle, Sri Lanka",well worth a visit,5,Missing,Beautifully maintained war cemetery. The staff are very informative regarding the graves of WW2 victims.,"February 18, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Steve D,"Caerleon, United Kingdom",,4,Missing,We visited the Cemetery and were really impressed with the way the place was so beautifully kept. We were given an overview of the history of the Cemetery one of the lads who worked there. It is quite a small place and we spent about 45 minutes looking around.,"February 15, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Eleonore Breukel,"Amsterdam, The Netherlands",,2,Missing,"Interesting for Britisch who colonized and fought the Euroepan wars in the Asian seas. More interesting are the separated  graveyards of the Tamils, Singhalese, Christians and Moslims.","February 5, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Alex,"London, United Kingdom",,5,Solo,Beautifully maintained Commonwealth war cemetery. Well worth a walk around the 364 headstones. The groundsmen can give some background so worth chatting to them. Really easy walk from the hotels and hostels.,"January 10, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Titus D,Sri Lanka,,4,Friends,The servicemen who were buried in other cemeterird were transferred to this. There are also graces of servicemen's dependents even buried after the war.It is very beautiful. The servicemen of the British Navy. Sri Lanka governmen,"December 21, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,SEs,"London, United Kingdom",,4,Friends,This basically a British military Cemetery. The Cemetery is well maintained. A good place to visit for history lovers.,"December 2, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,DanHobs,"Melbourne, Australia",,4,Couples,"Just fyi. It is basically a cemetery, with marked gravestones of around 350 commonwealth soldiers, who died in attacks in WW2, by Japanese on navy ships in the local bay. There is no informational boards or anything to read. That said, it's a quiet and very well maintained plot to pay respects.","November 20, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,SeaFly2016,"Mumbai, India",,2,Solo,Did not see anything really special about this venue and child eaisly be given a miss for some more relaxing or scenic spot.,"October 19, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,The Travel Couple - Chathu & Ishanka,"Kalutara, Sri Lanka",,5,Couples,This is the cemetery of the British soldiers dies in the 2nd world war. It is very well maintained so far. You can see the names and some description of the soldiers in each of the tombs. Since this is a cemetery pay some respect and be decent. Good to spend 10mins in here on your way to nilaveli.,"October 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Tracy S,"Newmarket, United Kingdom",,4,Missing,Went here to pay respects to people killed in world war 2 met a fascinating man told us all about the history of the place and how it was his dads job before his and passed down to him how his dad and princess Anne planted a tree . The gardens are very very well kept and looked after well,"September 11, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,MandM5960,"Southport, United Kingdom",,5,Missing,As part of a tour called at War Cemetery to pay our respects to all the brave Men and Women who gave the ultimate sacrifice during World War two. I would urge anyone visiting Trincomalee to call here out of respect.,"September 6, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,PauSerraBou,"Province of Barcelona, Spain",,5,Couples,There are 13 different nationatities buried in this place. Young people who died during WWII and who's now resting in peace there. Not impressive as a monument but at least poignant to see tombs so far away from people's home land.,"September 3, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Dale F,"Margate, Australia",,4,Missing,"This site was a bit of a surprise, contains headstones for allied servicemen and servicewomen from several countries as well as merchant seaman. The staff on site do a great job of keeping the place to a high standard and the flowering frangipany frame the place perfectly.","August 17, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Jonna,"Helsinki, Finland",,4,Missing,The cemetery is very well kept and beautiful. We wandered around and red the engravings on the grave stones. It’s a nice place for a quick stop.,"August 10, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,301lisa33,"Coventry, United Kingdom",,4,Friends,This war cemetery has been kept very neat and tidy.  A suitable tribute to those war casualties buried there,"May 1, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Richard H,"Bath, United Kingdom",,5,Couples,Both of us were greatly moved. So many young men of about 20 dying so far from home. It's beautifully maintained by a caretaker who's been there 30 years and his father before him.,"April 11, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,upali g,4 contributions,,5,Missing,I visited last week... wow well kept. In the opposite of the war cemetery. One nice and very helpful family selling king coconut water mix with lime and spoon of white sugar... In case if you are there I recommend to try a glass of this mixture... cost you only Rs. 100.00,"March 22, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,fjp4564,645 contributions,,4,Solo,This cemetery is well maintained and is worth a visit to reflect the many buried who gave their lives to defend the Island and the British Empire,"March 21, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Sharon E,2 contributions,,5,Couples,Beautiful place to visit. We took the time to read every grave stone and pay our respects to all these men who died in Sri Lanka in World War 2. As parents we found this very emotional as many died far too young and close to the end of the war.,"March 14, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,WPDE2014,"Leeds, United Kingdom",,4,Couples,Pleased we ventured along road from guesthouse to wander through. Beautifully kept garden to walk through in 10 minutes,"March 2, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Richard W,29 contributions,,5,Couples,This commonwealth wargraves commission cemetery in TRINCOMALEE is so beautifully kept. The current caretaker is the son of the previous one and he and his one colleague are doing such a fantastic job. If your a traveller everyone who visits Trinco knows of the Gomesz's pasta hut so if you visit there just walk one minute further out of town and take a look at this cemetery. Spend a few minutes and look at ages on the stones. There are 364 graves and the men and women buried there represent 11 different commonwealth nations. Let us not forget.,"February 15, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Anna C,"Thames Ditton, United Kingdom",,4,Couples,Good to know the history behind the involvement of Sri Lanka in the war. Also the Japanese bombed the harbour on Trinco.,"February 13, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Ommmmmm,"Luang Prabang, Laos",,5,Couples,Well maintained cemetery if WW2 men who died in Sri Lanka. Many countries represented. Many religions. Very sad.,"February 2, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Robert L,"Godalming, United Kingdom",,4,Friends,The cemetery is very well kept and quite personal when compared with the large war graves in Europe. A walk round reading the inscriptions was poignant and interesting and the attendant very helpful.,"January 29, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d4222600-Reviews-Trincomalee_War_Cemetery-Trincomalee_Eastern_Province.html,Trincomalee War Cemetery,4.5,291,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/48/46/53/ayers-rock.jpg?w=200&h=200&s=1,Charles W,"Huntington Beach, California",,5,Couples,A small well maintained British Cemetery. There was not much Japanese attacks in this area in WW II. Sadly many of these soldiers and sailors died young near the end of WW II. The caretaker is the son of the first caretaker. He will show you photos and documents related to British Royal visits.,"January 26, 2019",0.0,0.0
