Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Seevali D,"Colombo, Sri Lanka",Outstanding Ancient Craftsmanship,5,Friends,"On November 23, 2025, our group of thirteen, travelling with Flamingo Lanka, visited the Twin Ponds – locally called “Kuttam Pokuna” – located within the Abhayagiri Monastery complex in the World Heritage city of Anuradhapura. The two ponds though similar in width at 15.5 metres each, differ in dimensions.  The southern pond measures 40 metres in length and 5.5 metres in depth while the northern pond is 28 metres long and 4.3 metres deep.  Historical records suggest that the ponds were constructed during two different periods between the 6th and the 9th centuries, with the smaller pond being the older.  Over time, both ponds have undergone several renovations. The ponds are remarkable for their precise construction.  Granite slabs, expertly cut and dressed, were used for the bottom, sides, terraces, and steps.  Notably no mortar was used to join the granite blocks, showcasing the advanced engineering and masonry skill of its ancient builders.  The design also features intricate stone carvings and mythical stone figures. The water is supplied to the ponds through underground ducts from a reservoir approximately 3 kilometres away.  This sophisticated system includes a filtration mechanism and a stone chamber to trap sediment.  The two ponds are interconnected by an underground duct.  The water drained from the ponds was historically used to irrigate downstream rice fields. The ponds served as bathing places for the monks residing in the monastery complex at Abhayagiri temple.  Today the Twin Ponds – Kuttam Pokuna – stand as an outstanding example of ancient technical and artistic craftmanship, as well as remarkable examples of hydraulic engineering and architecture skills of ancient Sri Lanka.","December 15, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Adventure Diva,"Manchester, Connecticut",Peaceful twin ponds,4,Friends,These two swimming-pool-like ponds were fascinating to see. I'm told  water enters the larger pond through the mouth of a mythical beast and then flows to the smaller pond through an underground pipe. There was a five- headed guardstone in the shape of a cobra which is nearby the water filter system. The whole area is peaceful and serene.,"August 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Viv Vivekananda,"2,062 contributions",Well preserved pair of historic bathing ponds,4,Missing,"These large twin ponds or pools are well preserved old bathing ponds in Sri Lanka. They were built by the Sinhalese in the ancient Anuradhapura Kingdom. They are important developments in the field of hydrological engineering, architecture and art of the ancient Sinhalese. Interesting to see them. Easy access and not much walking. Wear comfy shoes, hat, sunscreen, take water. Entry fee for the whole complex","August 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Sabrina Gabriel Honest Views,Seychelles,Ancient Engineering That Still Amazes,4,Couples,"The Twin Ponds, or Kuttam Pokuna, are a true hidden gem in Anuradhapura. I was genuinely amazed by the architectural precision and the peaceful atmosphere surrounding this ancient royal bath. Built over 1,200 years ago for Buddhist monks, the ponds were designed with such skill that even today, the drainage system still works! The symmetry, the stonework, and the steps leading down to the water all show the brilliance of early Sri Lankan engineering. What struck me most was the sense of serenity — it’s a quiet, beautiful space where you can imagine the calm daily life of monks centuries ago. The reflections in the water, the birdsong, and the sense of history made it one of the most memorable spots on my trip. Tip: Go early in the morning to enjoy the soft light and peaceful surroundings. Don’t miss the base stones nearby that once held wooden columns — another sign of ancient innovation.","June 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,VINTAGE GUITAR GALLERY,"Thudella North, Sri Lanka",Learn before you visit,5,Missing,"Kuttam Pokuna (twin ponds or pools) are well preserved old bathing tanks or ponds in Sri Lanka. This pair of ponds was built by the Sinhalese in the ancient Anuradhapura Kingdom. They form part of the Abhayagiri vihāra complex and are an example of the works in the field of hydrological engineering, architecture and art of the ancient Sinhalese","August 25, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Lieuwe R,"Groningen Province, The Netherlands",Bathhouse of the monks,5,Missing,"Not only are the baths themselves special because of their history and the huge blocks of granite that have been used, but the most special is the filter system that supplied the baths with fresh water every day from one of the reservoirs around this place. The system of that time still works like our current well. The dirt sinks down and an overflow leads the clean water to the baths. Our wells are plastic only. Ingenious thinking.","July 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Twin Baths Anuradhapura,5,Friends,These are well preserved old bathing tanks or ponds in Anuradhapura. They were built by the Sinhalese in the ancient Anuradhapura Kingdom. They form part of the Anhavagirl vihara complex. Eth Pokuna (elephant) is the largest of the bodies of water on the Abhayagiri vihara complex. I had a photo of me standing by he ponds with a snake around my neck and a monkey on my shoulder!,"November 17, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Catherine Tsounis,187 contributions,Historical Visit,5,Solo,"The Ottoman Bath was reserved for the Sultan’s harem. Artifacts of a bygone era, the time of Ottomanrule, are shown. Women were segregated from men this was their bathhouse Today they have musical concerts","September 1, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Peter M,"Melbourne, Australia",Twin Ponds (Kuttam Pokina),5,Friends,The Twin Ponds (Kuttam Pokuna) are well preserved bathing tanks or ponds in Anuradhapura built by the Sinhalese and form part of the Abhavagri complex. Eth Pokuna (Elephant Pond) is the largest and I have a photo of me with a snake around my neck and monkey on my shoulder,"August 13, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Shardha,"Colombo, Sri Lanka",Wish I could swim in it,4,Missing,"Just let your imagination run wild. You should let this transport you to 2,000 years ago to get impressed by it.","January 13, 2023",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304132-d600738-Reviews-Twin_Baths_Kuttam_Pokuna-Anuradhapura_North_Central_Province.html,Twin Baths (Kuttam Pokuna),3.9,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/33/fc/b1/singapore.jpg?w=200&h=200&s=1,Kamal P,"Byron Bay, Australia",,5,Missing,"Twin ponds is merely not an attractive set of ponds but a place where one can observe ancient water purification and desilting system, sending water column through scientifically designed set of stone containers. Steps give access to water at any level and platforms give access along the perimeter of the pond. Structure is all in stone and polished to give neatness while decorative ornaments adore the beauty of the construction. The floral vases (Pun kalasa) at the entrances to the two ponds differ in design. A five hooded Cobra image on the wall is extremely beautiful.","May 26, 2020",0.0,0.0
