Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,ChrisJ,"Duisburg, Germany","Not recommended for normal tourists, maybe for botanists",2,Couples,"We went to the park in April. It is not worth it in our opinion. It's kind of a forest, we haven't seen any animals (just monkeys). Birds are all we heard. In the lake at the entrance are fish and turtles. We discovered a kingfisher after all. Unfortunately, however, we must warn against leeches. Don't go to the park with sandals and bare feet. Even with sturdy shoes and socks, the beasts in the shoe bit me through the socks. With bare feet, these things really strike. You can barely recognize them, but they're nasty.","April 9, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Dasun,"Matale, Sri Lanka",A Peaceful Escape at Usawattakele - Kandy,4,Business,"I had the pleasure of visiting Usawattakele during my trip to Kandy, and it was a serene escape from the hustle and bustle of the city. Nestled on the hills, this tranquil area offers panoramic views of Kandy’s lush landscape and is perfect for a peaceful walk or a moment of relaxation. The natural beauty of Usawattakele, combined with its peaceful surroundings, made it an ideal spot to unwind. I highly recommend it to anyone looking for a quiet retreat .","April 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Álvaro D,1 contribution,SHAME ON YOU! SHAME!,1,Friends,"SHAME ON YOU! SHAME! Good birding spot, but they have elephants chained with marked, sad stereotypical movements. Good place for birding, but they have chained elephants.","January 25, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Troonies58,"Scotland, United Kingdom",A pleasant walk in the park,4,Couples,A Pleasant walk in the forest albeit a damp one just after the rain. Lovely viewpoint but did not observe many animals. Good leg stretcher if you are short of time.,"January 14, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Jay K,"Manila, Philippines","Worth a visit, but beware of chained up elephants",4,Missing,"This place is great to walk and not overly strenuous, the map is very deceiving and it's actually smaller than it looks. Some caves to see with paintings. Great but small Kandy town view. Bike hire is 500 for 2hrs, however, they don't have bikes that are suitable for kids under 12. Toilet facilties available at both ends of the park. It takes maximum 2hrs to walk around the largest loop, but can be cut and you can walk directly to the town lookout and average information centre and back within 45mins. Only downside is that you my stumble across an elephant prison camp at Point C on the map where 2 male elephants are chained to the trees slightly below the walking track. This was very upsetting to see as they were very distressed shaking their heads continuously side to side. Entry fee is Rs 900 for adults and Rs450 for children under 12. Majority of the reserve has canopy cover from the sun, so sunscreen not essential.","January 7, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Dr.Prabodha Charuka Lokuge,"Colombo, Sri Lanka",Forest  amidst city,4,Solo,Just a greenish experience and it has to be more developed as a a sanctuary wood. It is to be used to identify the Kandy   bio diversity.,"November 6, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,S-Himakara,"Colombo, Sri Lanka",A Tranquil Escape heart of Kandy City; Hiking Through Udawatta Kele Sanctuary,5,Missing,"We had an amazing hike in Udawatta Kele Sanctuary, a protected forest reserve located in the heart of Kandy. This sanctuary serves as a haven for diverse flora and fauna. Visitors can explore the network of hiking trails that wind through the sanctuary's lush, verdant landscapes, offering opportunities to spot various bird species, butterflies, and other wildlife. Udawatta Kele Sanctuary not only provides a serene and rejuvenating escape from the city but also underscores the importance of conservation efforts in safeguarding Sri Lanka's rich ecological heritage within urban settings.","September 4, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Неля Н,1 contribution,Don't waste your time.,1,Missing,"I don't usually write reviews. But I got so angry today, I decided to write. Don't waste time if you don't have enough and if you're not a nerd. Walked around and didn't see NI-KO-GO! Not at all. It's not so much money as time spent. I'd rather just walk around Kandy.","July 23, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,r2thebizel,"Pattaya, Thailand",Udawatta Forest: Needed in Kandy,5,Solo,930LKR to enter and 500 to rent a bike if you wish. They are in good enough condition but don’t expect gears to work; are a nice way to avoid leeches though if that’s a concern and it’s wet. Very well maintained paths with the forest looking to be in good condition. Look out for troops of monkeys being attracted to the hanging fruits!,"July 11, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g304138-d2534649-Reviews-Udawattekele_Sanctuary-Kandy_Kandy_District_Central_Province.html,Udawattekele Sanctuary,4.2,400,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/30/91/77/view-from-the-sanctuary.jpg?w=700&h=400&s=1,Frida,2 contributions,Nothing incredible,1,Missing,"The only positive thing about this walk in the forest is that you came home with only one leech per person. The forest is beautiful but without more, really not a must of this beautiful city.","July 7, 2024",0.0,0.0
