Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Travel with Kumara,"Tangalle, Sri Lanka",Relaxing Beach Time Enjoyed by My Clients.,5,Business,"Visited Unawatuna Beach with my clients and enjoyed the lively yet relaxing atmosphere. Clean beach, calm water, great for swimming, and plenty of cafés nearby. A nice coastal stop.","December 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Neon travellers Sri lanka,"Katunayake, Sri Lanka","Fabulous Beaches at Galle,Unawatuna",5,Business,"Very Good Beach.There are lotof activities to do their.Beautiful beaches,adventurous sports like jetski on beach,coreal watching and divining also there.You can plan your tour with us.","December 3, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Wolfgang L,10 contributions,Sleepless nights,1,Solo,It is an imposition for holidaymakers to stay in Unawatuna. Until early at 4 o'clock drums play and you can't sleep,"November 30, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Mandragora,"Oppenau, Germany",Nice place to relax after a round trip - as a touri you feel ripped off,4,Couples,"We landed here after a tour of Sri Lanka to chill out a bit. The beaches are okay, but not really the hit. If you're lucky, you'll see big water turtles coming to the beach. Here locals sell small plastic bags of seaweed for feeding (1000 rupees) Some TukTuk drivers try to rip you off. Prices are much higher than in Colombo, for example. For 2-4 days it is okay, I would not want to stay here any longer.","November 29, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Vadim,"Murmansk, Russia",Beautiful beach in every way.,5,Missing,"The beautiful name of this village and beach is legendary from an Indian merchant who was shipwrecked and settled here. Unawatuna's one-kilometre beach stretched out in an arc. Its main advantage is the absence of a strong wave due to the double reef, which takes the shock load. The beach is good and profile. A gentle descent allows you to swim here with children, as well as people who are unable or poorly swim. That's probably why Unawatuna is popular with the local population, not just the Russians. Although the percentage of Sri Lankans able to swim seemed substantially higher than in India... However, the depths start at 10 or 15 meters. Another advantage of the beach is the availability of sunbeds. They're on display outside beach hotels and restaurants. You just have to grab drinks at the bar and use them all you want. Very convenient and cheap... We're into the Blue bistro restaurant.  Unawatuna is not yet imbued with the spirit of commerce like other resorts, so pressing with extras like boats, bananas, parasailing and so on is practically non-existent. That's a plus to me. You can swim safely... The central part of the beach is more interesting, although most of the vacationers are for some reason in the northern part, although there is not far from the river flow. Not very good smelling, by the way... Maybe it's because there's a lot of restaurants and a few hotels. One last thing. Apart from its main purpose, Unawatuna Beach is good with sunsets. They won't leave even emotionally restrained people indifferent. It's best to see here...","November 21, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,"Дмитрий, Турагентство ТурДеЛюкс","Kurgan, Russia",Cool beach,5,Friends,"Good afternoon, rested with friends on Unawatuna beach, very nice beach, where you can swim peacefully, without waves, beautiful bay, very many establishments, for every taste and wallet, sun loungers can just be occupied, usually they belong to cafes and restaurants, you can order beer and relax all day. I recommend it for a family vacation.","November 17, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,mablain,"London, United Kingdom",Beautiful but watch for cons,3,Missing,"Gorgeous beach, underdeveloped but with cafes close by.  Not too many beach hassles.  Sea quite wavy but lovely to swim in. Two things spoilt it. Staff in Cormorant Beach cafe claimed we had only paid 1000 rupees when we had paid 2000.  Very hard to prove except a) why only notice several minutes later? b) why did they not chase after us when we left?  I cannot be sure but I think they were trying it on. When leaving we booked a cab with pickme, a hailing app which gets you the fair price not the tourist price.  A tuktuk driver, looking for a customer, told us that pickme would not come here.  I pointed out that we had come this way.  He said it was drop off only.  This seems a little odd.  When our ride did arrive, driver was accosted aggressively and told he wasn't allowed to be in that area. The guy hit the outside of the car violently with us and children inside. It looks like this is a place with some kind of syndicate going on with some dishonest restaurants to boot.  I might suggest giving this place a miss if you don't want to be caught up in that nonsense.","August 26, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Mark,1 contribution,Moskou beach,1,Missing,The presence of Russians determines the Mood of the beach and the village. Sadness at its best. Very unfortunate. Don't go there.,"August 8, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Kylie W,"Sydney, Australia",Beach was nicer than what we excepted. Great to chill out and relax,5,Missing,We decided to stay here for 6 days at the end of our active time doing things in Sri Lanka. It certainly didn’t disappoint. The beach was nicer than we expected - nice sand and great restaurants and bars along the beach. Coming from Sydney/Australia we  have stunning beaches but we were surprised how nice Unawatuna is. Lovely place to just chill in sun and relax and July is a great time to come not that many people around and there quiet season,"July 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g644047-d15708228-Reviews-Unawatuna_Beach-Unawatuna_Galle_District_Southern_Province.html,Unawatuna Beach,3.9,189,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/50/b5/81/20160518-152153-largejpg.jpg?w=200&h=200&s=1,Susan G,"Wellington, United Kingdom",Beautiful beach. Rough seas during the rainy season. No easy swimming.,4,Couples,"It's a lovely beach and was reminiscent of our many visits to Goa. Very chill with lots of possibilities to eat on the beach at night. Great sea food. Inexpensive places to stay . Massage available , Scooters to hire. Tuk tuks to hire. Ten minutes to Galle Fort. Just be warned if you like swimming in the sea do not go during the rainy season.the sea is way too rough. We had researched this but never found a definitive answer. Now we have one from the locals. The sea is always too rough during monsoon season. Probably all along the south coast of Sri Lanka. The rains are intermittent and the temperature warm but ok. Just rough sea. East coast better at this time.","June 28, 2025",0.0,0.0
