Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,% %,  %
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,christophemauget,"Moulay, France",Not phew,3,Friends,Nothing exceptional these beaches. Not necessarily very clean with restaurants and hard music the beach ... so not great.,"September 10, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,A W,17 contributions,Fantastic!!,5,Missing,"What a fantastic place! We had a spacious room ground floor (4 rooms are connected with 2 on ground floor and 2 on 1st floor) and these are on a beautiful avenue. Cleaning twice a day. Swimming pool is top notch, but a dip in the ocean is definitely also recommended. Breakfast in large room is fine. Dinner we did 1x on the beach at the hotel. The staff was very friendly and helpful. We also started to walk on the left side of the beach and then after more than fifteen minutes you arrive at some very nice beach bars. Highly recommended to eat there.","August 27, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,Deepak,"Suva, Fiji",Stunning!,5,Couples,"Located in Trincomalee the eastern side of the country.... this beach is stunning! Lots of white sandy beach... and plenty space to chill, sun bath, grab a drink or even swim! The beach bar is pretty amazing as well!","July 13, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,Janckae,"Milan, Italy",Immense beach in eastern Sri Lanka,5,Missing,"Visited during the dry season of this area of Sri Lanka, I found a perfect climate and not excessively warm. The beach is a few kilometers long, and is better equipped than the nearby Nilaveli. There are several proposals for water sports and diving. There are also places to stop for a snack or a cocktail in the evening. It is frequented by both tourists and people of Trincomalee, so very lively, but still it is so vast that you can find peace if you just want a little relaxation. The sea is not crystal clear but still clean and not excessively dangerous due to currents and waves. Recommended for a few days at sea after a tour in Sri Lanka.","September 25, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,kandy tuk tuk tours by munasingha,"Kandy District, Sri Lanka","Uppuveli is close to Pigeon Island, a well-known spot for snorkeling and diving. The coral reefs are home to a variety o",5,Couples,"Uppuveli Beach is known for its pristine beauty, offering long stretches of soft white sand and clear blue waters. The beach is spacious, making it perfect for long walks, relaxing under palm trees","September 20, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,jill h,1 contribution,Extortionate,1,Missing,"Only stayed in 5☆ hotels whilst in Sri Lanka - this claims to be one, it isnt. No gym, no spa, no laundry, no bar after 10 pm. It does however have 5☆ prices - 600 lkr for a coke from room, all other hotels have offered free drinks. The rooms arent finished and next door to me there were builders working. On leaving l was charged the same room rate as a couple and l am a single occupant. Totally unfair and a rip off! Dont stay here unless you have money to burn!","September 8, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,Explorer744643,"Arcene, Italy",Grey sea,1,Missing,"We reached the beach because we wanted to do some sea and we were told that it was the only non-monsoon area in July, the disappointment was huge, the beach is long but do not expect crystal clear blue sea; the color is gray with a very rough sand bottom and long waves, it is nothing special as well as the nearby Nivaneli, they have excessive costs for rooms and restaurants but remain undeveloped tourist centers, dilapidated and dirty villages. The only pretty beach with crystal clear blue sea we saw was under the temple of Trincomalee.","August 29, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,Michael D,"Virum, Denmark",Garbage and streetdogs everywhere,1,Missing,"If the below stated is something for you during your stay, then Uppuveli is definitely something for you: - Significant amount of garbage on the beach. - Cows and a lot of street dogs on the beach. - Crows “singing” from early in the morning. - Call for morning prayer starts at 04:30 and continue during the day and evening.","August 13, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,hectortravelling,357 contributions,The beach is dirty.,2,Couples,"The sea is clean enough, but the beach is dirty. Plastic everywhere. Only sections in front of hotels or restaurants are cleaned. A little further plastic everywhere. The restaurants are nice, especially in the evening, but the prices are crazy. For a dinner you pay almost as much as in Europe and at least double or triple what you pay in other non-sea parts of Sri Lanka. Prices for tourists.","August 12, 2024",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g424963-d10756130-Reviews-Uppuveli_Beach-Trincomalee_Eastern_Province.html,Uppuveli Beach,4.0,150,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/df/2b/5e/caption.jpg?w=200&h=200&s=1&cx=1920&cy=1080&chk=v1_74f1292c16859f88a83b,Adam D,"Melbourne, Australia",Can't see past the trash...,1,Solo,"I recently stayed in Nilaveli , thankfully. After taking a day trip to Upeveli ,I just couldn't believe what I saw. Piles of rubbish littered the roads, laneways and beaches. Something needs to be done on a grander scale here. Government and tourism boards need to wake up and so do us tourists. This issue needs to be dealt with","August 2, 2024",0.0,0.0
