Destination URL,Destination Title,Destination Score,Total Reviews (Destination),Destination Image,Reviewer Name,Reviewer Location,Review Title,Review Score,Reviewer Category,Review Text,Written Date,  %,% %
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Sumedha W,"Colombo, Sri Lanka",Ussangoda plateau and the beach,5,Missing,"Ecological and biological value place and have a magnificent view under the sunset. It’s a plateau, good for take photography, birding, relaxing, walk in the pigmy forest and beach area, sunbathing and for educational of the environment.visit and enjoy there with your family for mind relaxation.","November 23, 2025",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,ridmi a,"Beliatta, Sri Lanka",A Very Calm Evening.,4,Friends,Ussangoda is very quiet and attractive environment . It has a distinctive beauty  due to its reddish soil. The reddish soil is belived to be the resalt of a meteorite impact . The beach is a bit rough. You can enjoy the view of the sunset here in a very attractive way. There is more attraction here in the evening than during the day.,"January 18, 2022",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Milind Shah,"Ahmedabad, India",Excellent place that has a place is history,4,Missing,Ussangoda is called a national park but is very unique. The place has a unique texture of sand that you hardly find anywhere else. The sand is pink in color and there is absolutely no flora and fauna here. As per Hindu mythology this was the very place where ravana had his airport and was burnt by lord hanuman. Scientist suggest there is certain meteorite attack that has happened here leading to enormous heat. The place offers a magnificent view of the sea and is really Picturesque. One should surely spend some time at peace here.,"February 10, 2020",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,SEs,"London, United Kingdom",Ravana,4,Friends,This is the airport where Ravana the king was supposed to have to India to abduct Sita according to Ramayana. The soil is beautiful. The sea is very rough here.,"September 3, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Ian W,"Montreal, Canada",Unique,4,Solo,"Unique landscape: reddish soil with green grass patches overlooking the ocean.  Great place for a short walk.  Free entrance.  No animals to be seen there, but the surrounding field paddies have some birds.  Come here late afternoon for great sunset pictures.","July 21, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,The Travel Couple - Chathu & Ishanka,"Kalutara, Sri Lanka",Well spent evening,5,Missing,"An unique place to have an evening visit. It’s popular for its reddish soil content throughout. Named as a national park, solely for the uniqueness of the surrounding area. View of sea from the cliff is very beautiful. Must visit in evening after 5 pm. Otherwise the heavy sun shine won’t give you a chance to enjoy the views. It takes around 1 hour to have a walk around and enjoy sometime at the beach. It’s not recommended to have a sea bath here since the sea is deep and rough around here. It’s bit tricky to find the path to this place. Don’t solely rely on google maps. Ask from locals and confirm the correct route.","July 9, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Ladja,66 contributions,Very different part of surroundig country.,5,Missing,"Very different (compared to surroundings), quiet and almost deserted nature reserve with beautiful views of the surrounding area and the ocean with beautiful beaches near Ladja Beach Resort. It is reachable on foot from this hotel.","July 3, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Alu-Poo,"Tissamaharama, Sri Lanka",Amazng landscape,5,Friends,"Ussangoda has a beautiful landscape. A large flat area all in red which was one of the six airports of king Ravana. One can imagine how he took off there and flew over to India to steal princess Sita. The beach is also lovely with red and black cliffs, ending in a white sandy beach. Well worth a stop as it is not too far from the main road and the access road is pretty good (any car can go). There are a couple of stalls at the parking lot ot buy food. Even if it is a national park there is no ticket office or anything. One hour is enough for this visit.","February 26, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Arne,"Lembeke, Belgium",Special but,4,Couples,"The view is spectacular, the geological characteristics unique but full of litter. I have no understanding for unique places if they look like they just had a hippie festival. The place was littered with plastic & glass. All the little shops around the place that sell drinks & food could perhaps start by cleaning it up.","February 16, 2019",0.0,0.0
https://www.tripadvisor.com/Attraction_Review-g2467810-d9727573-Reviews-Ussangoda_National_Park-Southern_Province.html,Ussangoda National Park,4.4,26,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/97/34/62/beach-and-rocks.jpg?w=700&h=400&s=1,Kamal P,"Byron Bay, Australia","""Quite extraordinary""",5,Friends,"A place to see and feel - a completely different geological formation consisting of a deep red and hard soil like it had been baked in a heated oven.There are small rocks which are puckered and holed. It is a strange plateau, fully exposed, several meters higher than the sea which skirts on its south. Vegetation comprise of a thin grass layer just embracing the surface and sporadic xerophytes and beach frontage vegetation. Being a completely different land formation to that of the rest of the country it is an experience to any visitor.","January 2, 2019",0.0,0.0
